,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
38,Total Debt,16.01,16.01,32.98,24.95,23.91,0.47,0.07,26.43,26.43,3.68,5.64,5.61,5.56,-,-,-,-,-,-,-
39,Net Cash (Debt),435.54,435.54,399.57,421.43,432.51,498.45,647.55,702.03,702.03,797.38,739,667.42,610.07,370.11,372.18,349.18,349.18,-,332.75,-
40,Net Cash Growth,0.70%,-12.62%,-38.30%,-39.97%,-38.39%,-37.49%,-12.37%,5.19%,15.07%,115.45%,98.56%,91.14%,74.72%,-,11.85%,-,-,-,-,-
41,Net Cash Per Share,1.99,1.89,1.74,1.92,1.88,2.27,2.82,3.13,3.04,3.49,3.29,3.06,3.31,2.02,2.15,2.19,2.15,-,1.97,-
42,Filing Date Shares Outstanding,218.76,224.67,224.67,224.67,224.67,224.67,224.67,224.46,224.67,224.67,224.67,224.67,224.67,168.5,168.5,168.5,168.5,170.55,168.5,-
43,Total Common Shares Outstanding,218.76,224.67,224.67,224.67,224.67,224.67,224.67,224.46,224.67,224.67,224.67,224.67,224.67,168.5,168.5,168.5,168.5,170.55,168.5,-
44,Working Capital,-,595.98,550.34,586.46,590.32,659.65,659.49,-,730.42,828.42,768.83,718.7,686.15,458.11,444.02,-,411.01,-,393.88,-
45,Book Value Per Share,5.75,5.75,5.60,5.55,5.47,5.38,5.21,5.23,5.23,5.06,4.80,4.59,4.45,4.53,4.46,4.28,4.28,-,4.16,-
46,Tangible Book Value,1213,1213,1177,1167,1148,1126,1089,1092,1092,1095,1035,989.13,957.69,720.7,708.47,676.82,676.82,-,656.86,-
47,Tangible Book Value Per Share,5.40,5.40,5.24,5.19,5.11,5.01,4.85,4.86,4.86,4.87,4.61,4.40,4.26,4.28,4.20,4.02,4.02,-,3.90,-
48,Buildings,-,-,357.43,-,270.4,-,269.79,-,269.79,-,193.75,-,193.75,-,193.63,-,193.63,-,193.63,-
49,Machinery,-,-,523.92,-,331.05,-,312.81,-,255.37,-,183.17,-,173.44,-,162.7,-,129.19,-,126.61,-
50,Construction In Progress,-,-,8.56,-,186.48,-,46.6,-,21.05,-,3.92,-,4.84,-,5.05,-,31.7,-,20.59,-
