,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
28,EPS (Basic),0.38,0.43,0.41,0.32,0.43,0.57,0.45,0.54,0.88,2.33,1.09,0.36
29,EPS (Diluted),0.38,0.43,0.41,0.32,0.43,0.57,0.45,0.54,0.88,2.33,1.09,0.36
30,EPS Growth,-11.70%,-24.91%,-8.89%,-40.51%,-50.97%,-75.40%,-58.55%,51.70%,-,-,-,-
31,Free Cash Flow,138.44,143.04,-38.97,108.1,180.95,215.98,31.93,286.25,361.68,304.6,225.37,49.83
32,Free Cash Flow Per Share,0.36,0.39,-0.10,0.29,0.49,0.56,0.09,0.74,1.29,2.53,0.81,0.18
33,Dividend Per Share,-,-,-,1.006,-,-,-,0.857,-,-,-,-
34,Dividend Growth,-,-,-,17.31%,-,-,-,-,-,-,-,-
35,Gross Margin,35.03%,33.40%,34.03%,40.88%,33.60%,36.42%,39.32%,39.51%,42.89%,40.19%,46.99%,31.92%
36,Operating Margin,27.72%,26.07%,25.16%,30.70%,27.96%,32.86%,28.57%,27.56%,36.84%,33.88%,38.02%,24.07%
37,Profit Margin,27.38%,26.86%,26.30%,22.84%,27.85%,36.93%,26.57%,32.25%,30.43%,31.52%,31.55%,21.89%
38,Free Cash Flow Margin,26.13%,24.34%,-6.64%,20.55%,31.52%,36.21%,5.50%,44.09%,44.48%,34.27%,23.46%,10.83%
39,EBITDA,161.49,170.75,162.2,176.12,170.45,209.82,175.91,188.88,306.84,309.21,372.52,117.48
40,EBITDA Margin,30.48%,29.06%,27.65%,33.48%,29.69%,35.18%,30.28%,29.09%,37.74%,34.79%,38.77%,25.53%
41,D&A For EBITDA,14.58,17.57,14.58,14.58,9.93,13.81,9.93,9.93,7.27,8.16,7.27,6.71
42,EBIT,146.91,153.18,147.62,161.54,160.51,196.01,165.98,178.95,299.57,301.05,365.25,110.77
43,EBIT Margin,27.72%,26.07%,25.16%,30.70%,27.96%,32.86%,28.57%,27.56%,36.84%,33.88%,38.02%,24.07%
44,Effective Tax Rate,14.09%,13.93%,13.34%,14.30%,12.36%,14.74%,13.48%,15.54%,13.37%,13.37%,13.81%,13.22%
45,Revenue as Reported,-,-,-,2277,-,-,-,3312,-,-,-,-
46,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,0.05
