,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Other Unusual Items,4.1,-24.97,20.87,-,16.09,1.13,-1.13,-,69.23,1.01,-1.01,-,56.7,-23.9,11.95,11.95
21,Pretax Income,-5.26,69.9,64.4,67.08,50.19,37.83,61.93,46.46,83.06,71.31,67.55,45.44,44.05,41,25.24,25.24
22,Income Tax Expense,-38.9,9.33,11.01,16.25,14.69,2.58,3.34,7.84,2.78,15.14,8.58,6.62,4.92,2.47,3.35,3.35
23,Earnings From Continuing Operations,33.64,60.56,53.38,50.83,35.5,35.26,58.59,38.62,80.29,56.17,58.98,38.82,39.13,38.54,21.89,21.89
24,Minority Interest in Earnings,-24.96,7.37,7.99,9.6,1.17,1.08,-2.29,0.77,1.88,6.61,0.73,1.98,5.04,-,-,-
25,Net Income,8.68,67.93,61.37,60.43,36.67,36.33,56.29,39.39,82.16,62.78,59.71,40.8,44.17,38.54,21.89,21.89
26,Net Income to Common,8.68,67.93,61.37,60.43,36.67,36.33,56.29,39.39,82.16,62.78,59.71,40.8,44.17,38.54,21.89,21.89
27,Net Income Growth,-76.32%,86.96%,9.02%,53.42%,-55.37%,-42.13%,-5.72%,-3.46%,86.00%,62.90%,172.78%,86.40%,-,-,-,-
28,Shares Outstanding (Basic),269,306,134,308,303,315,309,307,305,232,233,232,235,226,232,232
29,Shares Outstanding (Diluted),269,306,134,308,303,315,309,307,305,232,233,232,235,226,232,232
30,Shares Change (YoY),-11.22%,-2.73%,-56.49%,0.56%,-0.82%,35.48%,32.79%,32.10%,29.88%,2.98%,0.27%,0.07%,-,-,-,-
31,EPS (Basic),0.03,0.22,0.46,0.20,0.12,0.12,0.18,0.13,0.27,0.27,0.26,0.18,0.19,0.17,0.09,0.09
32,EPS (Diluted),0.03,0.22,0.46,0.20,0.12,0.12,0.18,0.13,0.27,0.27,0.26,0.18,0.19,0.17,0.09,0.09
33,EPS Growth,-73.33%,92.22%,150.53%,52.57%,-55.00%,-57.28%,-29.00%,-26.92%,43.21%,58.71%,172.04%,86.26%,-,-,-,-
34,Free Cash Flow,-,-405.75,-198.41,-470.09,-340.83,-415.6,-439.17,-287.38,-204.98,-326.06,-123.07,-161.05,-244.08,-26.37,-99.43,-99.43
35,Free Cash Flow Per Share,-,-1.33,-1.48,-1.52,-1.13,-1.32,-1.42,-0.94,-0.67,-1.40,-0.53,-0.69,-1.04,-0.12,-0.43,-0.43
36,Dividend Per Share,-,-,0.200,-,0.338,-,-,-,0.473,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-28.58%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,-63.12%,36.60%,23.88%,25.39%,17.54%,28.43%,24.05%,29.21%,28.56%,34.50%,31.80%,33.18%,30.26%,35.55%,28.21%,28.21%
39,Operating Margin,-10.42%,19.63%,5.86%,11.03%,-4.34%,11.53%,8.00%,10.75%,2.71%,18.85%,18.37%,19.97%,-4.39%,32.54%,9.01%,9.01%
40,Profit Margin,1.19%,8.40%,7.63%,8.61%,5.43%,6.47%,11.56%,11.54%,15.45%,15.14%,18.82%,14.55%,16.35%,16.92%,12.68%,12.68%
41,Free Cash Flow Margin,-,-50.18%,-24.65%,-67.01%,-50.44%,-74.02%,-90.15%,-84.18%,-38.53%,-78.61%,-38.79%,-57.42%,-90.36%,-11.58%,-57.61%,-57.61%
42,EBITDA,-37.49,197.01,107.74,115.62,8.89,93.57,76.55,65.54,43.29,97.77,84.45,75.58,7.71,91.44,32.85,32.85
43,EBITDA Margin,-5.16%,24.36%,13.39%,16.48%,1.32%,16.66%,15.71%,19.20%,8.14%,23.57%,26.62%,26.95%,2.85%,40.14%,19.03%,19.03%
44,D&A For EBITDA,38.25,38.25,60.55,38.25,38.25,28.85,37.56,28.85,28.85,19.57,26.18,19.57,19.57,17.3,17.3,17.3
45,EBIT,-75.74,158.76,47.2,77.37,-29.36,64.72,38.99,36.69,14.44,78.2,58.27,56.01,-11.86,74.14,15.55,15.55
46,EBIT Margin,-10.42%,19.63%,5.86%,11.03%,-4.34%,11.53%,8.00%,10.75%,2.71%,18.85%,18.37%,19.97%,-4.39%,32.54%,9.01%,9.01%
47,Effective Tax Rate,-,13.35%,17.10%,24.22%,29.27%,6.81%,5.39%,16.87%,3.34%,21.23%,12.70%,14.57%,11.18%,6.01%,13.27%,13.27%
48,Revenue as Reported,-,808.59,804.83,701.48,675.72,561.49,487.14,341.4,531.93,414.78,317.28,280.47,270.12,227.81,172.6,172.6
