,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Long-Term Deferred Tax Assets,-,55.63,32.52,32.66,32.25,24.77,24.74,25.01,23.03,17.77,-,-,17.14,-,10.63,10.63
14,Long-Term Deferred Charges,-,4.38,4.16,3.59,3.8,3.96,4.13,4.27,4.44,9.1,-,-,-,-,1.09,1.09
15,Other Long-Term Assets,-,348.94,403.9,627.37,490.85,403.32,270.12,234.05,137.51,219.13,-,-,212.68,-,195.81,195.81
16,Total Assets,-,8070,7747,7592,7590,7336,6944,6774,6640,6968,-,-,2487,-,1775,1775
17,Accounts Payable,-,873.03,791.36,743.21,863.19,690.13,599.46,589.47,605.11,640.02,-,-,374.67,-,198.15,198.15
18,Accrued Expenses,-,48.23,52.51,38.36,47.47,33.92,30.2,20.15,44.17,30.73,-,-,18.02,-,10.13,10.13
19,Short-Term Debt,-,186.02,97.01,82.45,75.97,86.4,92.51,63.05,65.33,228.16,-,-,175.94,-,73.13,73.13
20,Current Portion of Long-Term Debt,-,161.19,190.2,132.43,99.94,45.94,16.47,15.61,13.41,-,-,-,0.47,-,-,-
21,Current Portion of Leases,-,-,4.84,-,7.83,-,2.18,-,1.96,-,-,-,2.97,-,-,-
22,Current Income Taxes Payable,-,14.71,10.28,19.99,8.86,3.45,-,6.2,0.16,8.84,-,-,0.2,-,-,-
23,Current Unearned Revenue,-,2.43,2.36,21.41,12.18,7.68,7.99,36.7,11.61,12.74,-,-,19.03,-,0.47,0.47
24,Other Current Liabilities,-,102.42,53.11,43.14,72.95,119.6,173.49,161.96,102.88,65.27,-,-,45.97,-,77.77,77.77
25,Total Current Liabilities,-,1388,1202,1081,1188,987.14,922.3,893.16,844.64,985.76,-,-,637.27,-,359.64,359.64
26,Long-Term Debt,-,1417,1315,1202,1072,1058,783.95,558.21,519.48,795.77,-,-,355.06,-,117.92,117.92
27,Long-Term Leases,-,53.47,53.08,51.61,50.15,10.32,12.11,11.97,11.84,8.83,-,-,9.46,-,-,-
28,Long-Term Unearned Revenue,-,384.2,393.94,420.62,432.45,398.33,389.02,411.12,420.21,413.36,-,-,373.76,-,333.54,333.54
29,Long-Term Deferred Tax Liabilities,-,13.64,13.1,13.16,13.7,8.54,8.63,9.11,6.91,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,75.99,75.12,74.11,73.08,72.11,71.11,67.86,69.16,86.38,-,-,16.98,-,-,-
31,Total Liabilities,-,3332,3052,2843,2830,2534,2187,1951,1872,2290,-,-,1393,-,811.1,811.1
32,Common Stock,-,308.03,308.03,209.05,209.05,209.05,209.05,209.05,209.05,209.05,-,-,156.79,-,156.79,156.79
33,Additional Paid-In Capital,-,3988,3985,4069,4057,4049,4039,4029,4024,4071,-,-,725.18,-,723.34,723.34
34,Retained Earnings,-,520.97,453.04,494.72,434.29,397.41,361.07,451.11,411.94,330.02,-,-,166.73,-,84.02,84.02
35,Treasury Stock,-,-243.85,-227.84,-207.9,-133.83,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-5.38,-0.57,-1.84,-1.81,1.49,1.58,0.35,-0.03,0.34,-,-,-0.6,-,-0.12,-0.12
37,Total Common Equity,4567,4567,4517,4563,4565,4657,4611,4689,4644,4611,-,1048,1048,964.03,964.03,964.03
38,Minority Interest,-,170.07,177.44,185.43,195.03,144.5,145.56,133.2,123.75,66.63,-,-,45.96,-,-,-
39,Shareholders' Equity,4737,4737,4695,4749,4760,4802,4757,4822,4768,4678,-,1094,1094,964.03,964.03,964.03
40,Total Liabilities & Equity,-,8070,7747,7592,7590,7336,6944,6774,6640,6968,-,-,2487,-,1775,1775
41,Total Debt,1817,1817,1660,1469,1306,1200,907.22,648.85,612.02,1033,-,543.9,543.9,191.05,191.05,191.05
42,Net Cash (Debt),-539.82,-539.82,-67.01,238.46,773.71,1298,1709,2230,2530,2777,-,-197.26,-197.26,6.43,6.43,6.43
43,Net Cash Growth,-,-,-,-89.31%,-69.42%,-53.24%,-,-,-,43091.40%,-,-,-,-,-,-
44,Net Cash Per Share,-2.01,-1.76,-0.50,0.77,2.56,4.13,5.53,7.27,8.29,11.96,-,-0.85,-0.84,0.03,0.03,0.03
45,Filing Date Shares Outstanding,268.57,304.19,304.35,308.47,305.17,309.4,309.4,306.76,309.4,232.24,232.67,232.22,232.05,225.52,232.05,232.05
46,Total Common Shares Outstanding,304.19,304.19,304.65,308.47,306.87,309.4,309.4,306.76,309.4,232.24,232.67,232.22,232.05,225.52,232.05,232.05
47,Working Capital,-,2529,2725,2827,2888,3434,3403,3451,3572,4027,-,-,359.21,-,287.71,287.71
48,Book Value Per Share,15.01,15.01,14.83,14.79,14.88,15.05,14.90,15.29,15.01,19.79,-,4.52,4.52,4.15,4.15,4.15
49,Tangible Book Value,4419,4419,4377,4419,4420,4518,4476,4554,4505,4475,-,912.24,912.24,851.35,851.35,851.35
50,Tangible Book Value Per Share,14.53,14.53,14.37,14.33,14.40,14.60,14.47,14.85,14.56,19.21,-,3.93,3.93,3.67,3.67,3.67
51,Buildings,-,-,950.24,-,957.88,-,384.72,-,363.06,-,-,-,353.86,-,238.03,238.03
52,Machinery,-,-,1837,-,1715,-,1260,-,1032,-,-,-,650.07,-,517.78,517.78
53,Construction In Progress,-,-,859.99,-,461.03,-,811.75,-,813.71,-,-,-,332.43,-,239.47,239.47
