,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
34,Free Cash Flow Per Share,-,0.07,0.04,-0.04,-0.07,-0.09,-0.01,-0.04,0.03,-0.14,0.00,-0.04,0.00,-0.10,-0.08,-0.08,-0.04,-0.04,-0.04,-0.04
35,Dividend Per Share,-,-,-,-,0.100,-,-,-,0.055,-,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,81.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Profit Margin,12.31%,25.76%,20.25%,20.08%,18.58%,20.71%,18.38%,19.44%,7.86%,14.81%,16.25%,15.93%,5.12%,14.89%,14.04%,14.04%,18.45%,18.45%,20.51%,20.51%
38,Free Cash Flow Margin,-,26.77%,12.54%,-17.29%,-32.58%,-41.72%,-2.19%,-17.64%,8.32%,-42.78%,0.35%,-14.18%,0.40%,-34.88%,-25.50%,-25.50%,-26.12%,-26.12%,-27.31%,-27.31%
39,EBITDA,70.32,185.39,184.11,154.44,106.91,145.43,163.41,135.35,93.67,139.28,137.62,122.52,88.01,131.65,114.7,114.7,95.37,95.37,93.99,93.99
40,EBITDA Margin,15.18%,47.82%,40.84%,42.77%,31.56%,44.37%,38.34%,43.47%,19.58%,32.54%,35.82%,40.04%,18.41%,36.73%,33.77%,33.77%,50.67%,50.67%,60.64%,60.64%
41,D&A For EBITDA,44.44,44.44,56.53,44.44,44.44,36.18,42.51,36.18,36.18,32.88,36.44,32.88,32.88,32.54,32.54,32.54,27.83,27.83,26.61,26.61
42,EBIT,25.88,140.95,127.58,110,62.48,109.25,120.91,99.17,57.49,106.4,101.18,89.64,55.13,99.11,82.16,82.16,67.55,67.55,67.38,67.38
43,EBIT Margin,5.59%,36.36%,28.30%,30.47%,18.44%,33.34%,28.37%,31.85%,12.02%,24.86%,26.33%,29.29%,11.53%,27.65%,24.19%,24.19%,35.88%,35.88%,43.47%,43.47%
44,Effective Tax Rate,65.13%,8.62%,10.63%,10.21%,-,17.92%,17.15%,17.59%,14.43%,19.34%,10.02%,18.25%,20.86%,23.10%,15.97%,15.97%,22.21%,22.21%,23.21%,23.21%
45,Revenue as Reported,-,387.66,450.78,361.06,338.75,327.74,426.18,311.34,478.45,428.07,384.23,306.03,478.11,358.47,339.6,339.6,-,-,-,-
