,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Long-Term Investments,-,712.83,740,50,740,50,550,50,350,-,-,-,-,-,-,-
13,Other Intangible Assets,-,64.03,80.54,81.2,81.85,75.98,64.91,65.17,65.8,66.05,66.48,-,13.77,-,-,-
14,Long-Term Deferred Tax Assets,-,30.91,31.92,32.82,34.96,27.99,29.9,33.12,35.53,11.82,12.51,-,10.75,-,-,-
15,Long-Term Deferred Charges,-,16.52,17.91,19.31,21.69,16.4,14.83,16.42,15.4,11.56,11.65,-,7.5,-,-,-
16,Other Long-Term Assets,-,-,44.42,730.57,36.38,764.8,109.59,464.46,166.05,315.47,6.31,-,12.61,-,-,-
17,Total Assets,-,3585,3497,3372,3356,3410,3697,3324,3168,3061,1471,-,1139,-,-,-
18,Accounts Payable,-,210.67,247.75,210.68,221.46,231.18,194.78,144.06,140.9,147.92,105.39,-,132.32,-,-,-
19,Accrued Expenses,-,7.49,8.99,8.59,17.59,10.78,12.45,6.36,19.64,8.21,26.06,-,13.36,-,-,-
20,Short-Term Debt,-,292.11,277.06,95.99,116.88,120.9,363.89,128.15,30.03,2.5,579.37,-,304.54,-,-,-
21,Current Portion of Long-Term Debt,-,86.37,74.65,34.13,34.02,5.02,4.18,0.18,10.16,-,-,-,24.98,-,-,-
22,Current Income Taxes Payable,-,2.41,0.08,1.09,0.01,0.99,0.07,0.85,0.16,3.97,6.04,-,4.85,-,-,-
23,Current Unearned Revenue,-,19.89,16.3,23.89,13.13,17.87,7.52,12.67,8.92,7,8.12,-,3.16,-,-,-
24,Other Current Liabilities,-,66.46,49.19,35.62,36.82,58.73,31.12,47.98,45.07,29.2,51.07,-,18.22,-,-,-
25,Total Current Liabilities,-,685.39,674.02,410,439.91,445.47,614,340.25,254.88,198.81,776.07,-,501.42,-,-,-
26,Long-Term Debt,-,88.89,33.37,67.93,54.61,86.12,141.07,66.04,29,-,48.18,-,36.1,-,-,-
27,Long-Term Unearned Revenue,-,73.3,74.61,76.32,78.55,78.99,81.45,88.96,83.93,84.19,90.81,-,97.82,-,-,-
28,Total Liabilities,-,847.59,782,554.25,573.08,610.58,836.52,495.25,367.81,283,915.06,-,635.33,-,-,-
29,Common Stock,-,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,246.86,185.14,-,185.14,-,-,-
30,Additional Paid-In Capital,-,2419,2410,2399,2388,2377,2375,2375,2375,2375,235.23,-,234.07,-,-,-
31,Retained Earnings,-,176.32,162.44,173.18,145.38,173.75,236.45,204.68,178.87,156.29,135.73,-,84.43,-,-,-
32,Treasury Stock,-,-104.68,-104,-3.69,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,2738,2738,2715,2815,2780,2798,2858,2826,2801,2778,556.09,503.64,503.64,-,-,431.09
34,Minority Interest,-,-,-,2.74,2.69,2,2,2,-,-,-,-,-,-,-,-
35,Shareholders' Equity,2738,2738,2715,2818,2783,2800,2860,2828,2801,2778,556.09,503.64,503.64,-,-,431.09
36,Total Liabilities & Equity,-,3585,3497,3372,3356,3410,3697,3324,3168,3061,1471,-,1139,-,-,-
37,Total Debt,467.38,467.38,385.08,198.05,205.52,212.04,509.13,194.38,69.19,2.5,627.56,365.61,365.61,-,-,199.54
38,Net Cash (Debt),-184.01,-184.01,-267.41,26.6,92.94,107.48,402.39,746.84,847.16,871.73,-562.37,-276.2,-276.2,-,-,-102.37
39,Net Cash Growth,-,-,-,-96.44%,-89.03%,-87.67%,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,-0.68,-0.79,-1.15,0.11,0.36,0.43,1.51,3.18,3.52,3.75,-2.97,-1.56,-1.43,-,-,-0.52
41,Filing Date Shares Outstanding,269.89,240.36,240.42,251.41,246.86,246.86,246.86,246.86,246.86,246.86,246.86,177.26,185.14,154.81,195.2,195.2
42,Total Common Shares Outstanding,269.89,240.36,240.42,251.41,246.86,246.86,246.86,246.86,246.86,246.86,185.14,177.26,185.14,154.81,195.2,195.2
43,Working Capital,-,1188,995.59,1167,1121,1239,1573,1718,1677,1899,54.25,-,82.47,-,-,-
44,Book Value Per Share,11.39,11.39,11.29,11.20,11.26,11.33,11.58,11.45,11.34,11.25,3.00,2.72,2.72,-,-,2.33
45,Tangible Book Value,2674,2674,2635,2734,2698,2722,2793,2761,2735,2712,489.61,489.87,489.87,-,-,417.54
46,Tangible Book Value Per Share,11.12,11.12,10.96,10.87,10.93,11.03,11.31,11.19,11.08,10.99,2.64,2.65,2.65,-,-,2.26
47,Buildings,-,-,129.51,-,129.51,-,128.68,-,128.42,-,128.37,-,103.39,-,-,-
48,Machinery,-,-,588,-,573.05,-,553.96,-,474.15,-,443.66,-,430.69,-,-,-
49,Construction In Progress,-,-,375.88,-,335.41,-,195.19,-,119.82,-,74.73,-,65.85,-,-,-
