,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
15,Debt / EBITDA Ratio,20.38,-,10.22,-,-,-,3.95,0.90,1.65,0.78,0.44,0.35,0.36,0.26,0.23,0.32,0.43,0.34,0.43,0.32,0.80,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-0.47,-,-,-0.63,-,-,-,-,0.90,6.72,1.94,0.69,-,0.44,6.15,Upgrade
17,Asset Turnover,0.59,0.56,-,-,-,0.62,0.57,0.71,0.68,0.77,0.67,0.61,0.64,0.61,0.57,0.72,0.77,0.58,0.48,0.67,Upgrade,
18,Inventory Turnover,-,9.56,8.67,-,-,-,10.62,9.72,11.94,10.89,11.11,9.29,8.72,10.03,9.50,8.70,10.25,8.71,6.42,5.26,7.05,Upgrade
19,Quick Ratio,0.94,0.94,1.06,1.14,-,-,2.06,1.91,2.05,2.30,2.79,2.99,3.58,2.56,3.15,2.91,1.39,2.43,2.52,2.36,2.07,Upgrade
20,Current Ratio,1.32,1.32,1.45,1.61,-,-,2.56,2.54,2.52,2.81,3.34,3.70,4.27,3.04,3.67,3.39,1.58,3.05,3.20,2.97,2.69,Upgrade
21,Return on Equity (ROE),-4.96%,-2.42%,-,-,-,-1.16%,1.32%,6.98%,5.43%,5.88%,14.51%,8.72%,8.44%,11.98%,16.47%,11.83%,6.27%,4.45%,1.97%,0.58%,Upgrade,
22,Return on Assets (ROA),-1.99%,-1.39%,-,-,-,-1.54%,0.21%,-0.26%,0.45%,2.74%,3.98%,2.35%,3.34%,3.61%,3.95%,2.25%,3.42%,2.27%,1.06%,-0.91%,Upgrade,
23,Return on Capital (ROIC),-2.54%,-1.77%,-,-,-,-1.87%,0.26%,-0.32%,0.55%,3.22%,4.66%,2.79%,3.97%,4.24%,5.43%,3.34%,4.37%,2.88%,1.35%,-1.15%,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,1.40%,-,4.25%,5.54%,5.81%,5.76%,5.75%,5.47%,4.65%,4.35%,2.68%,1.37%,0.54%,-,Upgrade
25,Earnings Yield,-1.81%,-2.10%,-1.94%,-1.38%,-,0.71%,2.03%,2.65%,4.82%,4.87%,4.23%,4.70%,4.44%,5.09%,4.76%,4.37%,3.04%,1.70%,2.37%,2.64%,1.98%,Upgrade
26,FCF Yield,-9.42%,-12.20%,-15.41%,-11.56%,-,-8.06%,-4.87%,-4.35%,-4.59%,-2.86%,-4.42%,-3.74%,-0.61%,-0.26%,1.29%,0.30%,1.09%,2.52%,1.65%,2.51%,0.14%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.38%,-,-,-,0.28%,-,-,-,0.60%,-,-,-,0.27%,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,9.13%,-,2.39%,48.23%,0.76%,1.44%,-,36.98%,0.60%,0.76%,1.63%,59.02%,3.04%,0.65%,Upgrade
29,Buyback Yield / Dilution,-9.33%,0.64%,-18.37%,14.64%,-,3.23%,7.62%,-6.50%,0.32%,-0.87%,6.34%,-11.47%,-30.25%,-24.11%,-80.46%,14.70%,22.11%,-0.44%,28.53%,-28.07%,-19.34%,Upgrade
30,Total Shareholder Return,-9.33%,0.64%,-18.37%,14.64%,-,3.23%,7.62%,-6.50%,0.69%,-0.87%,6.34%,-11.47%,-29.96%,-24.11%,-80.46%,14.70%,22.70%,-0.44%,28.53%,-28.07%,-19.08%,Upgrade
