,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Operating Expenses,55.45,48.07,47.37,-,49.41,43.83,32.55,61.48,54.64,45.51,32.42,67.81,43.83,36.91,36.58,45.85,39.8,34.41,31.27,51.13,Upgrade
10,Operating Income,-32.26,-22.21,-30.91,-,-23.47,-22.45,3.1,-3.8,6.41,37.56,52.89,30.6,42.41,44.59,48.34,23.98,30.64,19.79,9.17,-7.78,Upgrade
11,Interest Expense,-1.17,-1.7,-1.44,-,-0.95,-0.84,-0.65,-1.17,-0.74,-1.05,-0.86,-0.36,-0.34,-0.41,-0.55,-0.47,-0.46,-0.41,-0.28,-0.35,Upgrade
12,Interest & Investment Income,3.2,3.39,4.89,-,6.13,7.04,6.41,7.2,7.75,7.91,7.43,12.14,9.1,8.09,7.7,3.68,4.31,0.68,0.67,2.56,Upgrade
13,Currency Exchange Gain (Loss),-0.78,0.78,-,-,-1.73,1.73,-,6.82,-3.33,3.33,-,-2.38,1.79,-1.79,-,-4.4,-0.95,0.95,-,0.98,Upgrade
14,Other Non Operating Income (Expenses),-0.51,-0.17,-0.16,-,1.6,0.82,-0.68,-4.49,7.43,-1.6,-0.69,0.1,0.48,-2.64,0.17,1.78,-1.16,-1.13,-0.39,-1.57,Upgrade
15,EBT Excluding Unusual Items,-31.52,-19.91,-27.61,-,-18.42,-13.71,8.17,4.56,17.53,46.15,58.77,40.1,53.44,47.84,55.67,24.57,32.39,19.88,9.17,-6.16,Upgrade
16,Gain (Loss) on Sale of Investments,-0.12,0.22,-0.09,-,-0.08,-0.04,-0.07,0.37,0.08,0.06,0.06,0.3,-0.06,-0.19,-0.11,-0.29,-2.42,2.03,0.79,0.07,Upgrade
17,Gain (Loss) on Sale of Assets,0.01,0.13,0.2,-,0,-,0.32,-1.23,16.46,0.17,55.17,-2.89,7.17,39.69,47.02,37.7,-0.37,0.08,-,-0.67,Upgrade
18,Asset Writedown,-0.04,0.45,-0.45,-,-1.13,0.37,-0.37,-0.21,0.21,-0.01,0.01,-1.72,1.72,0.71,-0.71,-9.66,-0.18,-,-,-8.01,Upgrade
19,Other Unusual Items,-3.74,1.35,2.73,-,-,-,-,4.35,6.16,-,-,13.48,-,-,-,6.4,-,-,-,9.17,Upgrade
20,Pretax Income,-35.41,-17.78,-25.23,-,-19.62,-13.38,8.06,7.85,40.43,46.37,114,49.27,62.27,88.04,101.87,58.72,29.41,21.99,9.97,-5.61,Upgrade
21,Income Tax Expense,-0.7,-0.69,-0.53,-,-2,-4.99,-1.59,-42.47,1.92,5.1,14.39,-8.84,7.25,11.5,13.82,7.81,3.05,3.44,1.79,-8,Upgrade
22,Earnings From Continuing Operations,-34.72,-17.08,-24.69,-,-17.62,-8.39,9.64,50.32,38.51,41.27,99.61,58.11,55.02,76.55,88.05,50.91,26.37,18.55,8.17,2.39,Upgrade
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,0.63,1.28,1.22,1.32,7.18,1.21,1.03,1.35,7.74,Upgrade
24,Net Income,-34.72,-17.08,-24.69,-,-17.62,-8.39,9.64,50.32,38.51,41.27,99.61,58.73,56.29,77.77,89.36,58.09,27.58,19.57,9.52,10.14,Upgrade
25,Net Income to Common,-34.72,-17.08,-24.69,-,-17.62,-8.39,9.64,50.32,38.51,41.27,99.61,58.73,56.29,77.77,89.36,58.09,27.58,19.57,9.52,10.14,Upgrade
26,Net Income Growth,-,-,-,-,-,-,-90.32%,-14.32%,-31.59%,-46.93%,11.47%,1.10%,104.11%,297.30%,838.35%,473.03%,-53.14%,87.07%,113.44%,-63.12%,Upgrade
27,Shares Outstanding (Basic),894,970,823,-,900,819,964,843,930,887,906,846,922,947,812,649,743,525,952,834,Upgrade
28,Shares Outstanding (Diluted),894,970,823,-,900,819,964,843,930,887,906,846,922,947,812,649,743,525,952,834,Upgrade
29,Shares Change (YoY),-0.64%,18.37%,-14.64%,-,-3.23%,-7.62%,6.50%,-0.32%,0.87%,-6.34%,11.47%,30.25%,24.11%,80.46%,-14.70%,-22.11%,0.44%,-28.53%,28.07%,19.34%,Upgrade
30,EPS (Basic),-0.04,-0.02,-0.03,-,-0.02,-0.01,0.01,0.06,0.04,0.05,0.11,0.07,0.06,0.08,0.11,0.09,0.04,0.04,0.01,0.01,Upgrade
31,EPS (Diluted),-0.04,-0.02,-0.03,-,-0.02,-0.01,0.01,0.06,0.04,0.05,0.11,0.07,0.06,0.08,0.11,0.09,0.04,0.04,0.01,0.01,Upgrade
32,EPS Growth,-,-,-,-,-,-,-90.91%,-14.05%,-32.18%,-43.34%,0%,-22.37%,64.46%,120.17%,1000.00%,635.70%,-53.35%,161.75%,66.67%,-69.10%,Upgrade
33,Free Cash Flow,-89.27,-41.95,-313.76,-,-116.51,4.64,-180.45,-95.29,55.22,-8.95,-169.7,-16.57,-72.39,25.97,24.16,7.91,10.39,-28.98,51.74,65.48,Upgrade
34,Free Cash Flow Per Share,-0.10,-0.04,-0.38,-,-0.13,0.01,-0.19,-0.11,0.06,-0.01,-0.19,-0.02,-0.08,0.03,0.03,0.01,0.01,-0.06,0.05,0.08,Upgrade
35,Dividend Per Share,-,-,-,-,-,-,-,0.020,-,-,-,0.020,-,-,-,0.030,-,-,-,0.015,Upgrade
36,Dividend Growth,-,-,-,-,-,-,-,0%,-,-,-,-33.33%,-,-,-,100.00%,-,-,-,50.00%,Upgrade
37,Gross Margin,3.88%,4.64%,3.32%,-,4.68%,3.82%,6.83%,8.99%,10.12%,12.60%,15.33%,19.72%,17.05%,17.41%,19.42%,14.63%,16.43%,17.03%,15.73%,12.10%,Upgrade
38,Operating Margin,-5.39%,-3.99%,-6.24%,-,-4.24%,-4.01%,0.59%,-0.59%,1.06%,5.70%,9.51%,6.13%,8.39%,9.53%,11.05%,5.02%,7.15%,6.22%,3.57%,-2.17%,Upgrade
39,Profit Margin,-5.80%,-3.06%,-4.99%,-,-3.18%,-1.50%,1.85%,7.85%,6.39%,6.26%,17.90%,11.77%,11.13%,16.61%,20.43%,12.17%,6.43%,6.15%,3.70%,2.83%,Upgrade
40,Free Cash Flow Margin,-14.92%,-7.53%,-63.38%,-,-21.03%,0.83%,-34.56%,-14.86%,9.16%,-1.36%,-30.50%,-3.32%,-14.32%,5.55%,5.52%,1.66%,2.42%,-9.11%,20.12%,18.28%,Upgrade
41,EBITDA,-3.19,8.19,-1.83,-,-2.56,6.45,24.01,17.12,28.36,58.6,74.95,52.66,64.32,66.56,70.26,45.9,49.89,40.9,28.42,11.47,Upgrade
42,EBITDA Margin,-0.53%,1.47%,-0.37%,-,-0.46%,1.15%,4.60%,2.67%,4.70%,8.89%,13.47%,10.55%,12.72%,14.22%,16.06%,9.62%,11.64%,12.85%,11.05%,3.20%,Upgrade
43,D&A For EBITDA,29.07,30.4,29.07,-,20.91,28.9,20.91,20.91,21.94,21.04,22.06,22.06,21.92,21.97,21.92,21.92,19.25,21.12,19.25,19.25,Upgrade
44,EBIT,-32.26,-22.21,-30.91,-,-23.47,-22.45,3.1,-3.8,6.41,37.56,52.89,30.6,42.41,44.59,48.34,23.98,30.64,19.79,9.17,-7.78,Upgrade
45,EBIT Margin,-5.39%,-3.99%,-6.24%,-,-4.24%,-4.01%,0.59%,-0.59%,1.06%,5.70%,9.51%,6.13%,8.39%,9.53%,11.05%,5.02%,7.15%,6.22%,3.57%,-2.17%,Upgrade
46,Effective Tax Rate,-,-,-,-,-,-,-,-,4.74%,11.00%,12.62%,-,11.64%,13.06%,13.57%,13.31%,10.35%,15.65%,18.00%,-,Upgrade
47,Revenue as Reported,598.42,557.34,495.02,-,553.99,560.02,522.1,641.44,603.14,659.37,556.43,498.92,505.63,468.07,437.4,477.26,428.81,318.24,257.13,358.14,Upgrade
