,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
17,Other Long-Term Assets,32.22,30.63,176.45,-,-,105.47,77.01,101.04,0.79,9.37,0.7,75.97,397.42,5.3,397.05,50.04,0.47,21.48,8.47,21.96,Upgrade
18,Total Assets,4076,4022,3946,-,-,3641,3627,3680,3595,3457,3393,3253,3247,3100,3069,3056,2273,2206,2155,2170,Upgrade
19,Accounts Payable,618.35,611.76,562.25,-,-,407.66,378.49,384.8,429.55,293.92,284.43,267.66,302.95,252.9,257.12,272.61,234.2,188.1,226.16,251.71,Upgrade
20,Accrued Expenses,33.09,33.55,24.27,-,-,29.01,23.19,35.48,27.91,28.64,21.19,30.61,22.54,22.1,17.06,27.15,16.61,19.61,11.25,21.26,Upgrade
21,Short-Term Debt,125.22,100.98,61.78,-,-,25.51,14.82,53.14,40.04,40.03,30.01,-,-,-,30.03,30.03,30.02,35.53,6.81,6.48,Upgrade
22,Current Portion of Long-Term Debt,61.19,4.03,3.72,-,-,30.88,30.89,40.9,-,5.28,-,-,30.02,30.03,30.03,30.03,-,-,-,-,Upgrade
23,Current Portion of Leases,-,0.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,4.57,0.09,3.91,-,-,0.06,2.17,3.55,21.37,16.37,16.24,1.52,19.31,20.94,21.08,7.96,7.92,2.87,10.03,8.15,Upgrade
25,Current Unearned Revenue,17.2,11.84,12.69,-,-,12.82,10.68,16.12,9.11,11.12,17.88,15.93,22.73,17.15,17.24,19.01,13.88,10.8,9.21,12.29,Upgrade
26,Other Current Liabilities,64.68,68.37,84.31,-,-,73.31,80.89,78.23,68.02,111.91,88.05,55.82,78.19,59.19,53.67,747.17,38.47,44.43,39.72,35.82,Upgrade
27,Total Current Liabilities,924.29,831.18,752.93,-,-,579.24,541.12,612.2,596,507.28,457.79,371.54,475.75,402.31,426.23,1134,341.1,301.34,303.18,335.7,Upgrade
28,Long-Term Debt,228.62,229.33,216.39,-,-,45.52,40.77,18.78,48.85,58.56,76.11,76.71,37.03,31.85,30.46,19.49,37.88,35.07,30.03,30.03,Upgrade
29,Long-Term Unearned Revenue,91.44,94.14,90.29,-,-,69.87,71.97,84.4,87.35,67.51,59.06,60.1,62.22,63.95,65.88,67.62,67.07,68.66,67.37,58.24,Upgrade
30,Long-Term Deferred Tax Liabilities,47.39,48.39,49.5,-,-,54.98,56.07,57.19,0.68,0.55,0.07,0.06,1.48,0.95,0.42,0.07,0.11,0.47,0.16,0.04,Upgrade
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,4.28,4.28,4.28,48.29,35.98,20.98,15.59,87.56,130.46,130.46,92.41,92.41,Upgrade
32,Total Liabilities,1292,1203,1109,-,-,749.62,709.93,772.57,737.16,638.17,597.32,556.7,612.46,520.03,538.57,1309,576.61,535.99,493.15,516.42,Upgrade
33,Common Stock,895.98,895.98,895.98,-,-,895.98,895.98,895.98,895.98,895.98,895.98,895.98,895.98,895.98,895.98,739.45,739.45,739.45,739.45,739.45,Upgrade
34,Additional Paid-In Capital,1128,1128,1128,-,-,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,589.66,589.66,589.66,589.66,589.66,Upgrade
35,Retained Earnings,760.25,794.96,812.05,-,-,866.62,892.94,883.3,832.97,794.46,771.11,671.5,612.76,556.47,505.58,416.22,358.13,330.55,322.07,312.54,Upgrade
36,Total Common Equity,2785,2819,2836,-,-,2891,2917,2908,2857,2819,2795,2696,2637,2581,2530,1745,1687,1660,1651,1642,Upgrade
37,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-2.19,-0.91,0.31,1.63,8.81,10.02,11.05,12.4,Upgrade
38,Shareholders' Equity,2785,2819,2836,-,-,2891,2917,2908,2857,2819,2795,2696,2635,2580,2530,1747,1696,1670,1662,1654,Upgrade
39,Total Liabilities & Equity,4076,4022,3946,-,-,3641,3627,3680,3595,3457,3393,3253,3247,3100,3069,3056,2273,2206,2155,2170,Upgrade
40,Total Debt,415.03,334.9,281.89,-,-,101.92,86.48,112.82,88.89,103.87,106.13,76.71,67.05,61.88,90.51,79.54,67.9,70.6,36.84,36.51,Upgrade
41,Net Cash (Debt),-83.7,35.14,48.46,-,-,641.24,451.62,700.49,751.38,736.55,698.96,880.71,718.21,767.46,757.31,1114,412.18,402.09,400.33,349.39,Upgrade
42,Net Cash Growth,-,-94.52%,-89.27%,-,-,-12.94%,-35.39%,-20.46%,4.62%,-4.03%,-7.70%,-20.95%,74.25%,90.87%,89.17%,218.86%,479.70%,36.23%,179.23%,3.10%,Upgrade
43,Net Cash Per Share,-0.09,0.04,0.06,-,-,0.78,0.47,0.83,0.81,0.83,0.77,1.04,0.78,0.81,0.93,1.72,0.55,0.77,0.42,0.42,Upgrade
44,Filing Date Shares Outstanding,895.98,895.98,895.98,-,899.87,895.98,895.98,895.98,895.98,895.98,895.98,895.98,921.83,946.89,812.37,739.45,742.75,739.45,952.31,739.45,Upgrade
45,Total Common Shares Outstanding,895.98,895.98,895.98,-,899.87,895.98,895.98,895.98,895.98,895.98,895.98,895.98,921.83,946.89,812.37,739.45,742.75,739.45,952.31,739.45,Upgrade
46,Working Capital,294.64,372.06,459.37,-,-,902.2,832.67,931.76,1081,1188,1235,1213,970.5,1075,1018,655.31,699.78,664.21,597.09,567.6,Upgrade
47,Book Value Per Share,3.11,3.15,3.17,-,-,3.23,3.26,3.25,3.19,3.15,3.12,3.01,2.94,2.78,3.11,2.36,2.28,2.24,2.24,2.22,Upgrade
48,Tangible Book Value,2619,2653,2685,-,-,2755,2781,2770,2719,2680,2655,2581,2522,2465,2411,1626,1567,1546,1537,1527,Upgrade
49,Tangible Book Value Per Share,2.92,2.96,3.00,-,-,3.08,3.10,3.09,3.03,2.99,2.96,2.88,2.82,2.66,2.97,2.20,2.12,2.09,2.08,2.06,Upgrade
50,Buildings,-,702.09,-,-,-,447.8,-,447.1,-,435.36,-,431.94,-,434.34,-,427.29,-,475.43,-,482.2,Upgrade
51,Machinery,-,1910,-,-,-,1729,-,1728,-,1297,-,1284,-,1451,-,1216,-,1285,-,1282,Upgrade
52,Construction In Progress,-,621.67,-,-,-,343.47,-,159.88,-,468.7,-,305.53,-,105.94,-,147.79,-,166.27,-,149.45,Upgrade
