,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2019,Q1 2019
16,Accrued Expenses,5.53,5.14,2.96,7.36,5.13,3.98,1.59,9.55,-,-,-,2.09,2.09
17,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,15,15
18,Current Unearned Revenue,307.42,284.12,285.19,341.13,309.48,241.8,242.83,280.75,-,-,-,-,-
19,Current Portion of Leases,1.26,1.33,1.41,0.42,0.46,0.43,0.18,1.22,-,-,-,-,-
20,Current Income Taxes Payable,4.02,3.47,4.67,5.92,2.94,3.9,5.2,7.12,-,-,-,4.17,4.17
21,Other Current Liabilities,38.07,37.54,40.67,44.22,27.82,34.95,35.22,43.38,-,-,-,261.36,261.36
22,Total Current Liabilities,387.4,360.11,363.21,434.94,383.78,308.87,306.79,383.06,-,-,-,318.29,318.29
23,Long-Term Leases,1.58,1.51,2.63,0.4,0.48,0.55,0.48,0.49,-,-,-,-,-
24,Long-Term Unearned Revenue,5.16,5.27,5.38,5.49,5.61,5.72,5.42,5.53,-,-,-,4.53,4.53
25,Long-Term Deferred Tax Liabilities,0.21,0.73,1.04,0.39,-,-,-,0.03,-,-,-,-,-
26,Other Long-Term Liabilities,-,-,-,-,-,0.94,0.94,0.94,-,-,-,-,-
27,Total Liabilities,394.35,367.62,372.26,441.23,389.86,316.07,313.62,390.05,-,-,-,322.81,322.81
28,Common Stock,187.58,187.58,187.58,187.58,187.58,187.58,187.58,187.58,-,-,-,140.68,140.68
29,Additional Paid-In Capital,508.17,508.17,508.17,508.17,508.17,508.17,508.17,508.17,-,-,-,98.85,98.85
30,Retained Earnings,596.66,581.66,618.23,598.08,565.82,555.68,537.58,516.27,-,-,-,175.73,175.73
31,Treasury Stock,-46.29,-20.44,-5.55,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,20.7,19.34,17.97,16.83,16.66,16.95,16.2,14.76,-,-,-,14.61,14.61
33,Total Common Equity,1267,1276,1326,1311,1278,1268,1250,1227,-,-,676.96,429.87,429.87
34,Minority Interest,1.45,1.53,1.63,1.77,1.95,2.04,2.1,2.11,-,-,-,-,-
35,Shareholders' Equity,1268,1278,1328,1312,1280,1270,1252,1229,-,-,679.28,429.87,429.87
36,Total Liabilities & Equity,1663,1645,1700,1754,1670,1586,1565,1619,-,-,-,752.68,752.68
37,Total Debt,2.83,2.84,4.04,0.82,0.93,0.98,0.65,1.72,-,-,2.82,15,15
38,Net Cash (Debt),597.1,928.56,993.46,1029,999.5,932.7,907.09,966.07,-,-,387.4,202.68,202.68
39,Net Cash Growth,-40.26%,-0.44%,9.52%,6.48%,-,-,134.15%,376.65%,-,-,-,-,-
40,Net Cash Per Share,3.14,4.86,5.42,5.97,5.10,5.13,4.69,5.38,-,-,2.80,1.43,1.43
41,Filing Date Shares Outstanding,183.53,185.8,186.72,187.58,187.58,187.58,187.58,187.58,135.43,144.79,138.45,140.68,140.68
42,Total Common Shares Outstanding,183.53,185.8,187.11,187.58,187.58,187.58,187.58,187.58,135.43,144.79,138.45,140.68,140.68
43,Working Capital,614.13,653.97,709.92,701.58,689.88,698.06,677.18,664.32,-,-,-,-47.19,-47.19
44,Book Value Per Share,6.90,6.87,7.09,6.99,6.81,6.76,6.66,6.54,-,-,4.80,3.06,3.06
45,Tangible Book Value,1234,1243,1293,1278,1245,1235,1216,1201,-,-,649.66,408.13,408.13
46,Tangible Book Value Per Share,6.72,6.69,6.91,6.81,6.64,6.58,6.48,6.40,-,-,4.61,2.90,2.90
47,Buildings,-,86.28,-,86.28,-,85.83,-,85.83,-,-,-,73.17,73.17
48,Machinery,-,73.82,-,73.22,-,71.25,-,70.79,-,-,-,48.48,48.48
49,Construction In Progress,-,48.99,-,39.79,-,10.28,-,11.38,-,-,-,23.2,23.2
