,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
14,EV/FCF Ratio,-21.52,-19.13,-,-,-,-,-,-,-,-,-,-,58.79,-,-,-,-,-,-
15,Debt / Equity Ratio,0.23,0.23,0.18,0.14,0.13,0.12,0.13,0.08,0.04,0.04,0.04,0.05,0.05,-,0.27,0.35,0.35,0.34,0.56
16,Debt / EBITDA Ratio,234.22,6.41,5.06,3.22,-,-,2.57,1.34,-,1.29,1.13,0.81,0.27,-,0.28,0.36,0.41,0.40,-
17,Debt / FCF Ratio,-,-2.12,-,-,-,-,-,-,-,-,-,-,0.54,-,-3.74,-,-,-,-
18,Asset Turnover,0.32,0.11,0.06,0.07,0.27,0.28,0.27,0.26,0.30,0.30,0.09,-,-,-,-,1.31,-,-,
19,Inventory Turnover,1.02,1.49,0.72,0.47,0.92,3.31,2.79,2.46,2.55,3.69,4.60,1.97,-,-,-,-,2.45,-,-
20,Quick Ratio,0.77,0.77,0.75,1.03,1.34,1.91,2.25,2.26,2.73,3.43,3.65,5.74,4.58,-,0.85,-,0.50,0.50,-
21,Current Ratio,1.48,1.48,1.55,1.80,1.95,2.42,2.67,2.81,3.31,3.96,4.14,6.25,4.85,-,1.68,-,1.29,1.29,-
22,Return on Equity (ROE),-1.49%,2.36%,5.17%,-10.78%,-4.75%,3.73%,5.74%,-2.33%,3.69%,8.15%,5.57%,-,-,98.45%,71.35%,68.45%,-,-,
23,Return on Assets (ROA),0.74%,-0.00%,1.13%,-6.56%,-1.58%,1.18%,2.60%,-5.06%,1.24%,1.50%,2.53%,-,-,-,-,17.32%,-,-,
24,Return on Capital (ROIC),0.94%,-0.00%,1.39%,-7.85%,-1.84%,1.39%,3.15%,-6.02%,1.45%,1.71%,2.91%,-,-,54.53%,44.54%,39.30%,-,-,
25,Return on Capital Employed (ROCE),-,-2.40%,-,-3.11%,-,-,0.09%,0.16%,-,5.88%,13.38%,20.52%,24.69%,-,63.64%,-,40.96%,21.56%,-
26,Earnings Yield,-0.53%,-0.60%,-1.32%,-0.92%,-0.68%,0.23%,0.89%,1.14%,1.08%,2.38%,3.64%,5.08%,4.16%,-,-,-,-,-,-
27,FCF Yield,-4.86%,-5.53%,-11.91%,-9.79%,-7.33%,-7.36%,-3.58%,-4.12%,-3.58%,-2.63%,-0.83%,1.46%,1.73%,-,-,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.11%,-,-,-,0.74%,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,18.72%,5.90%,-,-,46.14%,1.31%,-,37.32%,162.89%,4.58%,2.54%,1.70%,1.56%,2.72%,2.82%,2.82%,-
30,Buyback Yield / Dilution,1.37%,-2.42%,2.41%,-3.31%,5.62%,1.13%,-2.45%,1.26%,-22.03%,-33.67%,-30.83%,-34.23%,-10.78%,0.33%,-,-,-,-,-
31,Total Shareholder Return,1.37%,-2.42%,2.41%,-3.31%,5.62%,1.13%,-2.45%,1.26%,-21.92%,-33.67%,-30.83%,-34.23%,-10.04%,0.33%,-,-,-,-,-
