,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
39,Total Debt,1303,1019,780.91,742.24,728.37,748.69,486.8,210.79,242.23,248.32,262.83,251.71,-,512.33,448.57,448.57,437.38,331.5
40,Net Cash (Debt),-340.14,-402.61,-178.32,243.01,298.48,648.9,1007,1347,1546,1731,3007,3283,-,-267.79,-110.87,-110.87,-99.68,45.17
41,Net Cash Growth,-,-,-,-81.95%,-80.69%,-62.52%,-66.52%,-58.98%,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,-1.54,-1.88,-0.80,1.17,1.39,2.96,4.66,6.09,7.10,8.09,13.74,18.13,-,-1.64,-0.68,-0.68,-0.61,-
43,Filing Date Shares Outstanding,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,162.9,163.04,163.04,163.04,163.04,-
44,Total Common Shares Outstanding,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,217.39,162.9,163.04,163.04,163.04,163.04,-
45,Working Capital,1487,1535,1763,1954,2447,2765,3095,3090,3557,3671,4784,4726,-,1327,-,732.32,732.32,-
46,Book Value Per Share,25.14,25.22,25.09,24.59,25.82,26.11,25.84,24.89,25.03,24.73,24.82,24.61,-,10.30,6.73,6.73,6.73,2.95
47,Tangible Book Value,5164,5181,5150,5039,5313,5436,5376,5167,5324,5294,5313,5268,-,1618,1034,1034,1034,434.64
48,Tangible Book Value Per Share,23.75,23.83,23.69,23.18,24.44,25.01,24.73,23.77,24.49,24.35,24.44,24.23,-,9.92,6.34,6.34,6.34,2.67
49,Buildings,-,1073,-,836.08,-,601.95,-,487.52,-,218.21,-,212.01,-,206.23,-,179.21,179.21,-
50,Machinery,-,954.94,-,729.42,-,592.41,-,536.51,-,334.98,-,350.46,-,340.07,-,326.62,326.62,-
51,Construction In Progress,-,406.61,-,414.61,-,319.93,-,186.93,-,336.72,-,128.03,-,8.69,-,21.32,21.32,-
