,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
40,Net Cash Per Share,14.27,15.09,24.44,15.15,20.41,21.38,19.30,20.39,16.34,26.57,20.70,29.03,6.26,-,5.58,5.54
41,Filing Date Shares Outstanding,47.16,38.71,39.2,40,40,40,40,40,40,40,40,40,30,29.8,30,29.9
42,Total Common Shares Outstanding,38.71,38.71,39.2,40,40,40,40,40,40,40,40,40,30,29.8,30,29.9
43,Working Capital,-,787.79,796.54,814.66,820.69,868.49,862.56,871.83,877.12,883.24,889.06,882.42,216.23,-,190.04,-
44,Book Value Per Share,23.96,23.96,23.95,23.90,24.07,23.78,23.74,23.89,24.03,24.16,24.16,23.98,9.59,-,8.41,7.17
45,Tangible Book Value,926.81,926.81,924.96,955.67,962.29,950.83,949.24,955.12,960.72,965.57,965.76,958.79,287.15,-,251.69,214.51
46,Tangible Book Value Per Share,23.94,23.94,23.60,23.89,24.06,23.77,23.73,23.88,24.02,24.14,24.14,23.97,9.57,-,8.39,7.15
47,Buildings,-,-,58.85,-,58.85,-,58.47,-,58.47,-,58.47,-,58.47,-,58.47,-
48,Machinery,-,-,75.66,-,71.85,-,69.52,-,67.39,-,58.23,-,48.02,-,37.55,-
49,Construction In Progress,-,-,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-
