,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
23,Net Income to Common,-12.05,0.34,0.63,3.7,16.6,1.85,-3.8,-6.39,-0.42,1.83,5.12,16.81,13.4,18.19,13.6,19.44
24,Net Income Growth,-,-81.60%,-,-,-,0.89%,-,-,-,-89.92%,-62.38%,-13.54%,-,-,-,-
25,Shares Outstanding (Basic),47,45,31,41,38,38,42,40,50,31,40,30,30,30,30,30
26,Shares Outstanding (Diluted),47,45,31,41,38,38,42,40,50,31,41,30,31,30,30,30
27,Shares Change (YoY),23.69%,18.47%,-25.40%,3.01%,-23.97%,21.09%,2.18%,33.12%,61.99%,4.35%,34.58%,-1.18%,-,-,-,-
28,EPS (Basic),-0.26,0.01,0.02,0.09,0.44,0.05,-0.09,-0.16,-0.01,0.06,0.13,0.56,0.44,0.61,0.45,0.65
29,EPS (Diluted),-0.26,0.01,0.02,0.09,0.44,0.05,-0.09,-0.16,-0.01,0.06,0.13,0.56,0.43,0.61,0.45,0.64
30,EPS Growth,-,-84.47%,-,-,-,-16.68%,-,-,-,-90.34%,-72.05%,-12.50%,-,-,-,-
31,Free Cash Flow,-,4.05,0.89,6.76,14.72,1.06,-11.81,-7.17,-1.52,-13.51,-11.91,1.63,21.29,3.32,6.54,-3.17
32,Free Cash Flow Per Share,-,0.09,0.03,0.16,0.39,0.03,-0.28,-0.18,-0.03,-0.43,-0.29,0.05,0.69,0.11,0.22,-0.10
33,Dividend Per Share,-,-,0.100,-,0.200,-,-,-,0.125,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,60.00%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,154.85%,81.65%,78.88%,80.56%,77.86%,84.07%,80.82%,80.42%,48.50%,73.46%,66.22%,69.14%,71.18%,73.99%,74.91%,77.55%
36,Operating Margin,-16.63%,2.56%,-12.93%,-4.97%,-5.08%,-8.14%,-20.63%,-28.35%,-25.65%,1.27%,1.60%,20.64%,10.45%,22.65%,25.61%,26.31%
37,Profit Margin,-25.80%,0.77%,1.50%,8.26%,35.09%,4.99%,-9.21%,-16.49%,-0.66%,2.60%,6.70%,18.02%,19.49%,21.80%,25.51%,22.39%
38,Free Cash Flow Margin,-,9.21%,2.13%,15.08%,31.12%,2.86%,-28.62%,-18.51%,-2.38%,-19.17%,-15.59%,1.74%,30.96%,3.98%,12.26%,-3.65%
39,EBITDA,-4.57,4.33,-1.95,0.97,0.8,0.08,-5.31,-7.89,-13.25,2.99,3.9,21.34,9.27,20.34,15.51,24.29
40,EBITDA Margin,-9.79%,9.84%,-4.65%,2.17%,1.68%,0.22%,-12.87%,-20.35%,-20.79%,4.24%,5.10%,22.88%,13.49%,24.39%,29.10%,27.98%
41,D&A For EBITDA,3.2,3.2,3.47,3.2,3.2,3.1,3.2,3.1,3.1,2.09,2.68,2.09,2.09,1.45,1.86,1.45
42,EBIT,-7.77,1.13,-5.41,-2.23,-2.4,-3.02,-8.51,-10.99,-16.35,0.9,1.22,19.25,7.18,18.9,13.66,22.84
43,EBIT Margin,-16.63%,2.56%,-12.93%,-4.97%,-5.08%,-8.14%,-20.63%,-28.35%,-25.65%,1.27%,1.60%,20.64%,10.45%,22.65%,25.61%,26.31%
44,Effective Tax Rate,-,49.29%,-,-,-,-,-,-,-,57.02%,6.78%,16.24%,7.98%,8.66%,3.39%,18.66%
45,Revenue as Reported,-,43.96,41.87,44.82,47.31,37.07,41.26,38.77,63.75,70.43,169.66,-,68.75,83.42,53.31,86.83
