,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
18,Asset Writedown,-18.96,-19.46,-0.33,-,-39.56,0.25,-0.25,0.24,-0.73,0.09,-0.1,-34.57,-,-,-,-37.11,-,-,-,-5.95,Upgrade
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-40.13,-,-,-,-,-,-,-,-,Upgrade
20,Other Unusual Items,2.38,-2.89,0.51,-,-0.23,0.23,-,5.36,-4.52,3.89,-,-3.8,-0.12,0.12,-,-1.67,-,-,-,1.01,Upgrade
21,Pretax Income,-127.37,-149.39,-102.34,-,-78.43,-72.29,-44.57,-104.48,-62.2,-74.12,-28.03,-194.36,1.93,2.35,1.12,-77.07,-23.43,-9.02,-19.22,-104.6,Upgrade
22,Income Tax Expense,0.23,-0,-0,-,0.01,-0.02,0.01,5.96,-,-0.08,-,10.31,1.44,1.62,0.81,5.13,0.2,-2.74,-0.36,-3.95,Upgrade
23,Earnings From Continuing Operations,-127.6,-149.39,-102.34,-,-78.44,-72.27,-44.58,-110.45,-62.2,-74.04,-28.03,-204.67,0.49,0.73,0.31,-82.2,-23.63,-6.29,-18.86,-100.64,Upgrade
24,Minority Interest in Earnings,-0.03,10.49,18.22,-,11.42,9.43,1.4,-4.24,0.13,6.35,-1.66,1.02,-0,-0.08,0.06,-0.16,-0,-0,0.05,2.04,Upgrade
25,Net Income,-127.63,-138.9,-84.12,-,-67.02,-62.84,-43.18,-114.69,-62.07,-67.69,-29.69,-203.66,0.49,0.66,0.37,-82.36,-23.63,-6.29,-18.81,-98.6,Upgrade
26,Net Income to Common,-127.63,-138.9,-84.12,-,-67.02,-62.84,-43.18,-114.69,-62.07,-67.69,-29.69,-203.66,0.49,0.66,0.37,-82.36,-23.63,-6.29,-18.81,-98.6,Upgrade
27,Shares Outstanding (Basic),216,216,216,-,216,216,216,216,216,216,216,215,221,209,219,212,230,209,209,239,Upgrade
28,Shares Outstanding (Diluted),216,216,216,-,216,216,216,216,216,216,216,215,221,209,219,212,230,209,209,239,Upgrade
29,Shares Change (YoY),-0.00%,-0.02%,-0.00%,-,0.02%,0.04%,-0.02%,0.61%,-2.40%,3.16%,-1.22%,1.47%,-3.67%,-0.00%,4.65%,-11.53%,10.83%,-11.78%,-4.00%,-25.17%,Upgrade
30,EPS (Basic),-0.59,-0.64,-0.39,-,-0.31,-0.29,-0.20,-0.53,-0.29,-0.31,-0.14,-0.95,0.00,0.00,0.00,-0.39,-0.10,-0.03,-0.09,-0.41,Upgrade
31,EPS (Diluted),-0.59,-0.64,-0.39,-,-0.31,-0.29,-0.20,-0.53,-0.29,-0.31,-0.14,-0.95,0.00,0.00,0.00,-0.39,-0.10,-0.03,-0.09,-0.41,Upgrade
32,Free Cash Flow,-35.3,-44.62,-58.1,-,-177.07,-47.86,-438.76,-664.81,-10.89,-165.28,-447.08,-770.27,-14.43,-22.29,69.93,-0.91,-43.96,-121.03,44.44,26.64,Upgrade
33,Free Cash Flow Per Share,-0.16,-0.21,-0.27,-,-0.82,-0.22,-2.03,-3.08,-0.05,-0.77,-2.07,-3.59,-0.07,-0.11,0.32,-0.00,-0.19,-0.58,0.21,0.11,Upgrade
34,Gross Margin,-186.57%,-,-95.67%,-,15.57%,-24.54%,0.63%,-24.39%,-19.16%,2.55%,9.70%,-25.99%,33.52%,32.81%,30.81%,27.71%,23.90%,35.81%,14.01%,-4.61%,Upgrade
35,Operating Margin,-268.61%,-1345.93%,-176.68%,-,-18.94%,-45.39%,-11.83%,-45.93%,-56.67%,-58.66%,-24.89%,-227.06%,7.75%,11.74%,3.62%,-14.74%,-24.81%,-0.50%,-56.41%,-35.53%,Upgrade
36,Profit Margin,-467.58%,-1799.16%,-190.18%,-,-79.52%,-46.72%,-23.74%,-48.29%,-66.15%,-58.61%,-37.28%,-499.53%,0.51%,0.69%,0.42%,-64.15%,-28.11%,-7.90%,-50.52%,-42.36%,Upgrade
37,Free Cash Flow Margin,-129.34%,-577.92%,-131.36%,-,-210.09%,-35.58%,-241.21%,-279.91%,-11.60%,-143.12%,-561.36%,-1889.31%,-14.99%,-23.53%,78.64%,-0.71%,-52.29%,-152.06%,119.35%,11.45%,Upgrade
38,EBITDA,-55.29,-77.18,-60.12,-,-3.54,-44.18,-9.09,-96.65,-44.86,-59.19,-11.04,-83.79,20.06,19.71,15.82,-6.33,-6.79,14.04,-6.93,-68.62,Upgrade
39,EBITDA Margin,-202.57%,-,-135.93%,-,-4.20%,-32.85%,-5.00%,-40.69%,-47.81%,-51.25%,-13.87%,-205.52%,20.83%,20.80%,17.79%,-4.93%,-8.07%,17.64%,-18.61%,-29.48%,Upgrade
40,D&A For EBITDA,18.02,26.72,18.02,-,12.43,16.86,12.43,12.43,8.32,8.55,8.78,8.78,12.6,8.59,12.6,12.6,14.08,14.44,14.08,14.08,Upgrade
41,EBIT,-73.32,-103.91,-78.15,-,-15.96,-61.05,-21.52,-109.08,-53.18,-67.74,-19.82,-92.57,7.47,11.12,3.22,-18.92,-20.86,-0.39,-21.01,-82.69,Upgrade
42,EBIT Margin,-268.61%,-,-176.68%,-,-18.94%,-45.39%,-11.83%,-45.93%,-56.67%,-58.66%,-24.89%,-227.06%,7.75%,11.74%,3.62%,-14.74%,-24.81%,-0.50%,-56.41%,-35.53%,Upgrade
43,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,74.55%,68.80%,72.36%,-,-,-,-,-,Upgrade
44,Revenue as Reported,79.25,-,44.23,-,400.68,-,181.9,237.51,93.83,115.48,79.64,40.77,96.3,94.74,88.93,128.39,84.07,79.59,37.24,232.75,Upgrade
