,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
10,"Property, Plant & Equipment",2487,2504,2421,-,-,2040,1794,1497,1006,1005,680.1,911.29,378.43,354.35,359.53,366.06,411.81,421.85,439.56,449.82,Upgrade
11,Long-Term Investments,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Upgrade
12,Other Intangible Assets,42.77,43.03,55.24,-,-,56.38,56.78,57.19,37.25,37.56,37.88,58.86,38.51,38.83,39.15,39.47,39.44,38.49,38.47,38.74,Upgrade
13,Long-Term Accounts Receivable,-,-,-,-,-,0.73,-,-,-,1.58,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Long-Term Deferred Tax Assets,17.1,17.4,17.45,-,-,16.47,16.48,51.6,19.54,19.54,19.54,19.54,31.19,30.91,30.86,31.62,34.85,34.26,31.45,31.09,Upgrade
15,Long-Term Deferred Charges,2.73,3.37,4.12,-,-,3.35,3.59,3.28,1.94,1.93,0.98,0.59,0.32,0.34,-,-,-,-,-1.11,-,Upgrade
16,Other Long-Term Assets,72.08,81.02,29.32,-,-,98.83,50.66,38.53,12.17,16.91,155.32,10.24,10.92,7.63,6.46,6.53,6.42,6.4,7.81,6.46,Upgrade
17,Total Assets,2972,2884,2835,-,-,2822,2847,2476,1863,1935,1647,1880,1139,1061,1040,989.98,1035,1071,1115,1275,Upgrade
18,Accounts Payable,824.22,836.41,594.11,-,-,574.72,547.44,653.68,582.07,586.5,443.67,356,234.8,195.81,183.74,135.27,131.37,121.83,202.55,203.23,Upgrade
19,Accrued Expenses,42.81,31.52,13.42,-,-,19.67,14.62,25.2,24.6,28.49,31.71,28.07,17.13,25.37,15.53,30.2,11.42,22.31,17.66,34.6,Upgrade
20,Short-Term Debt,1612,1231,1300,-,-,826.4,211.67,665.03,367.2,431.41,262.98,673.9,224.58,184.6,168.47,153.31,159.71,165.37,145.47,201.47,Upgrade
21,Current Portion of Long-Term Debt,114.91,199.06,155.61,-,-,135.77,167.6,65.76,55.95,44.1,9.67,1.61,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,-,1.27,-,-,-,118.75,-,25.55,-,1.11,-,-,-,-,5.63,11.38,-,3.85,-,28.44,Upgrade
23,Current Income Taxes Payable,3.67,0.14,2.68,-,-,0.14,4.79,3.19,3.48,0.13,3.73,1.38,10.2,2.76,10.49,2.9,5.84,1.53,6.52,4.68,Upgrade
24,Current Unearned Revenue,12.25,62.51,63,-,-,42.78,58.23,90.17,89.71,38.9,27.1,4.08,29.68,33.19,35.22,34.68,45.61,35.17,-,-,Upgrade
25,Other Current Liabilities,4.43,19.45,15.05,-,-,88.24,641.94,19.3,38.55,40.06,92.88,27.66,42.44,69.42,71.26,71.03,34.95,47.51,33.99,88.82,Upgrade
26,Total Current Liabilities,2614,2382,2144,-,-,1806,1646,1548,1162,1171,871.73,1093,558.83,511.14,490.35,438.76,388.91,397.57,406.2,561.24,Upgrade
27,Long-Term Debt,545,545,638.99,-,-,578.34,941.17,549.78,436.23,333.31,383.27,214.48,-,-,-,-,-,-,-,-,Upgrade
28,Long-Term Leases,12.19,63.02,11.39,-,-,346.75,107.6,171.98,13.21,108.17,-,151.73,-,-,-,-,17.13,22.89,13.79,25.91,Upgrade
29,Long-Term Unearned Revenue,84.07,48.59,20.03,-,-,67.1,14.24,42.59,14.59,41.37,18.06,42.35,10.83,12.31,13.9,15.49,17.13,18.72,27.64,29.23,Upgrade
30,Long-Term Deferred Tax Liabilities,2.14,2.2,2.26,-,-,0.51,0.52,35.54,0.59,0.59,0.61,0.61,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,Upgrade
31,Other Long-Term Liabilities,64.03,67.38,92.12,-,-,58.89,109.35,58.77,96.29,70.81,95.65,70.54,58.29,27.5,27.57,27.87,27.58,27.58,56.05,27.61,Upgrade
32,Total Liabilities,3322,3108,2909,-,-,2858,2819,2407,1722,1725,1369,1572,628.74,551.75,532.62,482.92,451.54,467.55,504.52,644.83,Upgrade
33,Common Stock,216,216,216,-,-,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,Upgrade
34,Additional Paid-In Capital,729.85,729.62,753.19,-,-,400.65,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,386.83,Upgrade
35,Retained Earnings,-1283,-1156,-1017,-,-,-677.18,-613.43,-570.15,-449.36,-387.29,-326.09,-295.19,-91.54,-92.02,-92.7,-93.05,-10.55,12.94,19.23,38.04,Upgrade
36,Comprehensive Income & Other,-9.19,-10.96,-9.97,-,-,-12.44,-4.98,-7.85,-9.81,-2.77,3.55,2.62,0.49,0.55,-1.26,-0.78,-6.15,-10.48,-9.59,-8.55,Upgrade
37,Total Common Equity,-346.81,-221.19,-57.73,-,-,-72.96,-15.57,24.83,143.66,212.77,280.3,310.26,511.79,511.36,508.87,509.01,586.14,605.3,612.48,632.33,Upgrade
38,Minority Interest,-2.76,-2.79,-15.86,-,-,36.92,43.25,44.64,-2.74,-2.58,-2.43,-2.93,-1.92,-1.93,-1.99,-1.95,-2.19,-2.21,-2.21,-2.16,Upgrade
39,Shareholders' Equity,-349.57,-223.98,-73.59,-,-,-36.04,27.68,69.47,140.93,210.19,277.87,307.33,509.86,509.44,506.88,507.06,583.95,603.09,610.27,630.17,Upgrade
40,Total Liabilities & Equity,2972,2884,2835,-,-,2822,2847,2476,1863,1935,1647,1880,1139,1061,1040,989.98,1035,1071,1115,1275,Upgrade
41,Total Debt,2284,2040,2106,-,-,2006,1428,1478,872.58,918.1,655.92,1042,224.58,184.6,174.1,164.68,176.84,192.11,159.26,255.82,Upgrade
42,Net Cash (Debt),-2149,-2004,-2043,-,-,-1737,-994.38,-1109,-555.97,-614.79,-471.12,-899.82,-123.57,-111.77,-101.25,-151.35,-161.03,-127.22,-38.29,-6.46,Upgrade
43,Net Cash Per Share,-9.95,-9.28,-9.46,-,-,-8.04,-4.60,-5.13,-2.57,-2.85,-2.18,-4.19,-0.56,-0.53,-0.46,-0.72,-0.70,-0.61,-0.18,-0.03,Upgrade
44,Filing Date Shares Outstanding,216,216,216,-,215.99,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,Upgrade
45,Total Common Shares Outstanding,216,216,216,-,215.99,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,Upgrade
46,Working Capital,-2264,-2147,-1836,-,-,-1201,-721.56,-720.74,-376.53,-318.92,-119.36,-214.49,119.4,116.97,112.15,106.55,153.06,171.08,191.42,186.67,Upgrade
47,Book Value Per Share,-1.61,-1.02,-0.27,-,-,-0.34,-0.07,0.11,0.67,0.99,1.30,1.44,2.37,2.37,2.36,2.36,2.71,2.80,2.84,2.93,Upgrade
48,Tangible Book Value,-389.58,-264.22,-112.97,-,-,-129.34,-72.35,-32.36,106.41,175.21,242.42,251.4,473.28,472.53,469.72,469.54,546.7,566.81,574.01,593.59,Upgrade
49,Tangible Book Value Per Share,-1.80,-1.22,-0.52,-,-,-0.60,-0.33,-0.15,0.49,0.81,1.12,1.16,2.19,2.19,2.17,2.17,2.53,2.62,2.66,2.75,Upgrade
50,Buildings,-,848.04,-,-,-,391.36,-,438.44,-,432.51,-,297.33,-,321.98,-,321.94,-,319.63,-,319.63,Upgrade
51,Machinery,-,977.3,-,-,-,656.31,-,636.52,-,581.02,-,256.56,-,497.74,-,464.42,-,552.14,-,553.12,Upgrade
52,Construction In Progress,-,897.09,-,-,-,844,-,434.41,-,244.19,-,610.24,-,11.02,-,8.17,-,8.24,-,8.14,Upgrade
