,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
44,Net Cash Per Share,7.18,7.55,7.96,9.33,10.20,11.31,13.62,13.83,14.97,19.99,6.61,6.59,6.48,-,-,5.51
45,Filing Date Shares Outstanding,410.24,410.24,411.4,412.08,414.2,415.64,415.64,414.33,414.33,413.11,371.79,371.94,371.79,368.57,371.79,371.79
46,Total Common Shares Outstanding,422.61,410.24,411.4,412.08,414.2,415.64,415.64,414.33,414.33,413.11,371.79,371.94,371.79,368.57,371.79,371.79
47,Working Capital,-,4959,5227,5142,5512,6441,6678,6897,7115,7711,2930,-,2592,-,-,-
48,Book Value Per Share,19.46,19.46,19.86,20.14,20.85,22.06,22.24,22.32,22.72,22.78,11.71,10.78,10.78,-,-,9.54
49,Tangible Book Value,7377,7377,7539,7664,7975,8478,8546,8575,8725,8728,3753,3357,3357,-,-,2759
50,Tangible Book Value Per Share,17.98,17.98,18.33,18.60,19.25,20.40,20.56,20.70,21.06,21.13,10.10,9.03,9.03,-,-,7.54
51,Buildings,-,-,1385,-,1366,-,244.56,-,244.56,-,244.58,-,241.32,-,-,-
52,Machinery,-,-,1146,-,1048,-,778.96,-,665.17,-,591.22,-,524.7,-,-,-
53,Construction In Progress,-,-,385.92,-,340.48,-,1148,-,751.73,-,90.54,-,58.69,-,-,-
