,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
23,Income Tax Expense,13.01,10.58,20.04,18.9,-3.93,0.71,13.19,6.67,-93.48,555.03,23.11,23.74,36.15,45.37,19.4,19.4
24,Earnings From Continuing Operations,-132.42,-165.49,-98.94,-202.27,-410.3,-101.05,54.18,-150.05,3.28,1677,0.64,342.05,18.52,34.4,211.4,211.4
25,Minority Interest in Earnings,-3.35,0.36,1.7,1.28,0.57,1.3,-2.39,0.23,1.21,1.24,0.87,0.14,5.4,0.43,1.02,1.02
26,Net Income,-135.77,-165.13,-97.24,-200.99,-409.72,-99.75,51.79,-149.82,4.49,1678,1.51,342.19,23.91,34.83,212.43,212.43
27,Net Income to Common,-135.77,-165.13,-97.24,-200.99,-409.72,-99.75,51.79,-149.82,4.49,1678,1.51,342.19,23.91,34.83,212.43,212.43
28,Net Income Growth,-,-,-,-,-,-,3319.73%,-,-81.22%,4717.83%,-99.29%,61.09%,-,-,-,-
29,Shares Outstanding (Basic),423,402,418,410,428,419,401,416,416,378,375,372,376,369,372,372
30,Shares Outstanding (Diluted),423,402,418,410,428,419,401,416,421,385,375,372,378,373,374,374
31,Shares Change (YoY),-1.33%,-4.17%,4.37%,-1.44%,1.70%,9.02%,6.80%,11.89%,11.31%,3.08%,0.31%,-0.57%,-,-,-,-
32,EPS (Basic),-0.32,-0.41,-0.23,-0.49,-0.96,-0.24,0.13,-0.36,0.01,4.44,0.00,0.92,0.06,0.09,0.57,0.57
33,EPS (Diluted),-0.32,-0.41,-0.23,-0.49,-0.96,-0.24,0.13,-0.36,0.01,4.36,0.00,0.92,0.06,0.09,0.57,0.57
34,EPS Growth,-,-,-,-,-,-,3102.90%,-,-83.13%,4799.52%,-99.29%,61.40%,-,-,-,-
35,Free Cash Flow,-,-347.99,-449.72,-386.01,-189.68,-526.04,-402.23,-510.24,-1284,1741,-55.68,82.15,445.97,17.35,146.4,146.4
36,Free Cash Flow Per Share,-,-0.87,-1.08,-0.94,-0.44,-1.25,-1.00,-1.23,-3.05,4.53,-0.15,0.22,1.18,0.05,0.39,0.39
37,Dividend Per Share,-,-,-,-,-,-,-,-,0.360,-,-,-,-,-,-,-
38,Gross Margin,153.69%,78.74%,42.07%,64.80%,27.26%,85.07%,39.28%,55.91%,39.09%,65.52%,38.29%,63.43%,56.20%,70.04%,68.45%,68.45%
39,Operating Margin,-8.85%,-17.23%,-18.36%,-32.90%,-81.42%,1.76%,-13.65%,-20.30%,-30.52%,-0.43%,2.38%,31.43%,-0.25%,23.87%,26.68%,26.68%
40,Profit Margin,-10.12%,-25.03%,-14.33%,-37.87%,-57.92%,-13.12%,6.28%,-24.20%,0.48%,180.66%,0.13%,28.05%,2.21%,3.92%,21.69%,21.69%
41,Free Cash Flow Margin,-,-52.74%,-66.28%,-72.73%,-26.81%,-69.18%,-48.79%,-82.43%,-136.47%,187.38%,-4.88%,6.74%,41.22%,1.95%,14.95%,14.95%
42,EBITDA,-54.55,-49.54,-61.22,-110.47,-511.82,69.97,-50.76,-69.06,-230.66,41.62,80.07,428.91,42.91,253.01,302.43,302.43
43,EBITDA Margin,-4.07%,-7.51%,-9.02%,-20.81%,-72.35%,9.20%,-6.16%,-11.16%,-24.51%,4.48%,7.02%,35.16%,3.97%,28.50%,30.88%,30.88%
44,D&A For EBITDA,64.16,64.16,63.36,64.16,64.16,56.58,61.78,56.58,56.58,45.59,52.94,45.59,45.59,41.12,41.12,41.12
45,EBIT,-118.71,-113.7,-124.58,-174.62,-575.98,13.39,-112.53,-125.63,-287.23,-3.97,27.13,383.32,-2.69,211.89,261.31,261.31
46,EBIT Margin,-8.85%,-17.23%,-18.36%,-32.90%,-81.42%,1.76%,-13.65%,-20.30%,-30.52%,-0.43%,2.38%,31.43%,-0.25%,23.87%,26.68%,26.68%
47,Effective Tax Rate,-,-,-,-,-,-,19.58%,-,-,24.87%,97.29%,6.49%,66.13%,56.88%,8.41%,8.41%
48,Revenue as Reported,-,659.83,678.49,530.74,707.4,760.36,824.45,619,941.07,928.96,1141,1220,1082,2847,-,-
