,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q1 2020
15,EBT Excluding Unusual Items,-46.53,127.75,280.05,107.07,22.04,255.47,168.85,73.28,101.43,82.69,115.2,115.46,64.39,28.09
16,Impairment of Goodwill,-,-,-,-,-31.33,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,47.64,3.53,-26.27,-24.9,-11.21,-57.07,-6.45,62.03,-2.65,-3.45,6.54,-0.43,-,-
18,Gain (Loss) on Sale of Assets,-0.08,-0.54,0.63,-,-0.01,-,0.2,-0.42,-,-,-,-,-,-
19,Asset Writedown,-3.82,3.92,-9.07,8.97,-5.39,-0.25,-,-,-0.65,-0.82,0.18,-0.18,-,-
20,Other Unusual Items,0.37,-2.03,2.03,-0.37,28.34,-0.47,0.36,0.12,14.48,0.3,-0.3,-,-,-
21,Pretax Income,-2.43,132.63,247.38,90.76,2.44,197.68,162.96,135.01,112.61,78.71,121.62,114.85,64.39,28.09
22,Income Tax Expense,-0.84,10.68,24.55,15.04,1.16,26.05,18.49,11.29,23.97,-8.01,9.26,11.36,4.67,2.69
23,Earnings From Continuing Operations,-1.58,121.95,222.83,75.72,1.28,171.63,144.48,123.72,88.64,86.72,112.35,103.49,59.72,25.4
24,Minority Interest in Earnings,-0.59,0.13,0.36,0.1,-,-,0.82,0.16,-,-,-,-,-,-
25,Net Income,-2.17,122.08,223.18,75.82,1.28,171.63,145.29,123.88,88.64,86.72,112.35,103.49,59.72,25.4
26,Net Income to Common,-2.17,122.08,223.18,75.82,1.28,171.63,145.29,123.88,88.64,86.72,112.35,103.49,59.72,25.4
27,Net Income Growth,-,-28.87%,53.61%,-38.80%,-98.56%,97.90%,29.32%,19.70%,48.42%,241.37%,-,-,-,-
28,Shares Outstanding (Basic),228,235,234,244,244,242,241,244,185,183,183,184,184,-
29,Shares Outstanding (Diluted),228,235,234,244,248,242,241,244,185,183,183,184,184,-
30,Shares Change (YoY),-8.24%,-2.61%,-2.54%,-0.20%,34.39%,31.72%,31.55%,32.62%,0.45%,-,-,-,-,-
31,EPS (Basic),-0.01,0.52,0.95,0.31,0.01,0.71,0.60,0.51,0.48,0.47,0.61,0.56,0.32,-
32,EPS (Diluted),-0.01,0.52,0.95,0.31,0.01,0.71,0.60,0.51,0.48,0.47,0.61,0.56,0.32,-
33,EPS Growth,-,-26.96%,57.61%,-38.67%,-98.93%,50.24%,-1.70%,-9.74%,47.75%,-,-,-,-,-
34,Free Cash Flow,-,-332.52,694.14,-1312,-778.72,-808.81,-584.48,-592.38,-399.03,-100.51,-147.34,-726.63,-209.68,-45.23
35,Free Cash Flow Per Share,-,-1.41,2.96,-5.38,-3.14,-3.35,-2.43,-2.42,-2.16,-0.55,-0.81,-3.94,-1.14,-
36,Dividend Per Share,-,-,-,-,0.735,-,-,-,0.246,-,-,-,-,-
37,Dividend Growth,-,-,-,-,199.06%,-,-,-,-,-,-,-,-,-
38,Gross Margin,-15.12%,5.68%,12.05%,8.25%,6.34%,12.14%,11.25%,8.72%,12.32%,10.96%,11.70%,11.13%,13.33%,15.38%
39,Operating Margin,-3.44%,4.66%,7.92%,4.01%,0.78%,8.18%,6.57%,4.13%,6.23%,5.69%,8.03%,6.00%,6.88%,7.02%
40,Profit Margin,-0.08%,3.99%,5.86%,2.57%,0.04%,5.33%,6.06%,6.95%,5.46%,5.80%,6.65%,6.11%,6.39%,6.35%
41,Free Cash Flow Margin,-,-10.86%,18.21%,-44.41%,-26.93%,-25.13%,-24.38%,-33.21%,-24.56%,-6.72%,-8.72%,-42.90%,-22.42%,-11.30%
42,EBITDA,-77.62,157.6,318.24,133.22,37.53,272.17,171.4,82.52,110.07,89.67,141.65,106.22,64.95,28.4
43,EBITDA Margin,-2.89%,5.15%,8.35%,4.51%,1.30%,8.46%,7.15%,4.63%,6.78%,6.00%,8.38%,6.27%,6.94%,7.10%
44,D&A For EBITDA,14.91,14.91,16.37,14.91,14.91,8.78,13.78,8.78,8.78,4.58,5.92,4.58,0.64,0.33
45,EBIT,-92.52,142.69,301.87,118.31,22.62,263.39,157.62,73.74,101.29,85.09,135.73,101.63,64.31,28.08
46,EBIT Margin,-3.44%,4.66%,7.92%,4.01%,0.78%,8.18%,6.57%,4.13%,6.23%,5.69%,8.03%,6.00%,6.88%,7.02%
47,Effective Tax Rate,-,8.05%,9.92%,16.57%,47.49%,13.18%,11.34%,8.36%,21.29%,-,7.62%,9.89%,7.25%,9.56%
48,Revenue as Reported,-,3061,3812,2953,2891,3218,2398,1784,1625,1496,1690,1694,-,-
