,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
20,Pretax Income,159.38,135.21,182.55,166.01,85.41,234.34,190.07,136.21,36.41,198.95,126.55,126.55
21,Income Tax Expense,14.3,10.33,19.58,17.89,12.11,27.26,15.19,15.27,-3.78,23.67,13.05,13.05
22,Net Income,145.07,124.89,162.97,148.12,73.3,207.08,174.89,120.95,40.18,175.28,113.5,113.5
23,Net Income to Common,145.07,124.89,162.97,148.12,73.3,207.08,174.89,120.95,40.18,175.28,113.5,113.5
24,Net Income Growth,97.91%,-39.69%,-6.82%,22.47%,82.42%,18.14%,54.09%,6.56%,-,-,-,-
25,Shares Outstanding (Basic),453,447,453,449,447,421,366,356,361,357,360,360
26,Shares Outstanding (Diluted),453,447,453,449,447,421,366,356,361,357,360,360
27,Shares Change (YoY),1.51%,5.99%,23.79%,26.18%,23.58%,18.08%,1.53%,-1.27%,-,-,-,-
28,EPS (Basic),0.32,0.28,0.36,0.33,0.16,0.49,0.48,0.34,0.11,0.49,0.31,0.32
29,EPS (Diluted),0.32,0.28,0.36,0.33,0.16,0.49,0.48,0.34,0.11,0.49,0.31,0.32
30,EPS Growth,94.97%,-43.10%,-24.72%,-2.94%,47.62%,0.05%,51.77%,7.94%,-,-,-,-
31,Free Cash Flow,-,-228.56,-28.75,-198.55,208.55,-142.69,230.09,-218.6,272.63,-33.67,-128.82,-128.82
32,Free Cash Flow Per Share,-,-0.51,-0.06,-0.44,0.47,-0.34,0.63,-0.61,0.75,-0.09,-0.36,-0.36
33,Dividend Per Share,-,-,0.180,-,0.345,-,0.132,-,-,-,-,-
34,Dividend Growth,-,-,36.36%,-,-,-,-,-,-,-,-,-
35,Gross Margin,-3.71%,32.52%,29.14%,30.35%,21.18%,33.27%,34.71%,36.15%,23.95%,37.67%,35.51%,35.51%
36,Operating Margin,33.01%,20.84%,14.84%,19.86%,9.58%,25.17%,21.57%,24.04%,14.44%,24.55%,23.47%,23.47%
37,Profit Margin,19.71%,18.19%,19.61%,21.83%,12.06%,23.62%,23.77%,20.77%,7.81%,24.61%,20.47%,20.47%
38,Free Cash Flow Margin,-,-33.29%,-3.46%,-29.26%,34.31%,-16.28%,31.27%,-37.54%,53.01%,-4.73%,-23.23%,-23.23%
39,EBITDA,260.31,160.43,142.29,152.11,75.57,228.53,166.52,147.52,89.28,189.67,144.93,144.93
40,EBITDA Margin,35.37%,23.37%,17.12%,22.41%,12.43%,26.07%,22.63%,25.33%,17.36%,26.63%,26.14%,26.14%
41,D&A For EBITDA,17.36,17.36,19.02,17.36,17.36,7.85,7.85,7.53,15,14.82,14.82,14.82
42,EBIT,242.96,143.07,123.28,134.75,58.21,220.68,158.68,139.99,74.28,174.85,130.11,130.11
43,EBIT Margin,33.01%,20.84%,14.84%,19.86%,9.58%,25.17%,21.57%,24.04%,14.44%,24.55%,23.47%,23.47%
44,Effective Tax Rate,8.98%,7.64%,10.73%,10.77%,14.18%,11.63%,7.99%,11.21%,-,11.90%,10.31%,10.31%
45,Revenue as Reported,-,686.6,830.94,678.61,607.83,876.68,735.76,582.38,514.29,712.13,554.48,554.48
