,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
22,Earnings From Continuing Operations,309.63,413.7,352.63,300.42,249.28,215.42,175.45,79.23,95.14,136.56,100.6,-60.55,57.78
23,Minority Interest in Earnings,-0.02,-0.01,-0.01,-0,0,-0,0,-0,0,0,0,0,-0
24,Net Income,309.61,413.69,352.61,300.41,249.28,215.42,175.45,79.23,95.14,136.56,100.6,-60.55,57.78
25,Net Income to Common,309.61,413.69,352.61,300.41,249.28,215.42,175.45,79.23,95.14,136.56,100.6,-60.55,57.78
26,Net Income Growth,24.20%,92.04%,100.98%,279.19%,162.02%,57.75%,74.41%,-,64.66%,-,-,-,-
27,Shares Outstanding (Basic),2217,2304,2204,2336,2279,2150,2193,1974,1911,1941,2012,2000,2000
28,Shares Outstanding (Diluted),2217,2304,2204,2336,2279,2150,2193,1974,1911,1941,2012,2000,2000
29,Shares Change (YoY),-2.74%,7.16%,0.49%,18.29%,19.24%,10.78%,9.00%,-1.28%,-4.43%,-,-,-,-
30,EPS (Basic),0.14,0.18,0.16,0.13,0.11,0.10,0.08,0.04,0.05,0.07,0.05,-0.03,0.03
31,EPS (Diluted),0.14,0.18,0.16,0.13,0.11,0.10,0.08,0.04,0.05,0.07,0.05,-0.03,0.03
32,EPS Growth,27.70%,79.21%,100.00%,220.57%,119.74%,42.40%,60.00%,-,72.28%,-,-,-,-
33,Free Cash Flow,60.62,521.31,215.51,46.56,-41.19,993.62,-51.73,792.14,-189.74,50.4,-8.35,274.3,-179.21
34,Free Cash Flow Per Share,0.03,0.23,0.10,0.02,-0.02,0.46,-0.02,0.40,-0.10,0.03,-0.00,0.14,-0.09
35,Dividend Per Share,-,-,-,0.225,-,-,-,0.093,-,-,-,-,-
36,Dividend Growth,-,-,-,141.46%,-,-,-,-,-,-,-,-,-
37,Gross Margin,37.95%,35.50%,34.42%,32.87%,35.94%,29.30%,25.00%,11.41%,28.47%,29.65%,26.65%,53.88%,19.08%
38,Operating Margin,31.81%,30.67%,28.77%,26.48%,29.95%,24.03%,18.92%,14.68%,20.47%,18.86%,16.01%,25.32%,12.87%
39,Profit Margin,24.56%,24.74%,23.15%,24.19%,21.41%,18.77%,13.82%,8.99%,9.95%,13.84%,10.09%,-8.72%,6.53%
40,Free Cash Flow Margin,4.81%,31.17%,14.15%,3.75%,-3.54%,86.59%,-4.07%,89.90%,-19.85%,5.11%,-0.84%,39.52%,-20.27%
41,EBITDA,536.97,644.68,574.07,464.78,485.15,413.89,376.69,265.87,326.36,322.16,290.4,306.49,240.46
42,EBITDA Margin,42.59%,38.55%,37.69%,37.42%,41.67%,36.07%,29.67%,30.18%,34.15%,32.65%,29.12%,44.16%,27.19%
43,D&A For EBITDA,135.89,131.8,135.89,135.89,136.52,138.13,136.52,136.52,130.75,136.01,130.75,130.75,126.67
44,EBIT,401.08,512.88,438.18,328.89,348.63,275.76,240.17,129.35,195.61,186.15,159.65,175.74,113.79
45,EBIT Margin,31.81%,30.67%,28.77%,26.48%,29.95%,24.03%,18.92%,14.68%,20.47%,18.86%,16.01%,25.32%,12.87%
46,Effective Tax Rate,16.04%,15.09%,16.42%,13.95%,16.58%,16.95%,16.61%,19.01%,14.47%,14.47%,15.41%,-,17.16%
47,Revenue as Reported,1261,1672,1523,1242,1164,1147,1270,881.09,955.71,986.77,997.09,3232,-
