,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
13,Other Intangible Assets,-,23.84,24.03,14.53,14.72,14.72,14.92,14.72,14.63,14.65,14.81,-,14.76
14,Long-Term Deferred Tax Assets,-,11.87,11.05,10.47,10.31,8.51,8.07,7.97,8.53,7.57,7.69,-,5.93
15,Long-Term Deferred Charges,-,1.64,1.3,1.81,1.47,1.02,0.74,0.82,0.95,1.05,0.68,-,0.29
16,Other Long-Term Assets,-,8.92,10.34,15.92,14.57,4.22,13.7,15.74,6.91,12.35,7.16,-,1.66
17,Total Assets,-,1381,1390,1327,1373,1337,1354,1370,1406,606.09,609.55,-,541.57
18,Accounts Payable,-,99.76,75.87,43.1,56.92,37.28,39.57,40.34,49.11,35.68,35.04,-,21.27
19,Accrued Expenses,-,21.1,20.85,16.11,29.35,25.22,21.27,15.59,37.3,24.38,19.39,-,30.69
20,Short-Term Debt,-,29.01,28.48,18,5,7.01,17.01,17.02,12.01,33.03,43.04,-,43.05
21,Current Income Taxes Payable,-,-0.57,0.21,0.39,0.11,1,0.07,1.99,6.06,10.71,11.15,-,6.8
22,Current Unearned Revenue,-,13.22,8.3,6.37,8.55,5.15,5.08,6.35,4.98,2.23,1.95,-,1.56
23,Other Current Liabilities,-,10.81,7.69,11.52,9.63,5.18,9.37,5.14,5.91,7.41,16.45,-,3.98
24,Total Current Liabilities,-,173.35,141.39,95.5,109.56,80.85,92.38,86.43,115.38,113.44,127.02,-,107.34
25,Long-Term Debt,-,28.72,28.82,19.1,9.61,9.71,9.81,9.91,10.01,-,-,-,-
26,Long-Term Leases,-,0.45,1.06,1.43,1.41,1.29,1.19,1.18,1.16,1.14,0.25,-,0.67
27,Long-Term Unearned Revenue,-,18.35,18.95,19.31,19.84,21.48,22.14,22.81,22.49,22.84,23.58,-,14.72
28,Long-Term Deferred Tax Liabilities,-,3.02,2.96,3.32,3.35,3.92,3.86,3.73,3.53,-,-,-,-
29,Total Liabilities,-,223.89,193.18,138.65,143.76,117.25,129.38,124.05,152.57,137.42,150.85,-,122.74
30,Common Stock,-,122.37,122.37,122.77,122.77,122.77,122.37,94.13,94.13,70.6,70.6,-,70.6
31,Additional Paid-In Capital,-,908.17,908.12,914.34,913.9,913.29,906.97,935.21,935.21,203.51,203.51,-,203.57
32,Retained Earnings,-,185.27,204.14,195.5,188.97,176.3,188.28,212.08,220.47,190.86,180.76,-,139.77
33,Treasury Stock,-,-70,-50,-56.71,-6.71,-,-,-,-,-,-,-,-
34,Total Common Equity,1146,1146,1185,1176,1219,1212,1218,1241,1250,464.98,454.88,413.94,413.94
35,Minority Interest,-,11.66,12.34,12.24,9.94,7.4,7.15,4.07,4.1,3.69,3.82,-,4.89
36,Shareholders' Equity,1157,1157,1197,1188,1229,1220,1225,1245,1254,468.67,458.7,418.83,418.83
37,Total Liabilities & Equity,-,1381,1390,1327,1373,1337,1354,1370,1406,606.09,609.55,-,541.57
38,Total Debt,58.18,58.18,58.35,38.53,16.02,18.01,28.01,28.1,23.18,34.17,43.29,43.72,43.72
39,Net Cash (Debt),516.29,516.29,581.64,604.14,710.8,747.69,764.74,788.95,804.49,71.75,93.72,51.73,51.73
40,Net Cash Growth,-27.37%,-30.95%,-23.94%,-23.43%,-11.65%,942.08%,715.97%,1425.25%,1455.28%,-,-,-,-
41,Net Cash Per Share,4.95,3.80,5.65,4.63,13.25,4.19,6.07,6.53,8.63,0.78,0.96,0.61,0.57
42,Filing Date Shares Outstanding,104.21,119.75,120.39,130.58,122.37,122.77,122.37,122.37,122.37,91.78,97.41,84.79,90.86
43,Total Common Shares Outstanding,119.75,119.75,120.39,130.58,122.37,122.77,122.37,122.37,122.37,91.78,97.41,84.79,90.86
44,Working Capital,-,854.03,932.53,945.73,993.97,1047,1060,1081,1095,306.15,300.87,-,263.07
45,Book Value Per Share,9.57,9.57,9.84,9.01,9.96,9.88,9.95,10.14,10.21,5.07,4.95,4.56,4.56
46,Tangible Book Value,1122,1122,1161,1161,1204,1198,1203,1227,1235,450.33,440.07,399.18,399.18
47,Tangible Book Value Per Share,9.37,9.37,9.64,8.89,9.84,9.76,9.83,10.02,10.09,4.91,4.79,4.39,4.39
48,Buildings,-,-,141.91,-,143.35,-,114.05,-,114.51,109.42,109.42,-,108.63
49,Machinery,-,-,121.57,-,114.29,-,95.31,-,94.74,77.25,75.85,-,69.66
50,Construction In Progress,-,-,69.42,-,28.31,-,6.15,-,1.61,10.21,10.79,-,11.37
