,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
21,Current Unearned Revenue,14.63,16.91,15.34,14.1,18.79,-,16.19,12.38,12.12,16.53,16.55,-,-,-
22,Other Current Liabilities,7.51,9.53,6.94,8.43,8.98,-,9.18,9.28,13.11,16.58,12.17,-,-,-
23,Total Current Liabilities,280.37,258.48,272.55,293.86,312.27,-,280.56,310.2,290.01,253.59,191.99,-,-,-
24,Long-Term Leases,6.95,5.14,6.91,7.78,8.39,-,10.52,13.12,10.73,11.29,10.63,-,-,-
25,Long-Term Unearned Revenue,55.47,56.85,56.27,57.65,56.02,-,56.67,55.3,53.88,54.34,55.82,-,-,-
26,Long-Term Deferred Tax Liabilities,15.95,16.26,15.89,16.03,22.13,-,20.75,20.9,12.65,12.8,10.82,-,-,-
27,Other Long-Term Liabilities,2.2,2.19,2.18,2.17,2.16,-,2.15,2.13,2.12,2.11,2.12,-,-,-
28,Total Liabilities,360.93,338.92,353.79,377.49,400.98,-,370.65,401.66,369.39,334.12,271.37,-,-,-
29,Common Stock,251.87,251.87,251.87,251.87,251.87,-,251.87,251.87,251.87,251.87,251.87,-,-,-
30,Additional Paid-In Capital,556.52,556.52,556.52,556.52,556.52,-,556.52,556.52,556.52,556.52,556.52,-,-,-
31,Retained Earnings,880.71,810.72,823.35,777.69,746.68,-,692.47,651.07,636.24,567.57,566.55,-,-,-
32,Comprehensive Income & Other,0,-0,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,1689,1619,1632,1586,1555,-,1501,1459,1445,1376,1375,-,-,669.49
34,Minority Interest,11.26,11.54,11.16,11.37,11,-,11.61,11.57,13.5,11.07,10.06,-,-,-
35,Shareholders' Equity,1700,1631,1643,1597,1566,-,1512,1471,1458,1387,1385,-,-,676.04
36,Total Liabilities & Equity,2061,1970,1997,1975,1967,-,1883,1873,1828,1721,1656,-,-,-
37,Total Debt,12.22,10.26,12.37,13.13,14.36,-,17.27,19.94,14.76,15.69,15.52,-,-,-
38,Net Cash (Debt),864.07,787.47,847.15,848.15,770.1,-,767.16,741.51,733.95,629.84,600.87,-,-,166.98
39,Net Cash Growth,12.20%,-,10.43%,14.38%,4.93%,-,27.67%,-,-,277.20%,-,-,-,-
40,Net Cash Per Share,3.45,3.11,3.36,3.31,3.13,-,3.05,2.90,3.03,2.46,2.41,-,-,0.88
41,Filing Date Shares Outstanding,251.87,251.87,251.87,251.87,251.87,257.44,251.87,255.52,251.87,251.87,251.87,192.94,188.27,188.84
42,Total Common Shares Outstanding,251.87,251.87,251.87,251.87,251.87,257.44,251.87,255.52,251.87,251.87,251.87,192.94,188.27,188.84
43,Working Capital,977.11,919.71,916.78,868.23,839.79,-,818.24,777.58,763.02,722.82,754.48,-,-,-
44,Book Value Per Share,6.71,6.43,6.48,6.30,6.17,-,5.96,5.71,5.74,5.46,5.46,-,-,3.52
45,Tangible Book Value,1584,1513,1524,1478,1446,-,1390,1348,1332,1262,1260,-,-,551.87
46,Tangible Book Value Per Share,6.29,6.01,6.05,5.87,5.74,-,5.52,5.27,5.29,5.01,5.00,-,-,2.90
47,Buildings,-,537.25,-,484.15,-,-,-,488.87,-,361.74,-,-,-,-
48,Machinery,-,350.18,-,339.2,-,-,-,316.39,-,270.4,-,-,-,-
49,Construction In Progress,-,22.66,-,64.98,-,-,-,16.79,-,129.72,-,-,-,-
