,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-245.34,82.49,-100.52,113.31,-236.07,18.9,84.43,415.86,-553.31,107.92,-0.16,-47.79,-5.76,-7.26,-7.26
15,EBT Excluding Unusual Items,904.73,298.69,134.59,609.82,755.42,-191.24,720.94,210,1210,231.77,736.66,-21.34,-21.34,832.53,832.53
16,Gain (Loss) on Sale of Investments,-101.15,351.89,359.21,-246.62,-154.23,626.38,2.8,-357.62,-647.25,875.13,-108.91,-44.17,-44.17,39.7,39.7
17,Gain (Loss) on Sale of Assets,27.34,14.8,-,9.33,-,18.49,-,-,0.62,-0.6,-,12.51,12.51,15.7,15.7
18,Asset Writedown,-117.22,406.56,-406.56,20.51,-20.51,38.6,-38.6,165.78,-165.78,-102.39,102.39,-,-,-,-
19,Other Unusual Items,-50.67,58.62,0.51,194.94,-,-,-,317.07,-,-,-,100.95,100.95,52.9,52.9
20,Pretax Income,663.04,1131,87.75,587.98,580.68,492.23,685.14,335.24,397.55,1004,730.13,47.95,47.95,940.83,940.83
21,Income Tax Expense,52.62,178.88,-67.01,103.26,75.47,-32.45,142.32,3.58,90.16,-53.28,211.02,-87.99,-87.99,165.49,165.49
22,Net Income,610.42,951.68,154.75,484.72,505.21,524.68,542.82,331.65,307.39,1057,519.11,135.94,135.94,775.34,775.34
23,Net Income to Common,610.42,951.68,154.75,484.72,505.21,524.68,542.82,331.65,307.39,1057,519.11,135.94,135.94,775.34,775.34
24,Net Income Growth,20.83%,81.38%,-71.49%,46.15%,64.35%,-50.37%,4.57%,143.97%,126.12%,36.35%,-33.05%,-,-,-,-
25,Shares Outstanding (Basic),5095,4724,4897,4842,5015,4884,4399,4581,4385,4358,4399,4460,4460,4431,4431
26,Shares Outstanding (Diluted),5095,4724,4897,4842,5015,4884,4399,4581,4385,4358,4399,4460,4460,4431,4431
27,Shares Change (YoY),1.59%,-3.27%,11.33%,5.69%,14.37%,12.06%,-0.01%,2.71%,-1.69%,-1.64%,-0.71%,-,-,-,-
28,EPS (Basic),0.12,0.20,0.03,0.10,0.10,0.11,0.12,0.07,0.07,0.24,0.12,0.03,0.03,0.17,0.17
29,EPS (Diluted),0.12,0.20,0.03,0.10,0.10,0.11,0.12,0.07,0.07,0.24,0.12,0.03,0.03,0.17,0.17
30,EPS Growth,18.93%,87.52%,-74.39%,38.28%,43.71%,-55.71%,4.58%,176.21%,130.00%,38.62%,-32.57%,-,-,-,-
31,Free Cash Flow,620.13,2797,-5783,-2380,4113,1198,-2490,-321.93,6660,-1967,-4325,497.29,497.29,-2115,-2115
32,Free Cash Flow Per Share,0.12,0.59,-1.18,-0.49,0.82,0.25,-0.57,-0.07,1.52,-0.45,-0.98,0.11,0.11,-0.48,-0.48
33,Dividend Per Share,-,-,-,0.150,-,-,-,0.150,-,-,-,-,-,-,-
34,Gross Margin,0.98%,0.28%,1.65%,4.06%,1.98%,0.26%,3.36%,2.25%,0.34%,-0.07%,2.68%,-1.78%,-1.78%,3.39%,3.39%
35,Operating Margin,0.60%,-0.24%,1.46%,3.35%,1.68%,0.09%,2.98%,1.27%,-0.03%,-0.47%,2.60%,-2.10%,-2.25%,2.94%,2.94%
36,Profit Margin,1.98%,2.54%,0.58%,1.60%,1.51%,1.57%,1.96%,1.18%,1.07%,2.88%,2.03%,0.48%,0.48%,2.76%,2.76%
37,Free Cash Flow Margin,2.01%,7.48%,-21.55%,-7.88%,12.25%,3.58%,-8.98%,-1.15%,23.16%,-5.35%,-16.89%,1.75%,1.75%,-7.53%,-7.53%
38,EBITDA,184.16,-88.39,392.07,1014,564.09,30.09,825.55,355.72,-9,-170.86,666.8,-595.66,-637.69,826.73,826.73
39,EBITDA Margin,0.60%,-0.24%,1.46%,3.36%,1.68%,0.09%,2.98%,1.27%,-0.03%,-0.46%,2.60%,-2.10%,-2.25%,2.95%,2.95%
40,D&A For EBITDA,0.29,0.24,0.29,0.29,0.34,0.3,0.34,0.34,0.35,0.34,0.35,0.08,0.08,0.63,0.63
41,EBIT,183.87,-88.63,391.77,1014,563.75,29.78,825.21,355.38,-9.35,-171.2,666.44,-595.74,-637.77,826.1,826.1
42,EBIT Margin,0.60%,-0.24%,1.46%,3.35%,1.68%,0.09%,2.98%,1.27%,-0.03%,-0.47%,2.60%,-2.10%,-2.25%,2.94%,2.94%
43,Effective Tax Rate,7.94%,15.82%,-,17.56%,13.00%,-,20.77%,1.07%,22.68%,-,28.90%,-,-,17.59%,17.59%
44,Revenue as Reported,30807,37418,26832,30219,33562,33484,27733,28046,28757,36758,25613,-,-28065,28065,28065
