,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,Shares Change (YoY),3.67%,12.81%,25.25%,28.66%,31.86%,21.06%,3.62%,-5.69%,-3.80%,7.55%,5.79%,-,-,-,-
31,EPS (Basic),0.11,0.08,0.11,0.13,0.11,0.11,0.10,0.16,0.14,0.23,0.11,0.11,0.11,0.08,0.08
32,EPS (Diluted),0.11,0.08,0.11,0.13,0.11,0.11,0.10,0.16,0.14,0.23,0.11,0.11,0.11,0.08,0.08
33,EPS Growth,0.20%,-25.85%,10.00%,-19.40%,-21.82%,-52.31%,-9.09%,41.31%,23.70%,186.27%,37.50%,-,-,-,-
34,Free Cash Flow,-187.55,151.6,-552.61,508.59,-144.55,94.65,-283.47,434.43,-152.45,172,-290.21,102.44,102.44,-31.48,-31.48
35,Free Cash Flow Per Share,-0.35,0.28,-1.09,1.02,-0.28,0.20,-0.70,1.12,-0.39,0.43,-0.74,0.25,0.25,-0.09,-0.09
36,Dividend Per Share,-,0.060,-,0.160,-,0.050,-,0.145,-,-,-,-,-,-,-
37,Dividend Growth,-,20.00%,-,10.34%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,11.39%,9.25%,9.62%,9.02%,11.85%,12.24%,14.95%,15.07%,13.45%,17.88%,11.11%,12.25%,12.25%,12.11%,12.11%
39,Operating Margin,7.53%,2.75%,7.57%,2.01%,9.67%,5.83%,10.93%,8.29%,10.66%,16.26%,10.52%,6.95%,6.95%,7.75%,7.75%
40,Profit Margin,4.43%,3.23%,4.86%,4.44%,5.22%,5.83%,7.45%,7.98%,8.02%,12.93%,7.33%,5.36%,5.36%,5.84%,5.84%
41,Free Cash Flow Margin,-14.04%,11.17%,-48.27%,35.15%,-13.24%,10.53%,-52.28%,55.99%,-22.13%,24.50%,-49.62%,11.82%,11.82%,-6.24%,-6.24%
42,EBITDA,101.95,40.17,88.05,30.37,107.11,53.93,60.77,65.85,74.98,115.71,63.14,61.87,61.87,40.64,40.64
43,EBITDA Margin,7.63%,2.96%,7.69%,2.10%,9.81%,6.00%,11.21%,8.49%,10.89%,16.48%,10.79%,7.14%,7.14%,8.05%,8.05%
44,D&A For EBITDA,1.34,2.78,1.34,1.34,1.52,1.53,1.52,1.52,1.59,1.54,1.59,1.63,1.63,1.55,1.55
45,EBIT,100.61,37.39,86.71,29.03,105.59,52.4,59.25,64.33,73.39,114.17,61.55,60.24,60.24,39.1,39.1
46,EBIT Margin,7.53%,2.75%,7.57%,2.01%,9.67%,5.83%,10.93%,8.29%,10.66%,16.26%,10.52%,6.95%,6.95%,7.75%,7.75%
47,Effective Tax Rate,28.52%,27.68%,25.68%,20.28%,25.22%,23.49%,26.55%,24.17%,26.04%,25.96%,25.06%,23.93%,23.93%,25.70%,25.70%
48,Revenue as Reported,1336,1358,1145,1447,1092,898.49,542.24,775.88,688.73,701.96,584.89,866.52,866.52,504.68,504.68
