,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,55.32,-,30.90,-,66.05,29.16,36.93,-,37.89,-,72.76,-,29.00,18.49,31.48,-,-,-,-,-
10,EV/Sales Ratio,8.33,4.05,2.56,3.32,4.14,4.15,3.92,3.71,2.65,1.55,2.14,2.50,2.63,2.90,3.33,4.63,-,-,-,-
11,EV/EBITDA Ratio,100.90,57.30,33.35,47.53,53.42,52.30,50.68,42.16,30.55,19.23,30.91,28.31,27.61,19.21,21.84,24.70,-,-,-,-
12,EV/EBIT Ratio,127.32,61.96,35.42,50.48,56.00,54.40,52.66,43.32,31.34,19.70,31.78,28.89,28.14,19.44,22.11,24.95,-,-,-,-
13,EV/FCF Ratio,86.40,-,20.38,-,52.34,23.56,30.13,-,29.43,-,52.81,-,20.72,13.08,23.29,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.05,0.06,0.06,0.04,0.04,0.06,0.12,-,0.16,0.19
15,Debt / EBITDA Ratio,0.14,0.20,0.70,0.87,0.21,0.39,0.28,0.17,0.18,0.60,0.89,1.50,0.56,2.57,0.38,1.12,0.26,-,0.34,1.01
16,Debt / FCF Ratio,0.12,-,0.32,-,0.43,0.19,0.10,-,0.34,-,1.78,-,0.73,0.33,0.45,-,0.56,-,-1.35,-
17,Asset Turnover,0.42,0.42,0.43,0.59,0.52,0.55,0.44,0.59,0.50,0.51,0.42,0.69,0.50,0.51,0.45,-,-,-,-,
18,Inventory Turnover,5.11,6.97,13.15,10.42,7.49,6.19,6.83,4.94,6.69,4.97,5.07,4.29,7.89,6.92,6.70,4.67,-,-,-,-
19,Quick Ratio,7.54,7.54,7.80,8.45,5.87,6.53,6.87,7.49,5.44,5.68,4.80,5.59,4.25,5.51,5.65,5.99,2.44,-,2.48,-
20,Current Ratio,8.05,8.05,7.98,8.60,6.09,6.95,7.22,8.01,5.75,6.12,5.12,5.95,4.55,5.82,5.93,6.34,2.66,-,2.79,-
21,Return on Equity (ROE),2.44%,3.46%,3.48%,10.02%,3.09%,4.92%,4.92%,9.57%,4.21%,4.98%,4.18%,12.88%,2.37%,9.36%,6.37%,-,-,46.61%,-,
22,Return on Assets (ROA),1.54%,1.00%,1.24%,3.82%,2.76%,0.72%,2.34%,4.16%,2.44%,1.96%,2.11%,3.92%,0.85%,4.60%,3.35%,-,-,-,-,
23,Return on Capital (ROIC),1.74%,1.12%,1.42%,4.42%,3.18%,0.82%,2.72%,4.89%,2.87%,2.28%,2.48%,4.66%,0.99%,5.25%,4.08%,-,-,26.78%,-,
24,Return on Capital Employed (ROCE),3.58%,3.58%,4.13%,3.89%,4.40%,4.62%,4.51%,5.10%,5.06%,5.05%,4.29%,5.41%,5.62%,9.00%,8.98%,11.37%,26.51%,-,16.11%,-
25,Earnings Yield,0.92%,1.62%,2.21%,1.92%,1.73%,1.67%,1.84%,1.98%,2.44%,3.68%,2.82%,3.01%,3.03%,3.74%,3.43%,3.77%,-,-,-,-
26,FCF Yield,0.99%,1.75%,3.15%,2.87%,1.46%,3.25%,2.51%,2.18%,2.36%,-0.07%,1.22%,2.56%,3.28%,5.29%,3.11%,2.62%,-,-,-,-
27,Dividend Yield,0.24%,-,-,-,0.41%,-,-,-,0.54%,-,-,-,0.66%,-,-,-,-,-,-,-
28,Payout Ratio,27.74%,218.42%,1.02%,1.00%,0.33%,156.43%,-,0.11%,0.65%,145.74%,3.23%,4.30%,0.96%,429.69%,1.56%,4.53%,0.74%,14.88%,51.46%,5.68%
29,Buyback Yield / Dilution,0.93%,11.89%,-11.33%,-1.87%,3.10%,-12.91%,5.19%,4.45%,-0.25%,2.81%,1.06%,-13.29%,-31.65%,-35.67%,-33.60%,-21.22%,-,-,-,-
30,Total Shareholder Return,1.17%,11.89%,-11.33%,-1.87%,3.51%,-12.91%,5.19%,4.45%,0.29%,2.81%,1.06%,-13.29%,-30.99%,-35.67%,-33.60%,-21.22%,-,-,-,-
