,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
16,Total Assets,1878,1910,1910,2023,2114,2160,2338,2214,2329,2215,2038,2033,2008,2056,2006,1615,-,-,-
17,Accounts Payable,370.45,351.08,351.08,374.13,500.13,566.08,646.15,528.56,699.75,673.18,511.77,523.52,576.67,627.73,513.44,410.43,-,-,-
18,Accrued Expenses,30.71,27.41,27.41,56.67,23.79,20.72,19.74,53.7,31.15,23.23,17.62,37.67,24.15,21.27,14.85,34.33,-,-,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.91,30.73,-,-,-
20,Current Portion of Leases,5.75,6.7,6.7,9.55,3.79,7.7,6.71,6.53,4.17,4.65,5.55,6.15,-,-,-,-,-,-,-
21,Current Income Taxes Payable,1.97,-,-,3.32,1.87,-,7.63,8.21,13.25,2.87,8.09,3.14,1.08,0,0.44,1.96,-,-,-
22,Current Unearned Revenue,54.38,59.22,59.22,62.56,52.44,42.21,75.33,73.07,78.25,62.43,46.17,52.69,31.57,33.2,51.6,61.2,-,-,-
23,Other Current Liabilities,4.49,38.71,38.71,4.59,2.89,4.79,2.1,2.92,2.92,2.59,3.32,3.42,3.11,3.27,1.8,2.88,-,-,-
24,Total Current Liabilities,467.75,483.12,483.12,510.82,584.92,641.5,757.65,672.99,829.49,768.95,592.51,626.58,636.58,685.48,613.02,541.53,-,-,-
25,Long-Term Leases,1.83,2.81,2.81,4.14,5.54,2.57,6.22,8.43,8.27,8.35,9.08,10.43,5.54,7.4,-,-,-,-,-
26,Long-Term Unearned Revenue,7.19,7.79,7.79,9,9.6,10.21,10.81,11.42,12.02,12.63,13.23,13.88,14.95,15.17,15.82,16.48,-,-,-
27,Long-Term Deferred Tax Liabilities,0.02,0.02,0.02,0.02,11,11.37,7.93,8.76,7.53,7.53,7.76,8.06,8.37,7.93,7.49,8.73,-,-,-
28,Total Liabilities,476.78,493.74,493.74,523.98,611.07,665.66,782.61,701.6,857.31,797.46,622.58,658.95,665.45,715.98,636.33,566.74,-,-,-
29,Common Stock,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,382.74,-,-,-
30,Additional Paid-In Capital,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,752.79,526.99,-,-,-
31,Retained Earnings,194.79,210.38,210.38,293.17,296.44,287.58,349.3,305.78,265.45,211.23,208.52,167.75,132.32,129.66,159.03,141.9,-,-,-
32,Total Common Equity,1409,1424,1424,1507,1510,1502,1563,1520,1479,1425,1422,1382,1346,1344,1373,1052,-,-,989.56
33,Minority Interest,-7.84,-7.79,-7.79,-7.7,-7.7,-7.66,-7.61,-7.56,-7.49,-7.46,-7.36,-7.18,-3.79,-3.6,-3.41,-3.26,-,-,-
34,Shareholders' Equity,1401,1417,1417,1499,1503,1494,1556,1512,1472,1418,1415,1374,1342,1340,1370,1048,-,-,988.34
35,Total Liabilities & Equity,1878,1910,1910,2023,2114,2160,2338,2214,2329,2215,2038,2033,2008,2056,2006,1615,-,-,-
36,Total Debt,7.58,9.51,9.51,13.69,9.33,10.27,12.93,14.96,12.44,13,14.63,16.58,5.54,7.4,30.91,30.73,-,-,30.04
37,Net Cash (Debt),433.88,514.61,514.61,646.28,549.71,590.66,685.27,698.7,639.52,572.22,712.35,1009,836.54,753.59,879.66,717.09,-,-,466.14
38,Net Cash Growth,-21.07%,-12.88%,-24.90%,-7.50%,-14.04%,3.22%,-3.80%,-30.74%,-23.55%,-24.07%,-19.02%,40.68%,-,-,88.71%,-,-,-,-
39,Net Cash Per Share,0.76,1.22,1.22,1.29,1.21,1.34,1.43,1.55,1.44,1.15,1.57,2.36,1.54,1.91,2.05,1.75,-,-,1.09
40,Filing Date Shares Outstanding,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,382.27,360.98,345.11,428.37
41,Total Common Shares Outstanding,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,461.14,382.27,360.98,345.11,428.37
42,Working Capital,1020,1076,1076,1178,1236,1232,1299,1267,1241,1194,1193,1153,1135,1134,1164,837.73,-,-,-
43,Book Value Per Share,3.05,3.09,3.09,3.27,3.28,3.26,3.39,3.30,3.21,3.09,3.08,3.00,2.92,2.91,2.98,2.75,-,-,2.59
44,Tangible Book Value,1373,1388,1388,1471,1473,1464,1525,1481,1441,1386,1382,1340,1304,1301,1334,1012,-,-,944.2
45,Tangible Book Value Per Share,2.98,3.01,3.01,3.19,3.19,3.17,3.31,3.21,3.12,3.01,3.00,2.91,2.83,2.82,2.89,2.65,-,-,2.47
46,Buildings,-,132.11,132.11,132.11,-,118.06,-,66.93,-,66.93,-,66.93,-,67.07,-,67.07,-,-,-
47,Machinery,-,259.22,259.22,260.62,-,259.48,-,238.35,-,250.6,-,259.18,-,257.25,-,254.09,-,-,-
48,Construction In Progress,-,109.13,109.13,78.64,-,14.38,-,62.01,-,27.64,-,11.7,-,13.67,-,14.82,-,-,-
