,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
33,Retained Earnings,829.03,800.01,832.32,826.06,791.94,735.59,711.64,682.83,-,545.73,556.01,537.86,537.86,-,-
34,Comprehensive Income & Other,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.02,-,0,0,0,0,-,-
35,Total Common Equity,2093,2064,2097,2090,2056,2000,1976,1947,-,1812,1822,1300,1300,-,1109
36,Minority Interest,5.76,6.49,3.38,4.15,8.63,5.05,5.38,5.64,-,2.04,2.11,2.3,2.3,-,-
37,Shareholders' Equity,2099,2071,2100,2095,2065,2005,1981,1953,-,1814,1824,1302,1302,-,1112
38,Total Liabilities & Equity,3031,2941,3301,3338,3320,3197,3050,2937,-,2867,2706,2251,2251,-,-
39,Total Debt,237.83,191.27,536.22,424.21,444.05,485.7,516.66,394.13,-,358.95,393.6,389.48,389.48,-,405.13
40,Net Cash (Debt),336.34,453.62,440.87,616.75,415.23,410.94,359.31,353.47,-,346.67,318.07,-133.29,-133.29,-,-49.08
41,Net Cash Growth,-19.00%,10.38%,22.70%,74.48%,-,18.54%,12.96%,-,-,-,-,-,-,-,-
42,Net Cash Per Share,0.79,1.06,1.29,1.60,1.05,1.04,0.87,0.90,-,0.88,0.88,-0.41,-0.41,-,-0.15
43,Filing Date Shares Outstanding,401,401,401,401,401,401,401,401,400.15,401,401,401,328.61,367.91,332.16
44,Total Common Shares Outstanding,401,401,401,401,401,401,401,401,400.15,401,401,341,328.61,367.91,332.16
45,Working Capital,1253,1273,1367,1498,1550,1490,1542,1408,-,1474,1447,936.54,936.54,-,-
46,Book Value Per Share,5.22,5.15,5.23,5.21,5.13,4.99,4.93,4.86,-,4.52,4.54,3.81,3.95,-,3.25
47,Tangible Book Value,2018,1988,2020,2013,1978,1921,1896,1866,-,1731,1741,1219,1219,-,1026
48,Tangible Book Value Per Share,5.03,4.96,5.04,5.02,4.93,4.79,4.73,4.65,-,4.32,4.34,3.58,3.71,-,3.01
49,Buildings,-,515.98,-,490.84,-,479.16,-,349.35,-,349.81,-,345.4,345.4,-,-
50,Machinery,-,457.34,-,421.29,-,392.11,-,344.89,-,326.71,-,309.38,309.38,-,-
51,Construction In Progress,-,131.6,-,104.12,-,78.55,-,190.48,-,103.8,-,88.59,88.59,-,-
