,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
30,EPS (Basic),-0.21,-0.38,-0.28,-0.47,-0.38,-0.38,-0.30,-0.13,0.07,0.04,0.11,0.13,0.20
31,EPS (Diluted),-0.21,-0.38,-0.28,-0.47,-0.38,-0.38,-0.30,-0.13,0.07,0.04,0.11,0.13,0.20
32,EPS Growth,-,-,-,-,-,-,-,-,-65.19%,-,-,-,-
33,Free Cash Flow,-,-186.33,-125.4,-67.57,-154.31,-100.31,-188.17,26.72,-117.85,-188.24,-150.92,-455.55,-103.95
34,Free Cash Flow Per Share,-,-0.42,-0.28,-0.15,-0.35,-0.22,-0.42,0.06,-0.30,-0.49,-0.39,-1.15,-0.29
35,Gross Margin,273.37%,54.94%,0.13%,27.68%,-46.46%,41.47%,12.18%,32.83%,32.79%,41.01%,36.89%,44.54%,44.34%
36,Operating Margin,-53.33%,1.79%,-58.40%,-31.05%,-92.84%,-21.56%,-38.39%,-19.39%,-5.40%,8.91%,12.00%,16.34%,17.14%
37,Profit Margin,-18.34%,-38.55%,-30.35%,-63.52%,-57.31%,-48.73%,-38.45%,-18.95%,6.88%,4.48%,11.62%,15.29%,19.47%
38,Free Cash Flow Margin,-,-42.24%,-29.77%,-20.52%,-52.81%,-28.24%,-54.12%,8.86%,-28.92%,-55.62%,-41.40%,-135.12%,-27.57%
39,EBITDA,-256.33,15.38,-237.05,-94.76,-263.81,-70.93,-126.5,-52.8,-16.33,33.65,49.26,58.6,68.89
40,EBITDA Margin,-51.82%,3.49%,-56.27%,-28.78%,-90.28%,-19.96%,-36.38%,-17.51%,-4.01%,9.94%,13.51%,17.38%,18.27%
41,D&A For EBITDA,7.48,7.48,8.98,7.48,7.48,5.68,6.98,5.68,5.68,3.51,5.5,3.51,4.25
42,EBIT,-263.81,7.91,-246.03,-102.24,-271.29,-76.61,-133.48,-58.48,-22.01,30.14,43.76,55.09,64.64
43,EBIT Margin,-53.33%,1.79%,-58.40%,-31.05%,-92.84%,-21.56%,-38.39%,-19.39%,-5.40%,8.91%,12.00%,16.34%,17.14%
44,Revenue as Reported,-,441.09,421.28,329.24,292.22,355.28,347.69,301.56,407.59,338.43,364.52,337.14,-
