,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
19,Accrued Expenses,18.74,26.61,14.34,34.04,13.63,28.04,11.39,39.89,-,12.97,-,29.01,12.26,12.52,12.52
20,Short-Term Debt,-,86.26,97.08,68.15,49.7,19.8,33,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,-,3.86,5.79,5.19,12.2,11.04,6.34,2.07,-,8.65,-,4.94,4.94,1.98,1.98
22,Current Unearned Revenue,24.26,10.65,23.48,25.69,31.14,2.06,3.11,1.77,-,2.18,-,1.79,1.79,4.93,4.93
23,Other Current Liabilities,2.12,8.95,4.54,4.77,39.47,2.9,1.44,0.8,-,0.55,-,1.21,0.56,0.68,0.68
24,Total Current Liabilities,198.63,245.62,280.85,275.97,301.08,149.09,186.98,186.41,-,191.91,-,187.4,187.4,145.18,145.18
25,Long-Term Leases,2.91,3.52,0.37,0.36,0.36,0.37,0.33,0.34,-,0.31,-,0.29,0.29,0.28,0.28
26,Long-Term Unearned Revenue,2.2,2.21,2.22,2.24,2.25,2.26,2.28,2.29,-,2.32,-,2.34,2.34,2.37,2.37
27,Long-Term Deferred Tax Liabilities,48.51,46.94,44.2,41,29.61,27.5,21.85,15.49,-,0.37,-,0.36,0.36,0.39,0.39
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,0,-,-,0,0,0
29,Total Liabilities,252.25,298.3,327.65,319.56,333.3,179.22,211.44,204.53,-,194.9,-,190.4,190.4,148.22,148.22
30,Common Stock,67,67,67,67,67,67,67,50.25,-,50.25,-,50.25,50.25,50.25,50.25
31,Additional Paid-In Capital,709.26,709.26,709.26,709.26,709.26,709.26,709.26,313.9,-,313.9,-,313.9,313.9,313.9,313.9
32,Retained Earnings,571.17,581.08,597.94,555.85,528.7,492.03,413.74,352.15,-,232.71,-,112.71,112.71,53.76,53.76
33,Comprehensive Income & Other,-4.38,-4.36,-0.38,1,4.12,8.06,1.12,2.68,-,-0.2,-,-3.58,-3.58,-2.54,-2.54
34,Total Common Equity,1343,1353,1374,1333,1309,1276,1191,718.98,-,596.66,473.28,473.28,473.28,415.36,415.36
35,Minority Interest,87.69,86.46,92.13,87.63,60.59,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1431,1439,1466,1421,1370,1276,1191,718.98,-,596.66,473.28,473.28,473.28,415.36,415.36
37,Total Liabilities & Equity,1683,1738,1794,1740,1703,1456,1403,923.51,-,791.57,-,663.68,663.68,563.58,563.58
38,Total Debt,2.91,89.79,97.45,68.52,50.06,20.17,33.33,0.34,-,0.31,0.29,0.29,0.29,0.28,0.28
39,Net Cash (Debt),885.35,880.59,900.35,861.65,994.69,989.98,873.48,395.27,-,204.36,141.75,141.75,141.75,99.62,99.62
40,Net Cash Growth,-10.99%,-11.05%,3.08%,117.99%,-,384.42%,516.22%,178.85%,-,105.15%,42.30%,-,-,-,-
41,Net Cash Per Share,13.18,13.17,13.48,15.38,14.89,14.75,13.08,7.84,-,4.09,2.81,2.81,2.81,1.99,1.99
42,Filing Date Shares Outstanding,67,67,67,67,67,67,67,50.25,50.36,50.25,50.42,50.25,50.25,50.25,50.25
43,Total Common Shares Outstanding,67,67,67,67,67,67,67,50.25,50.36,50.25,50.42,50.25,50.25,50.25,50.25
44,Working Capital,971.8,978.98,1005,957.13,1034,1144,1065,582.1,-,449.27,-,330.99,330.99,270.07,270.07
45,Book Value Per Share,20.05,20.19,20.50,19.90,19.54,19.05,17.78,14.31,-,11.87,9.42,9.42,9.42,8.27,8.27
46,Tangible Book Value,1213,1222,1244,1202,1164,1267,1182,709.71,-,587.11,463.45,463.45,463.45,404.72,404.72
47,Tangible Book Value Per Share,18.11,18.24,18.56,17.94,17.37,18.92,17.64,14.12,-,11.68,9.22,9.22,9.22,8.05,8.05
48,Buildings,-,241.52,-,210.3,-,79.38,-,77.52,-,76.03,-,73.72,73.72,75.29,75.29
49,Machinery,-,103.52,-,88.54,-,59.61,-,58.49,-,57.05,-,52.83,52.83,50.49,50.49
50,Construction In Progress,-,1.1,-,29.61,-,22.29,-,14.54,-,11.84,-,5.86,5.86,-,-
