,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
12,Interest & Investment Income,9.18,19.06,7.46,16.52,8.62,13.15,2.49,1.29,0.1,0.01,0.28,0.71,0.71,0.85,0.85
13,Currency Exchange Gain (Loss),-9.74,9.74,-,26.19,-27.92,27.92,-,36.36,-17.56,17.56,-,-1.75,-1.75,-0.66,-0.66
14,Other Non Operating Income (Expenses),4.08,-3.38,3.03,-31.93,30.96,8.05,-8.6,-44.52,43.95,0.3,-0.84,-0.24,-0.24,-0.21,-0.21
15,EBT Excluding Unusual Items,19.34,60.57,54.67,31.58,47.14,120.93,70.53,40.48,100.59,75.21,56.47,30.04,30.04,23.23,23.23
16,Impairment of Goodwill,0.89,-0.89,-,-2.15,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-,0.67,-0.15,2.96,-0.67,-,-,0.27,0.67,-0.94,-,-0.07,-0.07,0.07,0.07
18,Gain (Loss) on Sale of Assets,0.02,-0.02,-,0.06,0.06,0.27,-,-0.15,-0.02,0.02,-,-0.06,-,-,-
19,Asset Writedown,1.1,0.75,-0.75,4.06,-4.06,0.32,-0.32,0.67,-0.67,-0.07,0.07,0.06,-,-0.03,-0.03
20,Other Unusual Items,0.18,0.27,-0.12,-0.23,-0.06,0.06,-,2.76,-0.02,0.02,-,2.34,2.34,0.44,0.44
21,Pretax Income,21.53,61.34,53.66,36.28,42.42,121.57,70.21,44.03,100.54,74.24,56.55,32.3,32.3,23.72,23.72
22,Income Tax Expense,3.4,6.97,7.07,6.92,5,16.34,11.45,14.68,10.46,6.16,4.62,2.82,2.82,2.65,2.65
23,Earnings From Continuing Operations,18.13,54.38,46.59,29.35,37.42,105.24,58.76,29.35,90.08,68.07,51.93,29.48,29.48,21.06,21.06
24,Minority Interest in Earnings,-1.23,-4.23,-4.5,-2.2,-0.76,-,-,-,-,-,-,-,-,-,-
25,Net Income,16.89,50.14,42.09,27.15,36.67,105.24,58.76,29.35,90.08,68.07,51.93,29.48,29.48,21.06,21.06
26,Net Income to Common,16.89,50.14,42.09,27.15,36.67,105.24,58.76,29.35,90.08,68.07,51.93,29.48,29.48,21.06,21.06
27,Net Income Growth,-53.93%,-52.35%,-28.38%,-7.50%,-59.30%,54.60%,13.16%,-0.43%,205.59%,223.16%,146.52%,-,-,-,-
28,Shares Outstanding (Basic),67,67,67,56,67,67,67,50,50,50,50,50,50,50,50
29,Shares Outstanding (Diluted),67,67,67,56,67,67,67,50,50,50,50,50,50,50,50
30,Shares Change (YoY),0.57%,-0.35%,0.04%,11.10%,32.62%,34.19%,32.45%,-0.00%,-0.14%,-0.30%,0.52%,-,-,-,-
31,EPS (Basic),0.25,0.75,0.63,0.48,0.55,1.57,0.88,0.58,1.79,1.36,1.03,0.58,0.58,0.42,0.42
32,EPS (Diluted),0.25,0.75,0.63,0.48,0.55,1.57,0.88,0.58,1.79,1.36,1.03,0.58,0.58,0.42,0.42
33,EPS Growth,-54.19%,-52.18%,-28.41%,-16.75%,-69.31%,15.20%,-14.56%,-0.43%,206.02%,224.13%,145.24%,-,-,-,-
34,Free Cash Flow,37.99,45.94,39.01,-0.68,62.34,150.93,40.25,58.91,128.35,37.57,15.57,16.57,16.57,-15.18,-15.18
35,Free Cash Flow Per Share,0.57,0.69,0.58,-0.01,0.93,2.25,0.60,1.17,2.55,0.75,0.31,0.33,0.33,-0.30,-0.30
36,Dividend Per Share,-,0.400,-,1.000,-,-,-,0.360,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,177.78%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,21.79%,28.16%,30.64%,28.27%,32.37%,34.43%,33.23%,28.84%,29.51%,26.73%,24.96%,21.93%,21.93%,20.04%,20.04%
39,Operating Margin,8.41%,16.56%,20.36%,11.89%,23.85%,29.18%,28.27%,17.71%,25.84%,19.44%,20.46%,15.42%,15.42%,12.64%,12.64%
40,Profit Margin,8.75%,23.05%,19.16%,15.24%,24.52%,42.63%,21.68%,10.98%,31.41%,23.08%,18.62%,14.51%,14.51%,11.41%,11.41%
41,Free Cash Flow Margin,19.67%,21.12%,17.76%,-0.38%,41.68%,61.14%,14.85%,22.03%,44.75%,12.74%,5.59%,8.15%,8.15%,-8.22%,-8.22%
42,EBITDA,20.28,43.08,48.76,25.21,38.17,74.49,79.14,49.85,76.69,60.07,59.62,33.84,33.84,25.99,25.99
43,EBITDA Margin,10.50%,19.81%,22.20%,14.15%,25.52%,30.17%,29.20%,18.65%,26.74%,20.37%,21.38%,16.65%,16.65%,14.08%,14.08%
44,D&A For EBITDA,4.03,7.06,4.03,4.03,2.5,2.44,2.5,2.5,2.59,2.73,2.59,2.51,2.51,2.66,2.66
45,EBIT,16.25,36.02,44.73,21.18,35.67,72.04,76.64,47.36,74.11,57.34,57.04,31.33,31.33,23.33,23.33
46,EBIT Margin,8.41%,16.56%,20.36%,11.89%,23.85%,29.18%,28.27%,17.71%,25.84%,19.44%,20.46%,15.42%,15.42%,12.64%,12.64%
47,Effective Tax Rate,15.79%,11.36%,13.18%,19.09%,11.78%,13.44%,16.30%,33.34%,10.40%,8.30%,8.17%,8.74%,8.74%,11.18%,11.18%
48,Revenue as Reported,193.12,217.51,219.66,178.14,149.55,246.86,271.05,267.37,286.81,294.94,278.82,-,203.21,184.62,184.62
