,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Pretax Income,11.67,2.43,-1.18,-14.65,16.33,12.95,22.4,13.24,20.8,22.93,22.37,40.99,-,16.39,16.39
21,Income Tax Expense,-0.22,0.56,-0.67,-1.59,1.51,0.87,2.86,0.27,1.97,2.62,2.82,5.7,-,1.74,1.74
22,Earnings From Continuing Operations,11.89,1.87,-0.51,-13.06,14.82,12.08,19.54,12.97,18.83,20.31,19.55,35.29,26.07,14.65,14.65
23,Net Income to Company,11.89,1.87,-0.51,-13.06,14.82,12.08,19.54,12.97,18.83,20.31,19.55,35.29,-,14.65,14.65
24,Minority Interest in Earnings,-0.36,-0.19,-0.3,1.74,-0.67,-0.69,-0.78,0.42,-0.34,-1.02,-1.41,-2.57,-,-1.43,-1.43
25,Net Income,11.53,1.68,-0.81,-11.32,14.15,11.4,18.76,13.39,18.48,19.29,18.14,32.72,24.79,13.22,13.22
26,Net Income to Common,11.53,1.68,-0.81,-11.32,14.15,11.4,18.76,13.39,18.48,19.29,18.14,32.72,-,13.22,13.22
27,Net Income Growth,-18.53%,-85.23%,-,-,-23.44%,-40.91%,3.44%,-59.07%,-25.43%,45.92%,37.20%,-,-,-,-
28,Shares Outstanding (Basic),64,95,80,82,81,79,80,72,66,61,60,59,-,-,-
29,Shares Outstanding (Diluted),64,95,80,82,81,79,80,72,66,61,60,59,-,-,-
30,Shares Change (YoY),-21.16%,20.19%,0.18%,13.04%,23.26%,29.63%,33.35%,21.91%,-,-,-,-,-,-,-
31,EPS (Basic),0.18,0.02,-0.01,-0.14,0.17,0.14,0.23,0.18,0.28,0.32,0.30,0.55,-,-,-
32,EPS (Diluted),0.18,0.02,-0.01,-0.14,0.17,0.14,0.23,0.18,0.28,0.32,0.30,0.55,0.41,-,-
33,EPS Growth,3.34%,-87.71%,-,-,-37.88%,-54.42%,-22.43%,-66.43%,-32.13%,-,-,-,-,-,-
34,Free Cash Flow,-67.83,-34.53,-0.46,8.06,-51.91,-31.52,-14.76,-19.17,-17.71,-4.19,-19.17,23.51,-8.99,5.68,5.68
35,Free Cash Flow Per Share,-1.06,-0.36,-0.01,0.10,-0.64,-0.40,-0.18,-0.26,-0.27,-0.07,-0.32,0.40,-,-,-
36,Dividend Per Share,-,-,-,0.086,-,-,-,0.260,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-66.92%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,31.65%,19.69%,21.75%,9.37%,31.01%,37.89%,36.80%,44.42%,36.07%,32.18%,33.62%,34.54%,44.39%,23.64%,23.64%
39,Operating Margin,10.91%,-0.57%,0.35%,-22.68%,17.78%,12.82%,22.63%,18.85%,18.05%,25.90%,21.08%,22.84%,-,23.64%,23.64%
40,Profit Margin,10.36%,2.39%,-1.15%,-19.56%,17.12%,14.97%,19.76%,18.03%,18.34%,20.88%,21.06%,20.25%,-,19.21%,19.21%
41,Free Cash Flow Margin,-60.97%,-49.11%,-0.66%,13.93%,-62.79%,-41.41%,-15.55%,-25.80%,-17.58%,-4.54%,-22.26%,14.55%,-7.37%,8.25%,8.25%
42,EBITDA,15.25,4.47,3.35,-10.02,16.95,12.08,23.74,16.26,20.43,25.95,20.39,39.13,29.68,18.56,18.56
43,EBITDA Margin,13.71%,6.36%,4.77%,-17.31%,20.50%,15.87%,25.01%,21.89%,20.28%,28.09%,23.68%,24.22%,24.33%,26.97%,26.97%
44,D&A For EBITDA,3.11,4.87,3.11,3.11,2.25,2.33,2.25,2.25,2.24,2.03,2.24,2.24,2.3,2.3,2.3
45,EBIT,12.14,-0.4,0.24,-13.13,14.7,9.76,21.49,14,18.19,23.92,18.15,36.89,27.38,16.26,16.26
46,EBIT Margin,10.91%,-0.57%,0.35%,-22.68%,17.78%,12.82%,22.63%,18.85%,18.05%,25.90%,21.08%,22.84%,22.45%,23.64%,23.64%
47,Effective Tax Rate,-,23.19%,-,-,9.26%,6.69%,12.75%,2.02%,9.49%,11.42%,12.61%,13.90%,-,10.62%,10.62%
48,Revenue as Reported,111.25,70.31,70.28,57.87,82.67,76.13,94.94,74.29,100.76,92.37,86.12,161.55,-,-,-
