,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Accounts Payable,121.85,120.87,87.97,80.1,75.29,55.54,55.52,85.76,115.86,-,-,131.62,-,-,-
18,Accrued Expenses,4.19,9.16,3.66,10.65,3.35,16.33,2.86,28.1,7.19,-,-,25.79,-,-,-
19,Short-Term Debt,79.06,31.03,20.82,11.01,13.46,16,1,4.79,50.5,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,4.69,-,8.6,10.01,43.74,-,-,0.14,0.14,-,-
21,Current Portion of Leases,4.26,4.26,5.62,5.81,-,4.64,-,6.36,-,-,-,3.57,3.57,-,-
22,Current Income Taxes Payable,13.75,0.68,7.54,0.12,13.84,1.35,14.58,7.17,27.44,-,-,7.38,-,-,-
23,Current Unearned Revenue,4.83,3.52,2.62,1.31,3.81,1.93,5.25,1.93,0.51,-,-,1.92,-,-,-
24,Other Current Liabilities,37.57,26.57,65.55,31.68,31.75,49.73,59.47,51.26,4.81,-,-,5.1,-,-,-
25,Total Current Liabilities,265.51,196.07,193.78,140.67,146.18,145.51,147.29,195.38,250.05,-,-,175.52,175.52,-,-
26,Long-Term Debt,45.04,2,-,-,-,-,-,-,16,-,-,96,-,-,-
27,Long-Term Leases,-,-,-,-,-,-,-,0.58,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,44.39,44.64,44.91,26.85,26.73,24.83,25.41,24.9,26.01,-,-,26.08,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.39,-,-,0.38,-,-,-
30,Total Liabilities,354.95,242.72,238.68,167.52,172.91,170.33,172.7,220.86,292.45,-,-,297.98,-,-,-
31,Common Stock,80,80,80,80,80,80,80,80,80,-,-,60,-,-,-
32,Additional Paid-In Capital,379.4,379.4,379.4,379.4,378.74,378.68,376.97,376.91,376.85,-,-,65.33,-,-,-
33,Retained Earnings,290.64,279.11,284.28,285.1,296.42,282.26,291.67,272.91,259.51,-,-,203.6,-,-,-
34,Treasury Stock,-29.62,-12.42,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,4.37,4.13,4.09,4.37,4.49,4.36,4.2,4.19,3.5,-,-,2.99,-,-,-
36,Total Common Equity,724.79,730.22,747.77,748.87,759.65,745.31,752.84,734.01,719.87,-,331.92,331.92,331.92,-,255.24
37,Minority Interest,17.59,17.23,15.55,15.25,16.98,16.32,45.88,45.1,46.6,-,-,43.82,-,-,-
38,Shareholders' Equity,742.38,747.45,763.32,764.11,776.63,761.62,798.72,779.11,766.47,-,375.73,375.73,375.73,-,293.63
39,Total Liabilities & Equity,1097,990.17,1002,931.63,949.54,931.95,971.43,999.97,1059,-,-,673.72,-,-,-
40,Total Debt,128.36,37.28,26.44,16.82,18.15,20.64,9.6,21.74,110.24,-,99.71,99.71,-,-,80.91
41,Net Cash (Debt),-71.49,52.8,104.4,105.42,121.66,158.98,236.31,251.22,311.16,-,12.87,12.87,-,-,11.64
42,Net Cash Growth,-,-66.79%,-55.82%,-58.03%,-60.90%,-,1735.85%,1851.69%,-,-,10.60%,-,-,-,-
43,Net Cash Per Share,-1.12,0.56,1.30,1.29,1.50,2.02,2.95,3.47,4.72,-,0.21,0.22,-,-,-
44,Filing Date Shares Outstanding,78.57,79.42,80,80,80,80,80,80,80,60,60,60,-,-,-
45,Total Common Shares Outstanding,78.57,79.42,80,80,80,80,80,80,80,60,60,60,-,-,-
46,Working Capital,198.63,246.24,328.03,345.64,389.31,454.98,514.32,505.85,562.48,-,-,270.72,270.72,-,-
47,Book Value Per Share,9.22,9.19,9.35,9.36,9.50,9.32,9.41,9.18,9.00,-,5.53,5.53,-,-,4.25
48,Tangible Book Value,617.13,622.33,639.09,639.75,644.75,679.46,686.55,667.21,652.55,-,263.61,263.61,263.61,-,185.4
49,Tangible Book Value Per Share,7.85,7.84,7.99,8.00,8.06,8.49,8.58,8.34,8.16,-,4.39,4.39,-,-,3.09
50,Buildings,-,191.55,-,190.91,-,54.36,-,54.36,-,-,-,54.28,-,-,-
51,Machinery,-,129.41,-,126.9,-,105.92,-,103.08,-,-,-,84.35,-,-,-
52,Construction In Progress,-,185.52,-,83.14,-,158.43,-,129,-,-,-,73.44,-,-,-
