,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
34,Operating Margin,291.20%,-718.76%,-302.68%,-123.38%,-233.51%,-40.29%,-9.58%,-18.09%,13.22%,-20.66%,-14.14%,-29.23%,7.17%,-40.70%,-27.70%,-237.30%
35,Profit Margin,-115.87%,-638.18%,-246.92%,-88.20%,-193.82%,-28.88%,3.26%,-1.21%,30.78%,-4.38%,3.31%,-26.98%,10.27%,-40.99%,-26.89%,-229.28%
36,Free Cash Flow Margin,-,-359.31%,-281.46%,-119.74%,113.59%,-66.72%,-13.73%,-62.38%,87.17%,22.27%,35.22%,-59.83%,-6.46%,-57.78%,-37.83%,-136.78%
37,EBITDA,175.83,-65.52,-59.91,-36.19,-86.3,-25.99,-7.18,-11.15,21.94,-15.46,-7.94,-15.09,11.85,-26.11,-14.05,-42.88
38,EBITDA Margin,294.08%,-,-291.05%,-117.79%,-228.95%,-38.70%,-7.99%,-16.51%,13.89%,-19.68%,-12.62%,-27.81%,7.67%,-39.07%,-26.18%,-231.45%
39,D&A For EBITDA,1.72,1.72,2.39,1.72,1.72,1.07,1.43,1.07,1.07,0.77,0.96,0.77,0.77,1.08,0.82,1.08
40,EBIT,174.11,-67.24,-62.3,-37.91,-88.02,-27.05,-8.61,-12.22,20.87,-16.23,-8.9,-15.86,11.08,-27.19,-14.86,-43.97
41,EBIT Margin,291.20%,-,-,-123.38%,-233.51%,-40.29%,-9.58%,-18.09%,13.22%,-20.66%,-14.14%,-29.23%,7.17%,-40.70%,-27.70%,-237.30%
42,Effective Tax Rate,147.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Revenue as Reported,-,9.35,20.58,30.73,37.69,67.16,89.89,67.54,157.94,78.53,62.92,54.26,154.56,66.81,53.66,18.53
