,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,-,-,-,-71.54,-,-,-,-304.24,-,-,-,-84.06,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-368.10,-,-,-86.68,-,-,-,1552.67,-,568.88,-,283.94,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.70,7.14,7.73,7.59,8.80,12.36,10.99,13.77,12.98,14.98,12.56,13.25,11.66,16.68,13.13,21.09,-,-,-,-,-
12,EV/EBITDA Ratio,38.63,35.94,35.59,36.93,44.49,62.01,54.88,64.03,65.54,78.60,67.03,75.10,60.96,84.82,62.09,85.92,-,-,-,-,-
13,EV/EBIT Ratio,42.04,38.97,38.12,39.64,48.50,67.29,59.43,68.77,69.91,83.72,71.06,79.85,64.18,88.78,64.46,88.86,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-65.32,-,-,-,-294.97,-,-,-,-80.42,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.03,0.05,0.06,0.07,0.03,-,0.00,-
16,Debt / EBITDA Ratio,0.09,0.15,0.09,0.07,0.08,0.09,0.00,0.07,0.07,0.06,0.08,0.00,0.08,0.17,1.00,0.42,0.96,0.08,-,0.02,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.14,-,-,-,-0.37,-,-,-,-0.28,-,-,-,-0.16,-,-,-
18,Asset Turnover,-,0.41,0.39,0.32,0.51,0.43,0.43,0.41,0.66,0.46,0.47,0.33,0.66,0.37,0.39,0.38,-,-,-,-,
19,Inventory Turnover,-,-,1.30,1.43,1.32,2.10,1.47,1.16,1.14,1.78,1.14,1.11,0.99,1.88,1.10,1.12,1.14,-,-,-,-
20,Quick Ratio,-,-,3.07,3.46,4.52,5.07,5.39,3.06,2.53,2.37,2.65,3.08,3.22,2.98,3.75,5.31,3.85,2.07,-,1.92,-
21,Current Ratio,-,-,4.15,4.43,5.71,5.95,6.82,4.19,3.63,3.16,3.75,4.42,4.49,3.89,5.22,7.18,5.01,3.12,-,3.80,-
22,Return on Equity (ROE),1.91%,10.72%,12.05%,7.80%,12.19%,11.85%,14.19%,12.57%,19.07%,12.61%,15.52%,8.36%,18.89%,9.13%,14.13%,8.35%,-,-,8.94%,-,
23,Return on Assets (ROA),-,4.49%,6.41%,3.52%,6.15%,3.09%,6.51%,4.80%,8.26%,4.78%,5.30%,3.03%,8.22%,2.38%,6.33%,4.15%,-,-,-,-,
24,Return on Capital (ROIC),3.22%,5.80%,8.02%,4.27%,7.39%,3.85%,8.86%,6.83%,11.74%,6.53%,7.05%,3.99%,10.56%,2.91%,7.61%,5.36%,-,-,2.75%,-,
25,Return on Capital Employed (ROCE),-,-,9.74%,8.84%,7.43%,7.21%,6.92%,11.80%,11.15%,10.25%,9.92%,8.83%,9.23%,9.39%,9.95%,10.39%,8.61%,13.19%,-,0.33%,-
26,Earnings Yield,2.03%,2.18%,2.50%,2.52%,2.15%,1.60%,1.93%,1.50%,1.59%,1.36%,1.63%,1.53%,1.77%,1.24%,1.66%,1.12%,-,-,-,-,-
27,FCF Yield,-,-0.80%,-1.31%,-1.41%,-1.40%,-1.29%,-1.11%,-0.71%,-0.33%,-0.57%,-0.24%,-0.96%,-1.19%,-1.62%,-1.14%,-,-,-,-,-,
28,Dividend Yield,1.26%,-,-,-,-,0.95%,-,-,-,-,-,-,-,0.29%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,0.18%,172.00%,0.25%,0.77%,0.13%,0.15%,0.17%,1.76%,-,62.95%,0.92%,-,2.72%,1.96%,2.09%,-,-,-,-
30,Buyback Yield / Dilution,-5.21%,-30.35%,15.45%,-5.25%,-10.75%,16.61%,-32.06%,-3.06%,2.67%,-3.09%,2.71%,-1.16%,-32.29%,-31.41%,74.25%,-75.01%,17.79%,-,-,-,-
31,Total Shareholder Return,-3.94%,-30.35%,15.45%,-5.25%,-10.75%,17.56%,-32.06%,-3.06%,2.67%,-3.09%,2.71%,-1.16%,-32.29%,-31.12%,74.25%,-75.01%,17.79%,-,-,-,-
