,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Long-Term Deferred Charges,5.27,5.44,5.49,5.41,2.74,2.75,-,1.23,-,-,-,1.34,1.34,1.83,1.83
15,Other Long-Term Assets,27.38,18.56,33.87,17.04,30.93,10.97,-,6.97,-,-,-,33.74,33.74,29.1,29.1
16,Total Assets,1303,1284,1295,1355,1364,1343,-,737.86,-,-,-,630.99,630.99,613,613
17,Accounts Payable,156.26,147.15,136.31,169.76,184.44,172.99,-,164.21,-,-,-,137.44,137.44,141.43,141.43
18,Accrued Expenses,6.72,11.15,5.94,12.33,14.2,10.23,-,18.75,-,-,-,17.18,17.18,14.9,14.9
19,Short-Term Debt,-,4.1,35.82,25.62,4.4,12,-,28.64,-,-,-,26.03,26.03,10.01,10.01
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-
21,Current Portion of Leases,3.98,4.16,2.6,2.57,0.42,0.43,-,0.55,-,-,-,1.7,1.7,1.78,1.78
22,Current Income Taxes Payable,1.92,2.09,1.89,-,4.82,0.22,-,3.38,-,-,-,0.06,0.06,3.06,3.06
23,Current Unearned Revenue,7.22,2.32,12.43,19.39,23.63,23.26,-,19.93,-,-,-,22.77,22.77,8.96,8.96
24,Other Current Liabilities,19.47,19.84,13.33,27.68,12.82,7.56,-,10.43,-,-,-,13.94,13.94,48.56,48.56
25,Total Current Liabilities,195.58,190.82,208.32,257.35,244.74,226.69,-,245.89,-,-,-,219.13,219.13,228.7,228.7
26,Long-Term Debt,-,-,-,-,7.07,27.07,-,12.98,-,-,-,-,-,-,-
27,Long-Term Leases,0.97,1.05,3.27,3.43,1.33,1.36,-,1.45,-,-,-,2.12,2.12,3.07,3.07
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.26,0.29,-,0.3,-,-,-,0.16,0.16,0.16,0.16
29,Other Long-Term Liabilities,0.7,1.32,1.08,1.16,0.62,0.69,-,0.59,-,-,-,0.33,0.33,0.57,0.57
30,Total Liabilities,197.24,193.19,212.67,261.94,254.02,256.09,-,261.22,-,-,-,221.75,221.75,232.5,232.5
31,Common Stock,138,138,138,138,138,138,-,103.5,-,-,-,103.5,103.5,103.5,103.5
32,Additional Paid-In Capital,672.67,672.67,672.67,672.67,672.67,672.67,-,133.11,-,-,-,133.11,133.11,133.11,133.11
33,Retained Earnings,312.69,299.19,291.55,277.63,295.54,270.43,-,236,-,-,-,169.35,169.35,139.75,139.75
34,Treasury Stock,-23.8,-23.8,-23.8,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.12,-1.35,-1.5,-1.35,-2.19,-0.91,-,-3.46,-,-,-,-2.54,-2.54,-1.49,-1.49
36,Total Common Equity,1099,1085,1077,1087,1104,1080,469.15,469.15,-,-,403.41,403.41,403.41,374.87,374.87
37,Minority Interest,6.41,6.05,5.66,5.84,6.19,6.46,-,7.49,-,-,-,5.82,5.82,5.63,5.63
38,Shareholders' Equity,1106,1091,1083,1093,1110,1087,476.64,476.64,-,-,409.24,409.24,409.24,380.5,380.5
39,Total Liabilities & Equity,1303,1284,1295,1355,1364,1343,-,737.86,-,-,-,630.99,630.99,613,613
40,Total Debt,4.95,9.3,41.69,31.62,13.22,40.86,43.63,43.63,-,-,29.86,29.86,29.86,14.86,14.86
41,Net Cash (Debt),482.57,473.09,502.56,560.34,603.46,642.14,96.98,96.98,-,-,86.77,86.77,86.77,62.09,62.09
42,Net Cash Growth,-20.03%,-26.33%,418.22%,477.80%,-,-,11.76%,11.76%,-,-,39.75%,-,-,-,-
43,Net Cash Per Share,3.54,3.47,3.64,4.02,4.25,5.75,0.94,0.94,-,-,0.86,0.85,0.85,0.60,0.60
44,Filing Date Shares Outstanding,136.56,136.56,136.56,138,138,138,103.5,103.5,110.87,101.37,101.37,102.27,102.27,103.5,103.5
45,Total Common Shares Outstanding,136.56,136.56,136.56,138,138,138,103.5,103.5,110.87,101.37,101.37,102.27,102.27,103.5,103.5
46,Working Capital,843.18,848.98,844.98,872.34,932.67,941.52,-,333.95,-,-,-,276.45,276.45,246.58,246.58
47,Book Value Per Share,8.05,7.94,7.89,7.88,8.00,7.83,4.53,4.53,-,-,3.94,3.94,3.94,3.62,3.62
48,Tangible Book Value,1075,1061,1053,1063,1080,1055,444.37,444.37,-,-,377.83,377.83,377.83,349.17,349.17
49,Tangible Book Value Per Share,7.87,7.77,7.71,7.70,7.82,7.65,4.29,4.29,-,-,3.69,3.69,3.69,3.37,3.37
50,Buildings,-,131.75,-,131.75,-,81.84,-,81.84,-,-,-,81.89,81.89,90.01,90.01
51,Machinery,-,92.05,-,87.88,-,81.62,-,79.29,-,-,-,72.75,72.75,69,69
52,Construction In Progress,-,50.93,-,32.92,-,46.34,-,37.99,-,-,-,0.89,0.89,-,-
