,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
20,Pretax Income,68.15,59.87,35.7,64.71,68.28,63.34,59.72,24.28,62.92,42.33,27.62,31.15,54.53,68.5,68.5,10.71,10.71
21,Income Tax Expense,13.88,12.68,8.48,15.75,13.29,11.9,12.37,11.05,12.09,10.61,6.04,5.37,9.82,13.48,13.48,4.42,4.42
22,Net Income,54.27,47.19,27.22,48.96,55,51.44,47.35,13.23,50.83,31.71,21.57,25.78,44.71,55.02,55.02,6.29,6.29
23,Net Income to Common,54.27,47.19,27.22,48.96,55,51.44,47.35,13.23,50.83,31.71,21.57,25.78,44.71,55.02,55.02,6.29,6.29
24,Net Income Growth,-1.31%,-8.26%,-42.51%,270.06%,8.19%,62.19%,119.48%,-48.68%,13.69%,-42.35%,-60.79%,309.61%,610.27%,-,-,-,-
25,Shares Outstanding (Basic),400,411,389,386,424,396,395,405,354,402,360,361,370,355,355,90,90
26,Shares Outstanding (Diluted),400,411,389,386,424,396,395,405,354,402,360,361,370,355,355,90,90
27,Shares Change (YoY),-5.54%,3.92%,-1.44%,-4.58%,19.60%,-1.49%,9.74%,12.23%,-4.16%,13.17%,1.30%,301.30%,311.13%,-,-,-,-
28,EPS (Basic),0.14,0.11,0.07,0.13,0.13,0.13,0.12,0.03,0.14,0.08,0.06,0.07,0.12,0.15,0.15,0.07,0.07
29,EPS (Diluted),0.14,0.11,0.07,0.13,0.13,0.13,0.12,0.03,0.14,0.08,0.06,0.07,0.12,0.15,0.15,0.07,0.07
30,EPS Growth,4.48%,-11.72%,-41.67%,287.84%,-9.54%,64.64%,100.00%,-54.28%,18.63%,-49.06%,-61.29%,2.07%,72.76%,-,-,-,-
31,Free Cash Flow,85.79,39.94,-6.74,35.3,21.46,-4.08,-47.08,58.51,-5.85,-66.17,-91.32,-39.23,-12.07,1.91,1.91,17.13,17.13
32,Free Cash Flow Per Share,0.21,0.10,-0.02,0.09,0.05,-0.01,-0.12,0.14,-0.02,-0.16,-0.25,-0.11,-0.03,0.01,0.01,0.19,0.19
33,Dividend Per Share,-,-,-,0.050,-,-,-,0.100,-,-,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,36.67%,32.98%,23.14%,33.07%,36.32%,34.66%,32.66%,28.05%,34.55%,32.27%,27.09%,30.43%,41.32%,42.66%,42.66%,43.90%,43.90%
36,Operating Margin,26.54%,24.21%,13.67%,22.57%,27.17%,25.88%,24.36%,16.36%,25.23%,21.16%,17.24%,13.85%,33.00%,34.78%,34.78%,20.53%,20.53%
37,Profit Margin,21.44%,19.11%,11.72%,17.96%,21.77%,20.37%,19.41%,5.44%,19.95%,13.70%,11.42%,12.00%,20.83%,27.30%,27.30%,7.03%,7.03%
38,Free Cash Flow Margin,33.89%,16.17%,-2.90%,12.95%,8.50%,-1.61%,-19.30%,24.08%,-2.30%,-28.58%,-48.32%,-18.26%,-5.62%,0.95%,0.95%,19.12%,19.12%
39,EBITDA,99.01,95.73,63.59,93.35,96.58,99.92,87.37,67.7,83.59,72.87,51.86,49.03,88.12,87.38,87.38,34.72,34.72
40,EBITDA Margin,39.11%,38.76%,27.37%,34.24%,38.23%,39.57%,35.82%,27.86%,32.80%,31.47%,27.44%,22.82%,41.05%,43.35%,43.35%,38.77%,38.77%
41,D&A For EBITDA,31.83,35.95,31.83,31.83,27.95,34.57,27.95,27.95,19.29,23.87,19.29,19.29,17.28,17.28,17.28,16.33,16.33
42,EBIT,67.18,59.79,31.77,61.52,68.63,65.35,59.42,39.75,64.3,49,32.58,29.74,70.84,70.1,70.1,18.39,18.39
43,EBIT Margin,26.54%,24.21%,13.67%,22.57%,27.17%,25.87%,24.36%,16.36%,25.23%,21.16%,17.24%,13.85%,33.00%,34.78%,34.78%,20.53%,20.53%
44,Effective Tax Rate,20.36%,21.18%,23.75%,24.33%,19.46%,18.79%,20.72%,45.50%,19.21%,25.08%,21.89%,17.24%,18.01%,19.68%,19.68%,41.24%,41.24%
45,Revenue as Reported,253.15,246.98,232.33,272.62,252.61,252.55,243.9,243.02,254.82,231.57,188.98,214.8,214.66,201.56,201.56,-,-
