,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
44,Net Cash Per Share,13.35,13.75,13.96,13.76,12.87,17.63,6.53,4.88,-,-,3.38
45,Filing Date Shares Outstanding,66.67,66.67,66.67,66.67,66.67,66.67,50,50,50.31,49.71,50.16
46,Total Common Shares Outstanding,66.67,66.67,66.67,66.67,66.67,66.67,50,50,50.31,49.71,50.16
47,Working Capital,990.6,980.64,983.99,968.27,974.31,958.38,346.95,323.94,-,-,-
48,Book Value Per Share,16.63,16.44,16.50,16.23,16.08,15.92,8.32,7.90,-,-,6.21
49,Tangible Book Value,1055,1042,1046,1028,1018,1007,361.25,339.73,-,-,282.83
50,Tangible Book Value Per Share,15.83,15.63,15.68,15.42,15.27,15.10,7.23,6.79,-,-,5.66
51,Buildings,-,86.12,-,85.99,-,85,-,85,-,-,-
52,Machinery,-,64.88,-,62.69,-,60.65,-,60.41,-,-,-
53,Construction In Progress,-,5.57,-,0.84,-,2.12,-,0.71,-,-,-
