,Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
11,Pretax Income,345076,228780,378743,244662,328067,291385,205099,224374,424148,257659,526447,312776,453453,77574
12,Income Tax Expense,81947,49563,76905,48680,62331,55857,34631,41808,81648,49075,84453,59844,77898,30147
13,Earnings From Continuing Operations,263129,179217,301838,195982,265736,235529,170467,182567,342499,208584,441994,252932,375555,47428
14,Minority Interest in Earnings,-25800,-13434,-59556,-4912,-12335,-5849,-16432,-17381,-14401,-22533,-47073,-14381,-21192,-9569
15,Net Income,237329,165783,242282,191070,253401,229680,154035,165186,328098,186051,394922,238551,354363,37859
16,Net Income to Common,237329,165783,242282,191070,253401,229680,154035,165186,328098,186051,394922,238551,354363,37859
17,Net Income Growth,-6.34%,-27.82%,57.29%,15.67%,-22.77%,23.45%,-61.00%,-30.75%,-7.41%,391.43%,-,-,-,-
18,Shares Outstanding (Basic),209,209,213,214,214,214,214,210,237,183,183,210,238,183
19,Shares Outstanding (Diluted),209,209,213,214,214,214,214,210,237,183,183,210,238,183
20,Shares Change (YoY),-2.15%,-2.18%,-0.12%,1.72%,-10.03%,17.01%,16.99%,-0.02%,-0.03%,0.05%,-,-,-,-
21,EPS (Basic),1135.22,793.04,1135.22,894.35,1186.09,1074.78,720.87,786.52,1381.76,1018.70,2162.17,1135.65,1491.89,207.39
22,EPS (Diluted),1135.22,793.04,1135.22,894.35,1186.09,1074.78,720.87,786.52,1381.76,1018.70,2162.17,1135.65,1491.89,207.39
23,EPS Growth,-4.29%,-26.21%,57.48%,13.71%,-14.16%,5.51%,-66.66%,-30.74%,-7.38%,391.20%,-,-,-,-
24,Free Cash Flow,-1715621,-807312,243867,-22186,824.66,-247126,-166620,262162,-22430,152185,364403,41289,1041941,-715363
25,Free Cash Flow Per Share,-8206.34,-3861.87,1142.64,-103.85,3.86,-1156.42,-779.77,1248.27,-94.46,833.26,1995.09,196.56,4386.62,-3918.77
26,Dividend Per Share,434.783,-,1521.739,-,434.783,-,434.783,-,782.609,-,-,-,-,-
27,Dividend Growth,0%,-,250.00%,-,-44.44%,-,-,-,-,-,-,-,-,-
28,Gross Margin,11.49%,16.74%,18.83%,12.07%,12.93%,16.20%,8.83%,13.75%,19.65%,12.25%,17.39%,11.85%,11.78%,11.42%
29,Operating Margin,9.97%,14.91%,16.77%,10.32%,11.20%,14.50%,6.93%,11.60%,18.31%,10.41%,15.67%,10.00%,16.06%,9.33%
30,Profit Margin,14.27%,11.89%,16.83%,12.67%,15.73%,15.56%,10.64%,14.57%,19.71%,13.98%,23.71%,19.29%,32.43%,3.48%
31,Free Cash Flow Margin,-103.16%,-57.91%,16.94%,-1.47%,0.05%,-16.74%,-11.51%,23.13%,-1.35%,11.43%,21.88%,3.34%,95.35%,-65.77%
32,EBITDA,303882,229140,302308,223635,251574,245964,152934,168358,353462,188230,332405,161223,266778,102206
33,EBITDA Margin,18.27%,16.44%,21.00%,14.83%,15.62%,16.66%,10.56%,14.85%,21.23%,14.14%,19.96%,13.04%,24.41%,9.40%
34,D&A For EBITDA,138050,21306,60859,67970,71171,31953,52575,36870,48642,49700,71527,37514,91291,743.5
35,EBIT,165833,207834,241449,155665,180403,214011,100359,131488,304820,138530,260878,123708,175488,101463
36,EBIT Margin,9.97%,14.91%,16.77%,10.32%,11.20%,14.50%,6.93%,11.60%,18.31%,10.41%,15.67%,10.00%,16.06%,9.33%
37,Effective Tax Rate,23.75%,21.66%,20.31%,19.90%,19.00%,19.17%,16.89%,18.63%,19.25%,19.05%,16.04%,19.13%,17.18%,38.86%
38,Revenue as Reported,1663087,1394129,1439535,1508227,1610467,1476230,1448176,1133588,1664558,1331006,1665332,1236780,1092764,1087707
