,Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
27,Other Long-Term Liabilities,2726674,2641379,2602214,2617486,2628027,2655938,2652192,2568339,2534862,2769357,2832449,-,-,-
28,Total Liabilities,16498566,15915416,15303700,15047947,15342157,15115323,14506610,14265910,14142580,14045507,13962686,-,-,-
29,Common Stock,909041,909041,909041,929041,929041,929041,929041,913160,794054,794054,794054,-,-,-
30,Additional Paid-In Capital,-,-,-,31290,31290,31290,31290,31290,31290,31290,31290,-,-,-
31,Retained Earnings,2110404,2296093,2077751,2362542,2404285,2220721,1956073,1871528,1899062,1681151,1514521,-,-,-
32,Comprehensive Income & Other,207000,207000,-,36804,31963,31963,30556,24130,24130,26217,26217,-,-,-
33,Total Common Equity,3226446,3412134,2986793,3359677,3396581,3213017,2946961,2840109,2748536,2532712,2366083,-,-,1643358
34,Minority Interest,423569,432277,674179,209195,183478,326520,348004,518404,505303,476468,408776,-,-,-
35,Shareholders' Equity,3650015,3844411,3660972,3568872,3580058,3539536,3294965,3358512,3253839,3009181,2774859,-,-,1897367
36,Total Liabilities & Equity,20148580,19759828,18964671,18616819,18922215,18654859,17801575,17624422,17396419,17054687,16737545,-,-,-
37,Total Debt,1343018,1001853,689279,608288,1037622,867352,456771,312860,364711,321798,461467,-,-,368068
38,Net Cash (Debt),3287469,2710950,3524340,3584171,3607168,4229619,3697817,4121707,3986397,4090777,3378756,-,-,4476081
39,Net Cash Growth,-8.86%,-35.91%,-4.69%,-13.04%,-9.51%,3.39%,9.44%,-,-,-8.61%,-,-,-,-
40,Net Cash Per Share,15724.98,12968.15,16513.37,16776.55,16883.96,19792.44,17305.44,19625.22,16788.37,22398.43,18498.50,-,-,24520.02
41,Filing Date Shares Outstanding,209.06,209.05,209.08,213.68,213.64,213.7,213.68,210.02,237.45,182.64,182.65,210.06,237.53,182.55
42,Total Common Shares Outstanding,209.06,209.05,209.08,213.68,213.64,213.7,213.68,210.02,237.45,182.64,182.65,210.06,237.53,182.55
43,Working Capital,7000891,7350502,6970412,7128612,7337016,7699247,7276027,7566445,7376593,6673462,6183519,-,-,-
44,Book Value Per Share,15433.09,16322.35,14285.44,15722.97,15898.27,15035.26,13791.50,13522.98,11575.23,13867.49,14327.60,-,-,10348.36
45,Tangible Book Value,3199635,3401181,2967282,3338202,3374059,3187108,2918738,2809623,2715740,2497606,2336685,-,-,1606208
46,Tangible Book Value Per Share,15304.84,16269.95,14192.12,15622.47,15792.86,14914.02,13659.42,13377.83,11437.11,13675.27,14149.58,-,-,10114.42
47,Construction In Progress,2957695,2615566,2596927,2728514,2514115,2619840,2462481,2345607,2411711,2253820,2253620,-,-,-
