,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
26,Current Unearned Revenue,1647,1646,1646,1397,1124,886.36,932.63,748.24,899.74,669.71,-,615.86
27,Other Current Liabilities,108.22,104.01,104.01,117.31,96.47,84.03,135.72,91.03,35.19,42.54,-,58.33
28,Total Current Liabilities,3339,3106,3106,2913,2668,2224,2213,2244,2186,1784,-,1517
29,Long-Term Debt,-,60,60,-,-,19.95,20,20,-,-,-,-
30,Long-Term Leases,-,0.03,0.03,0.03,0,0.22,0.21,0.38,0.39,0.38,-,-
31,Long-Term Unearned Revenue,1.69,1.94,1.94,2.44,0.82,1.01,0.17,0.18,0.18,0.19,-,0.19
32,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.54,0.58,-,0.66
33,Other Long-Term Liabilities,31.2,28.14,28.14,27.78,23.29,28.01,22.3,20.55,8,9.65,-,11.55
34,Total Liabilities,3372,3196,3196,2944,2692,2273,2256,2285,2196,1795,-,1530
35,Common Stock,160,160,160,160,160,160,160,120,120,120,-,120
36,Additional Paid-In Capital,840.35,839.99,839.99,839.27,838.91,838.55,838.19,218.94,218.58,218.22,-,217.5
37,Retained Earnings,601.08,497.97,497.97,452.7,404.86,356.62,319.2,283.95,253.96,197.8,-,161.21
38,Comprehensive Income & Other,0.66,0.87,0.87,1.59,1.21,0.75,0.35,0.14,0.44,0.49,-,0.33
39,Shareholders' Equity,1602,1499,1499,1454,1405,1356,1318,623.03,592.98,536.51,499.03,499.03
40,Total Liabilities & Equity,4974,4695,4695,4397,4097,3629,3573,2908,2789,2331,-,2029
41,Total Debt,40.03,133.02,133.02,63.55,66.6,93.66,107.75,176.98,156.93,160.92,92.12,92.12
42,Net Cash (Debt),1183,1102,1102,1303,1074,904.74,697.79,214.92,257.05,108.24,132.62,132.62
43,Net Cash Growth,10.07%,21.85%,57.99%,506.29%,317.97%,735.85%,426.17%,62.06%,-,-,-,-
44,Net Cash Per Share,7.50,6.86,6.86,8.17,6.69,5.66,4.75,1.79,2.17,0.89,1.10,1.11
45,Filing Date Shares Outstanding,160,160,160,160,160,160,160,120,120,120,120.3,120
46,Total Common Shares Outstanding,160,160,160,160,160,160,160,120,120,120,120.3,120
47,Working Capital,1028,1007,1007,997.77,1008,1022,980.39,278.31,238.47,193.63,-,202.19
48,Book Value Per Share,10.01,9.37,9.37,9.08,8.78,8.47,8.24,5.19,4.94,4.47,4.16,4.16
49,Tangible Book Value,1507,1404,1404,1357,1308,1289,1250,554.91,527.08,470.09,431.57,431.57
50,Tangible Book Value Per Share,9.42,8.77,8.77,8.48,8.18,8.06,7.81,4.62,4.39,3.92,3.60,3.60
51,Buildings,-,319.41,319.41,242.77,-,226.8,-,233.15,-,167.65,-,167.11
52,Machinery,-,128.98,128.98,103.07,-,98.01,-,93.63,-,77.53,-,76.29
53,Construction In Progress,-,77.92,77.92,80.96,-,16,-,6.02,-,58.86,-,9.63
