,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
12,Interest & Investment Income,4.96,11.69,11.69,20.53,3.93,5.62,2.87,4.19,0.9,1.07,0.65,0.74
13,Currency Exchange Gain (Loss),2.23,-1.12,-1.12,9.11,-6.13,6.13,-,0.95,0.55,-0.55,-,-3.25
14,Other Non Operating Income (Expenses),-4.5,-1.02,-1.02,-2.62,10.74,-8.75,-0.92,-3.47,1.37,1.29,-0.57,1.82
15,EBT Excluding Unusual Items,141.85,57.57,57.57,4.97,95.02,67.72,38.7,10.06,65.35,29.6,30.58,76.53
16,Gain (Loss) on Sale of Investments,1.77,0.52,0.52,-0.35,0.2,0.15,0.22,0.03,-0.29,0.65,-1.19,0.44
17,Gain (Loss) on Sale of Assets,0.02,0,0,-0,-,-,-,-0.01,0.01,-,-,-
18,Asset Writedown,-20.02,-,-,40.1,-43.14,0.21,-0.21,3.56,-3.56,2.89,-2.89,2.19
19,Other Unusual Items,-2.68,1.24,1.24,6.18,0.07,-0.07,-,9.37,0.33,-0.33,-,7.66
20,Pretax Income,120.93,59.33,59.33,50.9,52.14,68.01,38.71,23.01,61.84,32.81,26.5,86.82
21,Income Tax Expense,17.82,7.09,7.09,3.06,3.9,8.18,3.46,-6.98,5.68,1.08,2.44,9.9
22,Net Income,103.11,52.24,52.24,47.84,48.24,59.82,35.25,29.99,56.16,31.73,24.06,76.92
23,Net Income to Common,103.11,52.24,52.24,47.84,48.24,59.82,35.25,29.99,56.16,31.73,24.06,76.92
24,Net Income Growth,113.74%,-12.68%,48.20%,59.51%,-14.11%,88.56%,46.50%,-61.01%,-,-,-,-
25,Shares Outstanding (Basic),158,161,161,159,161,160,147,120,119,122,120,120
26,Shares Outstanding (Diluted),158,161,161,159,161,160,147,120,119,122,120,120
27,Shares Change (YoY),-1.90%,0.57%,9.44%,32.80%,35.47%,30.73%,22.09%,0.22%,-,-,-,-
28,EPS (Basic),0.65,0.33,0.33,0.30,0.30,0.37,0.24,0.25,0.47,0.26,0.20,0.64
29,EPS (Diluted),0.65,0.33,0.33,0.30,0.30,0.37,0.24,0.25,0.47,0.26,0.20,0.64
30,EPS Growth,117.89%,-13.18%,35.42%,20.11%,-36.60%,44.24%,20.00%,-61.10%,-,-,-,-
31,Free Cash Flow,165.1,-80.2,-80.2,318.95,18.73,245.26,-179.72,-58.63,67.32,-21.35,-22.82,-33.02
32,Free Cash Flow Per Share,1.05,-0.50,-0.50,2.00,0.12,1.53,-1.22,-0.49,0.57,-0.17,-0.19,-0.28
33,Dividend Per Share,-,-,-,0.370,-,-,-,0.140,-,-,-,0.160
34,Dividend Growth,-,-,-,164.29%,-,-,-,-12.50%,-,-,-,-
35,Gross Margin,27.70%,21.57%,21.57%,15.69%,24.52%,21.64%,21.43%,19.80%,24.74%,16.54%,18.00%,23.72%
36,Operating Margin,18.75%,10.66%,10.66%,-3.30%,15.76%,10.79%,11.28%,1.54%,13.10%,5.90%,10.58%,14.15%
37,Profit Margin,13.86%,11.48%,11.48%,7.31%,8.71%,9.83%,10.38%,4.88%,11.58%,6.51%,8.05%,13.90%
38,Free Cash Flow Margin,22.19%,-17.62%,-17.62%,48.76%,3.38%,40.32%,-52.93%,-9.54%,13.88%,-4.38%,-7.63%,-5.97%
39,EBITDA,146.88,55.85,55.85,-15.18,92.95,72.16,43.75,15.13,69.12,34.57,37.23,83.87
40,EBITDA Margin,19.74%,12.27%,12.27%,-2.32%,16.79%,11.86%,12.89%,2.46%,14.25%,7.09%,12.45%,15.16%
41,D&A For EBITDA,7.36,7.36,7.36,6.4,5.68,6.5,5.46,5.68,5.58,5.82,5.58,5.58
42,EBIT,139.52,48.49,48.49,-21.58,87.27,65.66,38.3,9.45,63.54,28.75,31.65,78.29
43,EBIT Margin,18.75%,10.66%,10.66%,-3.30%,15.76%,10.79%,11.28%,1.54%,13.10%,5.90%,10.58%,14.15%
44,Effective Tax Rate,14.74%,11.95%,11.95%,6.02%,7.48%,12.03%,8.95%,-,9.18%,3.30%,9.22%,11.41%
45,Revenue as Reported,744.16,455.05,455.05,654.19,553.73,608.33,339.54,614.46,484.95,487.6,298.99,553.3
