,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Total Liabilities,128.49,134.47,117.15,141.85,142.91,165.33,173.73,168.47,182.04,217.57,222.48,215.79,-,191.86,-
28,Common Stock,108.8,108.8,108.8,108.8,108.8,108.8,68,68,68,68,68,51,-,51,-
29,Additional Paid-In Capital,534.51,534.51,534.51,534.51,534.51,534.51,575.31,575.31,575.31,575.31,575.31,154.64,-,154.64,-
30,Retained Earnings,254.25,245.29,265.28,258.93,258.94,248.34,274.41,258.69,245.1,227.46,251.74,236.79,-,203.08,-
31,Comprehensive Income & Other,1.01,1.32,1.43,2,1.71,1.79,1.84,1.78,1.55,1.58,1.55,1.56,-,1.51,-
32,Total Common Equity,898.57,889.92,910.01,904.24,903.96,893.44,919.56,903.78,889.95,872.34,896.6,443.99,-,410.23,381.45
33,Minority Interest,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,898.69,889.92,910.01,904.24,903.96,893.44,919.56,903.78,889.95,872.34,896.6,443.99,-,410.23,381.45
35,Total Liabilities & Equity,1027,1024,1027,1046,1047,1059,1093,1072,1072,1090,1119,659.78,-,602.08,-
36,Total Debt,2.72,2.91,1.82,1.86,1.44,1.45,1.44,1.42,1.41,1.39,1.39,1.38,-,1.09,-
37,Net Cash (Debt),336.95,376.51,362.84,347.1,366.19,402.96,450.04,449.41,428.83,442.42,505.59,50.33,-,45.57,64.37
38,Net Cash Growth,-7.98%,-6.56%,-19.38%,-22.77%,-14.61%,-8.92%,-10.99%,792.84%,-,870.82%,685.45%,-,-,-,-
39,Net Cash Per Share,3.10,3.36,3.43,3.22,3.37,3.72,4.12,4.11,3.80,5.59,4.61,0.63,-,0.58,0.77
40,Filing Date Shares Outstanding,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,83.61,81.6,83.13
41,Total Common Shares Outstanding,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,81.6,83.61,81.6,83.13
42,Working Capital,608.46,598.28,626.4,583.76,639.19,642.05,687.68,673.69,669.7,666.92,714.54,270.46,-,277.69,-
43,Book Value Per Share,8.26,8.18,8.36,8.31,8.31,8.21,8.45,8.31,8.18,8.02,8.24,5.44,-,5.03,4.68
44,Tangible Book Value,864.03,855.99,876.52,870.9,874.33,863.43,901.85,885.87,872.62,854.87,879.77,426.98,-,393.04,363.85
45,Tangible Book Value Per Share,7.94,7.87,8.06,8.00,8.04,7.94,8.29,8.14,8.02,7.86,8.09,5.23,-,4.82,4.46
46,Buildings,-,168.44,-,168.14,-,124.75,-,124.73,-,126.46,-,64.01,-,64.01,-
47,Machinery,-,174.93,-,164.18,-,154.85,-,149.7,-,111.21,-,101.18,-,97.61,-
48,Construction In Progress,-,7.51,-,1.43,-,11.76,-,3.03,-,18.12,-,56.06,-,9.29,-
