,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
35,Gross Margin,244.39%,42.46%,30.04%,26.54%,40.14%,39.46%,38.61%,36.75%,45.30%,48.43%,48.70%,50.68%,53.37%,50.20%,47.86%,47.86%
36,Operating Margin,17.64%,20.98%,4.95%,-0.37%,9.24%,11.72%,20.78%,17.00%,20.16%,34.38%,35.87%,35.99%,35.23%,34.05%,31.33%,31.33%
37,Profit Margin,19.74%,16.48%,4.53%,-0.17%,12.83%,9.27%,25.30%,19.49%,40.78%,27.85%,36.28%,27.16%,29.87%,25.66%,25.30%,25.30%
38,Free Cash Flow Margin,-,-87.51%,-89.58%,-118.11%,-82.51%,-52.38%,-104.88%,-206.84%,-44.30%,-87.63%,45.65%,-85.45%,-122.34%,-111.66%,-43.82%,-43.82%
39,EBITDA,112.34,118.14,83.51,52.31,73.41,52.38,80.35,52.33,66.81,79.42,93.43,74.7,68.71,56.37,46.73,46.73
40,EBITDA Margin,33.39%,38.05%,33.90%,28.50%,33.22%,25.72%,46.78%,37.34%,35.16%,42.46%,49.08%,45.11%,45.16%,44.45%,43.64%,43.64%
41,D&A For EBITDA,52.99,52.99,71.32,52.99,52.99,28.5,44.67,28.5,28.5,15.11,25.15,15.11,15.11,13.18,13.18,13.18
42,EBIT,59.35,65.14,12.19,-0.68,20.42,23.87,35.68,23.82,38.3,64.31,68.28,59.59,53.6,43.18,33.55,33.55
43,EBIT Margin,17.64%,20.98%,4.95%,-0.37%,9.24%,11.72%,20.78%,17.00%,20.16%,34.38%,35.87%,35.99%,35.23%,34.05%,31.33%,31.33%
44,Effective Tax Rate,17.47%,4.72%,-,-,-,-,-,-,2.04%,6.82%,-,17.26%,12.64%,15.87%,12.14%,12.14%
45,Revenue as Reported,-,310.48,246.36,183.55,221,203.64,171.76,140.13,190,187.05,190.37,165.6,152.16,340.98,-,-
