,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
29,Long-Term Unearned Revenue,-,5.32,5.65,6.37,6.95,7.51,5.09,5.54,4.32,2.31,2.65,3,3.37,-,4.6,-,8.59
30,Long-Term Deferred Tax Liabilities,-,8.71,8.92,9.38,9.53,12.96,9.83,8.3,8.79,8.53,8.56,8.98,8.98,-,11.59,-,12.22
31,Other Long-Term Liabilities,-,6.46,7.42,8.15,8.93,10.1,8.3,8.8,10.1,7.47,6.28,6.35,6.88,-,3.27,-,33.15
32,Total Liabilities,-,558.53,527.53,544.15,473.99,443.2,325.62,312.4,392.12,325.91,323.58,379.69,544.4,-,411.23,-,384.47
33,Common Stock,-,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,-,84.79,-,84.79
34,Additional Paid-In Capital,-,1130,1130,1129,1129,1129,1129,1129,1129,1129,1129,1128,1128,-,239.07,-,239.07
35,Retained Earnings,-,125.32,146.93,151.5,171.99,138.46,156.42,181.11,197.16,134.73,132.15,152.98,166.78,-,98.92,-,111.16
36,Treasury Stock,-,-22.69,-22.69,-13.79,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,0.88,0.88,0.88,0.88,-,-,-,-,-,-,-,-,-,-,-,-
38,Total Common Equity,1346,1346,1368,1381,1415,1380,1398,1423,1439,1377,1375,1394,1408,-,422.78,435.02,435.02
39,Minority Interest,-,-23.86,-20.28,-18.84,-14.92,-22.88,7.81,10.36,12.41,-9.33,-9.91,-8.75,-7.91,-,-7.48,-,-5.06
40,Shareholders' Equity,1323,1323,1348,1362,1400,1357,1406,1433,1451,1368,1365,1385,1400,-,415.3,429.96,429.96
41,Total Liabilities & Equity,-,1881,1875,1906,1874,1801,1732,1746,1844,1694,1688,1765,1944,-,826.52,-,814.43
42,Total Debt,185.01,185.01,161.51,114.66,54.24,48.24,54.75,57.02,83.54,79.06,96.16,157.28,168.71,-,134.97,94.41,94.41
43,Net Cash (Debt),37.65,37.65,231.09,118.36,468.31,466.33,566.25,671.72,779.47,730.32,771.05,803.95,996.65,-,-59.98,26.63,26.63
44,Net Cash Growth,-91.96%,-91.93%,-59.19%,-82.38%,-39.92%,-36.15%,-26.56%,-16.45%,-21.79%,-,-,2918.63%,3642.18%,-,-,-,-
45,Net Cash Per Share,0.33,0.36,2.03,1.04,3.48,4.17,4.98,5.86,6.48,6.98,6.56,7.57,11.55,-,-0.91,0.24,0.31
46,Filing Date Shares Outstanding,115.22,111.17,111.17,113.83,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,108.78,84.79
47,Total Common Shares Outstanding,115.22,111.17,111.17,113.83,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,113.06,84.79,84.79,108.78,84.79
48,Working Capital,-,652.92,813.36,826.16,924.84,905.07,1002,1123,1138,1118,1138,1177,1202,-,233.14,-,279.1
49,Book Value Per Share,12.11,12.11,12.31,12.13,12.52,12.21,12.37,12.59,12.73,12.18,12.16,12.33,12.45,-,4.99,5.13,5.13
50,Tangible Book Value,1175,1175,1194,1205,1238,1202,1238,1261,1276,1243,1240,1259,1272,-,286.57,297.22,297.22
51,Tangible Book Value Per Share,10.56,10.56,10.74,10.59,10.95,10.63,10.95,11.16,11.29,10.99,10.97,11.13,11.25,-,3.38,3.51,3.51
52,Buildings,-,-,2.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Machinery,-,-,228.42,-,223.87,-,143.24,-,139.41,-,113.01,-,107.84,-,99.15,-,-
54,Construction In Progress,-,-,182.18,-,140.2,-,87.15,-,74.65,-,40.68,-,20.1,-,1.53,-,-
