,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
22,Minority Interest in Earnings,-8.57,3.23,1.43,3.92,-8.29,4.59,2.46,2.05,-4.28,-0.58,1.17,0.84,-0.65,0.51,1.01,1.41,-4.15
23,Net Income,-18.37,-21.61,-4.57,-20.49,33.53,-17.96,-10.21,-16.04,62.43,2.57,-4.1,-13.8,72.34,-4.47,1.9,-14.14,66.08
24,Net Income to Common,-18.37,-21.61,-4.57,-20.49,33.53,-17.96,-10.21,-16.04,62.43,2.57,-4.1,-13.8,72.34,-4.47,1.9,-14.14,66.08
25,Net Income Growth,-,-,-,-,-46.30%,-,-,-,-13.69%,-,-,-,9.47%,-,-,-,-
26,Shares Outstanding (Basic),115,106,114,114,135,112,114,115,120,105,118,106,86,76,66,109,85
27,Shares Outstanding (Diluted),115,106,114,114,135,112,114,115,120,105,118,106,86,76,66,109,85
28,Shares Change (YoY),-14.41%,-5.60%,0.27%,-0.67%,11.98%,6.81%,-3.33%,7.95%,39.30%,37.99%,77.74%,-2.40%,1.79%,-,-,-,-
29,EPS (Basic),-0.16,-0.20,-0.04,-0.18,0.25,-0.16,-0.09,-0.14,0.52,0.02,-0.03,-0.13,0.84,-0.06,0.03,-0.13,0.78
30,EPS (Diluted),-0.16,-0.20,-0.04,-0.18,0.25,-0.16,-0.09,-0.14,0.52,0.02,-0.03,-0.13,0.84,-0.06,0.03,-0.13,0.78
31,EPS Growth,-,-,-,-,-52.04%,-,-,-,-38.04%,-,-,-,7.54%,-,-,-,-
32,Free Cash Flow,-,-58.12,-59.98,-113.29,5.06,-87,-11.2,-108.08,50.81,-36.43,-7.62,-71.44,77.31,-9.11,10.4,-44.51,-
33,Free Cash Flow Per Share,-,-0.55,-0.53,-1.00,0.04,-0.78,-0.10,-0.94,0.42,-0.35,-0.06,-0.67,0.90,-0.12,0.16,-0.41,-
34,Dividend Per Share,-,-,-,-,-,-,-,-,0.125,-,-,-,0.148,-,-,-,-
35,Dividend Growth,-,-,-,-,-,-,-,-,-15.54%,-,-,-,-,-,-,-,-
36,Gross Margin,137.57%,36.85%,37.21%,37.98%,34.98%,36.97%,23.51%,48.15%,40.92%,42.67%,39.07%,37.12%,46.50%,37.79%,44.11%,47.67%,39.91%
37,Operating Margin,-3.31%,-67.43%,-10.95%,-49.50%,8.79%,-42.65%,-30.68%,-36.08%,17.10%,-2.27%,-23.25%,-31.29%,25.03%,-0.82%,4.94%,-40.09%,25.49%
38,Profit Margin,-5.58%,-49.62%,-4.77%,-35.20%,9.57%,-26.34%,-14.76%,-27.42%,20.15%,3.05%,-7.82%,-26.65%,25.08%,-5.56%,3.03%,-35.71%,21.58%
39,Free Cash Flow Margin,-,-133.47%,-62.62%,-194.61%,1.44%,-127.60%,-16.20%,-184.71%,16.39%,-43.13%,-14.55%,-137.96%,26.81%,-11.32%,16.64%,-112.40%,-
40,EBITDA,-5.78,-24.23,-6,-23.68,35.95,-25.06,-16.01,-17.09,57.02,2.31,-8.11,-11.98,76.41,7.38,12.18,-7.84,86.08
41,EBITDA Margin,-1.75%,-55.63%,-6.26%,-40.67%,10.26%,-36.75%,-23.16%,-29.21%,18.40%,2.73%,-15.49%,-23.13%,26.50%,9.17%,19.48%,-19.79%,28.11%
42,D&A For EBITDA,5.14,5.14,4.49,5.14,5.14,4.02,5.2,4.02,4.02,4.22,4.06,4.22,4.22,8.04,9.09,8.04,8.04
43,EBIT,-10.92,-29.36,-10.49,-28.82,30.81,-29.08,-21.21,-21.11,52.99,-1.91,-12.18,-16.2,72.19,-0.66,3.09,-15.87,78.05
44,EBIT Margin,-3.31%,-67.43%,-10.95%,-49.50%,8.79%,-42.65%,-30.68%,-36.08%,17.10%,-2.27%,-23.25%,-31.29%,25.03%,-0.82%,4.94%,-40.09%,25.49%
45,Effective Tax Rate,-,-,-,-,1.73%,-,-,-,0.76%,-,-,-,11.05%,-,-,-,12.57%
46,Revenue as Reported,-,43.54,95.79,58.21,350.43,68.18,69.14,58.51,309.89,84.47,52.36,51.78,288.38,80.49,62.53,39.6,461.65
