,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,-69.31,-22.24,-,-,-,-,-,-,-,1376.24,-,287.54,216.04,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-4570.83,-60.14,-,-,-,-,-,-,-,186.31,-,193.24,162.83,-,-,-,-,-,-
11,EV/Sales Ratio,7.83,5.31,4.40,3.60,4.54,5.76,7.85,11.61,12.84,10.84,10.96,8.34,7.69,14.67,18.56,-,-,-,-,-,-
12,EV/EBITDA Ratio,39.10,26.48,27.99,28.37,-,52.92,-,86.04,-,52.56,63.50,42.17,-,68.20,85.39,-,-,-,-,-,-
13,EV/EBIT Ratio,42.65,28.95,-,33.52,-,64.55,-,98.86,-,57.16,71.03,46.61,-,75.43,95.41,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-67.34,-21.43,-,-,-,-,-,-,-,1281.65,-,273.74,213.08,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.08,0.09,0.10,0.03,0.04,0.02,0.03,0.05,0.02,0.00,0.00,0.00,0.01,0.01,-,-,0.02,0.05
16,Debt / EBITDA Ratio,0.34,0.09,6.43,0.68,-,0.23,-,0.63,-,0.07,0.90,0.06,-,0.01,0.03,0.02,-,-,-,0.05,-
17,Debt / FCF Ratio,-,-,-1.14,-0.70,-,-,-,-,-,-,-,3.87,-,0.10,0.07,0.13,-,-,-,-,-
18,Asset Turnover,-,0.47,0.63,0.24,0.80,0.40,0.62,0.23,0.96,0.53,0.86,0.21,0.87,0.62,1.01,0.23,-,-,-,-,
19,Inventory Turnover,-,-,1.67,1.98,0.77,2.50,1.22,2.02,0.91,4.25,2.62,3.84,0.99,4.44,1.87,2.62,0.46,-,-,-,-
20,Quick Ratio,-,-,2.77,2.79,3.05,2.72,2.95,2.98,3.28,3.18,3.47,3.93,4.45,4.59,4.50,3.29,2.88,2.83,-,2.99,-
21,Current Ratio,-,-,3.28,3.29,3.72,3.18,3.69,3.55,3.84,3.52,3.83,4.36,5.13,5.00,5.09,3.95,3.67,3.40,-,3.51,-
22,Return on Equity (ROE),52.23%,1.03%,10.10%,-9.74%,41.23%,-8.21%,9.95%,-10.48%,39.58%,6.87%,29.02%,-8.61%,32.93%,10.90%,35.82%,-16.18%,-,-,32.95%,-,
23,Return on Assets (ROA),-,-0.21%,4.76%,-6.39%,20.78%,-5.51%,2.45%,-6.88%,19.99%,1.90%,14.89%,-8.08%,15.41%,6.16%,18.87%,-9.78%,-,-,-,-,
24,Return on Capital (ROIC),34.11%,-0.25%,5.62%,-7.56%,25.34%,-6.80%,3.05%,-8.70%,25.04%,2.33%,18.12%,-9.77%,18.69%,7.60%,24.12%,-12.84%,-,-,23.82%,-,
25,Return on Capital Employed (ROCE),-,-,-,6.89%,-,5.54%,-,8.54%,-,13.61%,10.94%,12.44%,-,12.12%,11.48%,15.36%,-,16.15%,-,5.56%,-
26,Earnings Yield,2.31%,3.38%,3.34%,3.38%,2.62%,2.09%,1.28%,1.25%,1.46%,1.87%,1.70%,2.32%,2.37%,1.33%,1.03%,-,-,-,-,-,-
27,FCF Yield,-,-1.44%,-4.50%,-5.05%,-4.10%,-2.75%,-1.57%,-1.02%,-1.02%,-0.52%,0.07%,0.30%,0.35%,0.46%,-,-,-,-,-,-,
28,Dividend Yield,0.20%,-,-,-,-,0.31%,-,-,-,0.48%,-,-,-,0.18%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,6.72%,48.92%,-,-,-,163.90%,-,0.33%,3.24%,24.07%,-,-,-,-,-,0.40%,18.59%,0.42%,-
30,Buyback Yield / Dilution,0.56%,33.31%,-1533.90%,66.90%,2.29%,-3.24%,89.71%,-80.49%,-2.74%,-1.06%,-9.66%,-44.27%,-30.00%,-32.89%,-22.50%,-2.51%,1.37%,-,-,-,-
31,Total Shareholder Return,0.76%,33.31%,-1533.90%,66.90%,2.29%,-2.93%,89.71%,-80.49%,-2.74%,-0.58%,-9.66%,-44.27%,-30.00%,-32.70%,-22.50%,-2.51%,1.37%,-,-,-,-
