,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
38,Total Liabilities & Equity,-,1504,1465,1335,1408,1293,1265,1194,1218,1118,1167,1204,1249,1085,1095,667.57,717.47,-,583.79,-
39,Total Debt,101.51,101.51,132.64,52.41,55.34,35.57,35.53,31.23,31.24,1.21,1.2,1.19,1.18,1.17,1,15.09,22.29,-,22.29,-
40,Net Cash (Debt),182.27,182.27,253.5,300.38,325.83,263.31,216.36,231.14,330.04,229.25,275.09,359.93,371.94,262.02,366.53,131.79,182.97,-,106.56,143.02
41,Net Cash Growth,-44.06%,-30.78%,17.16%,29.96%,-1.28%,14.86%,-21.35%,-35.78%,-11.27%,-12.51%,-24.95%,173.12%,103.28%,-,243.95%,-7.86%,-,-,-,-
42,Net Cash Per Share,1.23,1.19,1.40,2.39,1.99,1.73,1.45,1.46,1.98,1.62,1.78,2.27,2.47,1.60,4.50,0.78,1.54,-,0.93,-
43,Filing Date Shares Outstanding,147.68,154.13,181.53,152.08,153.51,153.51,153.51,153.51,153.51,153.05,153.05,153.05,153.05,153.05,153.05,114.78,118.93,114.01,114.78,-
44,Total Common Shares Outstanding,154.13,154.13,181.53,152.08,153.51,153.51,153.51,153.51,153.51,153.05,153.05,153.05,153.05,153.05,153.05,114.78,118.93,114.01,114.78,-
45,Working Capital,-,603.94,626.35,591.61,607.3,610.38,593.3,578.5,675.15,694.1,685.31,707.05,689.32,704.2,683.62,360.15,365.27,-,310.08,-
46,Book Value Per Share,5.76,5.76,4.78,5.60,5.66,5.58,5.48,5.39,5.40,5.40,5.33,5.45,5.34,5.19,5.00,3.42,3.32,-,2.89,2.63
47,Tangible Book Value,829.41,829.41,827.53,811.22,840.7,827.21,812.39,797.95,825.49,821.61,810.89,832.28,814.19,792.45,764.5,391.35,392.96,-,330.97,302.13
48,Tangible Book Value Per Share,5.38,5.38,4.56,5.33,5.48,5.39,5.29,5.20,5.38,5.37,5.30,5.44,5.32,5.18,5.00,3.41,3.30,-,2.88,2.63
49,Buildings,-,-,98.49,-,98.49,-,102.2,-,102.2,-,102.2,-,100.73,-,3.71,-,3.71,-,-,-
50,Machinery,-,-,45.43,-,42.87,-,39.7,-,38.57,-,33.62,-,30.08,-,23.74,-,19.37,-,-,-
51,Construction In Progress,-,-,-,-,-,-,-,-,-,-,2.17,-,3.13,-,47.38,-,-,-,-,-
