,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Long-Term Deferred Tax Assets,8.99,6.18,4.97,4.98,10.03,10.42,-,10.75,-,-,-,2.03,2.03,2.34,2.34
15,Long-Term Deferred Charges,1.76,1.76,2,2.15,2.41,2.57,-,3.09,-,-,-,3.22,3.22,0.45,0.45
16,Other Long-Term Assets,436.7,384.75,395.27,335.27,32.21,3.16,-,4.13,-,-,-,16.57,16.57,20.65,20.65
17,Total Assets,2955,2947,2923,2359,1998,1201,-,1006,-,-,-,880.32,880.32,866.28,866.28
18,Accounts Payable,163.32,175.73,150.24,132.7,172.75,85.9,-,48.1,-,-,-,73.53,73.53,46.38,46.38
19,Accrued Expenses,11.91,17.3,12.5,16.42,7.58,12.65,-,9.39,-,-,-,14.28,14.28,9.32,9.32
20,Short-Term Debt,898.71,917.97,932,530.52,178.38,208.08,-,166.09,-,-,-,70.09,70.09,119.74,119.74
21,Current Portion of Long-Term Debt,28.76,7.2,-,3.2,-,2.2,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,2.04,6.43,10.58,14.62,16.45,-,18.74,-,-,-,9.89,9.89,10.87,10.87
23,Current Income Taxes Payable,9.28,5.46,10.31,6,4.92,3.58,-,2.93,-,-,-,1.71,1.71,5.4,5.4
24,Current Unearned Revenue,12.7,8.47,8.95,7.56,10.17,7.12,-,8.26,-,-,-,14.17,14.17,10.66,10.66
25,Other Current Liabilities,67.56,61.6,71.18,73.63,63.57,53.69,-,52.1,-,-,-,106.12,106.12,119.25,119.25
26,Total Current Liabilities,1192,1196,1192,780.62,451.99,389.66,-,305.6,-,-,-,289.79,289.79,321.62,321.62
27,Long-Term Debt,174.13,195.54,199.13,77.06,80.86,59.64,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,3.61,3.64,1.12,1.42,1.57,4.21,-,10.91,-,-,-,9.87,9.87,0.66,0.66
29,Long-Term Unearned Revenue,19.88,15.74,15.97,16.21,14.98,15.16,-,15.53,-,-,-,5.45,5.45,5.82,5.82
30,Long-Term Deferred Tax Liabilities,1.73,1.2,-,0.07,10.46,10.75,-,11.38,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
32,Total Liabilities,1392,1412,1408,875.38,559.86,479.44,-,343.42,-,-,-,305.11,305.11,328.1,328.1
33,Common Stock,87.89,87.89,87.89,87.89,87.89,65.92,-,65.92,-,-,-,65.92,65.92,65.92,65.92
34,Additional Paid-In Capital,1071,1071,1071,1071,1071,372.18,-,372.18,-,-,-,372.18,372.18,372.18,372.18
35,Retained Earnings,399.14,370.88,351.75,320.58,275.32,279.93,-,220.3,-,-,-,131.83,131.83,93.37,93.37
36,Comprehensive Income & Other,5.3,5.27,5.1,4.63,4.17,3.82,-,4.14,-,-,-,5.28,5.28,6.71,6.71
37,Total Common Equity,1563,1535,1516,1484,1438,721.85,666.67,662.53,-,-,575.21,575.21,575.21,538.18,538.18
38,Minority Interest,-0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1563,1535,1516,1484,1438,721.85,666.67,662.53,-,-,575.21,575.21,575.21,538.18,538.18
40,Total Liabilities & Equity,2955,2947,2923,2359,1998,1201,-,1006,-,-,-,880.32,880.32,866.28,866.28
41,Total Debt,1105,1126,1139,622.78,275.43,290.58,195.74,195.74,-,-,89.86,89.86,89.86,131.27,131.27
42,Net Cash (Debt),-185.11,-120.22,-109.95,28.51,643.09,-73.71,-130.45,-130.45,-,-,-37.22,-37.22,-37.22,-95.09,-95.09
43,Net Cash Per Share,-2.11,-1.39,-1.23,0.32,7.98,-1.11,-1.99,-1.98,-,-,-,-0.57,-0.57,-1.44,-1.44
44,Filing Date Shares Outstanding,87.89,87.89,87.89,87.89,87.89,65.92,65.92,65.92,65.92,65.92,-,65.92,65.92,65.92,65.92
45,Total Common Shares Outstanding,87.89,87.89,87.89,87.89,87.89,65.92,65.92,65.92,65.92,65.92,-,65.92,65.92,65.92,65.92
46,Working Capital,411.69,497.28,600.76,605.13,971.96,287.31,-,201.14,-,-,-,163.59,163.59,154.36,154.36
47,Book Value Per Share,17.79,17.46,17.24,16.88,16.36,10.95,10.11,10.05,-,-,8.73,8.73,8.73,8.16,8.16
48,Tangible Book Value,1500,1485,1465,1433,1387,669.86,613.99,609.85,-,-,547.67,547.67,547.67,511.68,511.68
49,Tangible Book Value Per Share,17.07,16.89,16.67,16.30,15.78,10.16,9.31,9.25,-,-,8.31,8.31,8.31,7.76,7.76
50,Buildings,-,157.37,-,156.41,-,152.41,-,149.31,-,-,-,119.58,119.58,114.56,114.56
51,Machinery,-,503,-,368.78,-,352.08,-,343.55,-,-,-,286.99,286.99,248.67,248.67
52,Construction In Progress,-,227.56,-,179.43,-,54.11,-,15.48,-,-,-,41.54,41.54,25.12,25.12
