,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
17,Gain (Loss) on Sale of Assets,-,-0.01,0,-,0.4,0.01,0.27,0,6.32,0.22,0.19
18,Asset Writedown,-0.79,-0.81,-0.46,1.94,-1.94,0.58,-0.58,1.9,-1.9,0.33,-0.33
19,Other Unusual Items,-1.7,1.38,-1.24,-1.09,0.07,-0.07,-,13.36,-0.12,-0.06,0.18
20,Pretax Income,15.58,16.47,17.26,20.55,24.58,27.14,19.73,21.77,32.35,27.76,23.07
21,Income Tax Expense,1.7,1.89,2.08,2.5,3.11,3.31,2.34,-2.25,4.16,3.35,2.92
22,Net Income,13.88,14.58,15.18,18.06,21.47,23.84,17.39,24.02,28.18,24.41,20.15
23,Net Income to Common,13.88,14.58,15.18,18.06,21.47,23.84,17.39,24.02,28.18,24.41,20.15
24,Net Income Growth,-35.36%,-38.85%,-12.70%,-24.84%,-23.81%,-2.35%,-13.70%,-,-,-,-
25,Shares Outstanding (Basic),107,112,108,109,109,109,107,173,51,83,81
26,Shares Outstanding (Diluted),107,112,108,109,109,109,107,173,51,83,81
27,Shares Change (YoY),-1.78%,2.53%,1.33%,-36.99%,113.89%,31.15%,32.77%,-,-,-,-
28,EPS (Basic),0.13,0.13,0.14,0.17,0.20,0.22,0.16,0.14,0.55,0.29,0.25
29,EPS (Diluted),0.13,0.13,0.14,0.17,0.20,0.22,0.16,0.14,0.55,0.29,0.25
30,EPS Growth,-34.19%,-40.36%,-13.85%,19.27%,-64.38%,-25.54%,-35.00%,-,-,-,-
31,Free Cash Flow,-58.12,7.58,-65.89,-12.64,-6.89,22.97,-47.42,1.75,43.95,34.68,-15.44
32,Free Cash Flow Per Share,-0.54,0.07,-0.61,-0.12,-0.06,0.21,-0.44,0.01,0.86,0.42,-0.19
33,Dividend Per Share,-,-,-,0.500,-,-,-,0.625,-,-,-
34,Dividend Growth,-,-,-,-20.00%,-,-,-,-,-,-,-
35,Gross Margin,28.33%,23.54%,27.59%,23.37%,28.15%,28.66%,28.97%,27.41%,31.82%,29.56%,31.34%
36,Operating Margin,14.61%,9.18%,16.18%,11.74%,17.88%,15.01%,15.55%,12.23%,21.31%,18.22%,18.94%
37,Profit Margin,13.20%,11.18%,16.81%,14.17%,18.33%,18.71%,18.11%,19.28%,22.73%,19.59%,21.36%
38,Free Cash Flow Margin,-55.26%,5.82%,-72.97%,-9.92%,-5.88%,18.03%,-49.39%,1.41%,35.44%,27.84%,-16.37%
39,EBITDA,21.24,17.69,20.48,20.83,25.91,25.06,19.89,20.2,31.4,27.67,22.85
40,EBITDA Margin,20.19%,13.57%,22.68%,16.34%,22.11%,19.68%,20.71%,16.21%,25.33%,22.21%,24.22%
41,D&A For EBITDA,5.87,5.72,5.87,5.87,4.95,5.94,4.95,4.95,4.98,4.97,4.98
42,EBIT,15.37,11.96,14.61,14.96,20.95,19.12,14.93,15.24,26.42,22.7,17.86
43,EBIT Margin,14.61%,9.18%,16.18%,11.74%,17.88%,15.01%,15.55%,12.23%,21.31%,18.22%,18.94%
44,Effective Tax Rate,10.90%,11.47%,12.05%,12.14%,12.65%,12.19%,11.85%,-,12.87%,12.06%,12.64%
45,Revenue as Reported,105.17,130.35,90.31,127.41,117.17,127.37,96.01,124.62,124,124.57,94.33
