,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Current Ratio,-,-,1.88,2.00,1.79,1.78,1.92,1.96,2.06,2.01,2.22,2.15,2.20,2.25,3.23,3.65,1.45,1.37,-,-,-
22,Return on Equity (ROE),-8.33%,22.63%,27.86%,26.65%,3.91%,21.13%,29.51%,20.55%,12.68%,20.19%,25.47%,17.71%,11.52%,14.51%,33.41%,41.81%,-,-,-,-,
23,Return on Assets (ROA),-,9.58%,9.89%,9.90%,0.99%,8.33%,12.61%,8.96%,3.12%,7.55%,11.30%,7.53%,4.32%,7.37%,17.03%,15.37%,-,-,-,-,
24,Return on Capital (ROIC),-7.92%,11.97%,12.18%,12.27%,1.23%,10.16%,15.15%,10.99%,3.80%,8.96%,13.79%,9.48%,5.43%,9.09%,23.09%,27.21%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,19.17%,18.10%,18.93%,17.56%,19.11%,18.81%,17.30%,16.51%,17.14%,16.55%,15.65%,14.54%,15.90%,14.69%,40.86%,42.59%,-,-,-
26,Earnings Yield,3.74%,4.27%,4.54%,4.50%,3.01%,2.37%,2.77%,2.84%,1.91%,1.91%,2.35%,1.53%,1.39%,1.09%,0.73%,1.28%,-,-,-,-,-
27,FCF Yield,-,2.60%,0.01%,1.75%,0.25%,0.62%,-0.84%,-0.93%,0.00%,-1.43%,-0.63%,-0.23%,0.03%,0.16%,0.53%,-,-,-,-,-,
28,Dividend Yield,0.37%,-,-,-,-,0.24%,-,-,-,0.59%,-,-,-,0.22%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,37.70%,5.29%,4.94%,6.32%,4.80%,71.89%,3.63%,2.61%,4.58%,45.12%,-,6.08%,-,-,1.10%,0.89%,8.69%,-,1.12%
30,Buyback Yield / Dilution,-0.01%,1.18%,-2.43%,1.57%,-0.40%,-1.50%,1.36%,-0.48%,-0.13%,20.89%,-34.67%,-34.30%,-31.69%,-67.78%,0.43%,1.13%,-1.47%,-,-,-,-
31,Total Shareholder Return,0.37%,1.18%,-2.43%,1.57%,-0.40%,-1.26%,1.36%,-0.48%,-0.13%,21.49%,-34.67%,-34.30%,-31.69%,-67.56%,0.43%,1.13%,-1.47%,-,-,-,-
