,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Comprehensive Income & Other,2.78,3.04,2.85,2.41,4.5,21.73,4.33,4.49,4.56,4.34,3.97,3.57,-,4.02,-
32,Shareholders' Equity,1821,1795,1792,1763,1763,1750,1758,1746,1738,1730,1728,1734,-,826.24,777.78
33,Total Liabilities & Equity,2938,3015,3164,3289,3372,3352,3224,3051,2857,2731,2840,2795,-,1645,-
34,Total Debt,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Net Cash (Debt),761.23,734.26,718.45,790.18,818.08,819.67,773.04,826.36,887.28,940.35,948.29,969.79,-,140.95,96.25
36,Net Cash Growth,-6.95%,-10.42%,-7.06%,-4.38%,-7.80%,-12.83%,-18.48%,-14.79%,-,567.18%,885.25%,-,-,-,-
37,Net Cash Per Share,5.71,5.51,5.39,5.93,6.13,6.15,5.80,6.19,6.66,7.05,7.11,9.69,-,1.41,0.96
38,Filing Date Shares Outstanding,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,99.99,100,99.97
39,Total Common Shares Outstanding,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,99.99,100,99.97
40,Working Capital,1529,1509,1513,1493,1517,1504,1537,1534,1551,1573,1571,1576,-,662.26,-
41,Book Value Per Share,13.65,13.46,13.44,13.22,13.22,13.13,13.19,13.09,13.03,12.98,12.96,13.00,-,8.26,7.78
42,Tangible Book Value,1765,1738,1735,1705,1705,1692,1700,1687,1679,1671,1668,1674,-,765,715.83
43,Tangible Book Value Per Share,13.23,13.04,13.01,12.79,12.79,12.69,12.75,12.65,12.59,12.53,12.51,12.55,-,7.65,7.16
44,Buildings,-,193.36,-,185.8,-,132.47,-,133.64,-,109.22,-,109.17,-,98.89,-
45,Machinery,-,84.24,-,86.01,-,75.09,-,72.26,-,73.1,-,79.19,-,77.75,-
46,Construction In Progress,-,30.64,-,20.1,-,54.16,-,26.34,-,3.39,-,1,-,8.85,-
