,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Pretax Income,36.41,42.54,40.52,38.6,50.18,37.51,31.7,28.74,38.92,38.4,38.4,42.86,42.86,32.98,32.98
23,Income Tax Expense,3.19,4.54,4.24,5.05,5.69,4.29,2.89,1.74,5.31,4.75,4.75,4.38,4.38,4.8,4.8
24,Earnings From Continuing Operations,33.22,37.99,36.28,33.54,44.49,33.22,28.81,27.01,33.61,33.65,33.65,38.49,38.49,28.18,28.18
25,Minority Interest in Earnings,-0.18,-0.47,0.01,-0.21,-0.54,-0.67,-0.54,-,-,-,-,-,-,-,-
26,Net Income,33.04,37.52,36.29,33.34,43.95,32.55,28.27,27.01,33.61,33.65,33.65,38.49,38.49,28.18,28.18
27,Net Income to Common,33.04,37.52,36.29,33.34,43.95,32.55,28.27,27.01,33.61,33.65,33.65,38.49,38.49,28.18,28.18
28,Net Income Growth,-24.82%,15.26%,28.38%,23.44%,30.78%,-3.28%,-16.00%,-29.83%,-12.68%,19.41%,19.41%,-,-,-,-
29,Shares Outstanding (Basic),103,104,104,105,104,88,79,77,80,78,78,79,79,79,79
30,Shares Outstanding (Diluted),103,113,104,105,104,88,79,77,80,78,78,79,79,79,79
31,Shares Change (YoY),-0.99%,28.71%,32.05%,35.46%,30.43%,12.57%,0.33%,-1.65%,1.65%,-0.54%,-0.54%,-,-,-,-
32,EPS (Basic),0.32,0.36,0.35,0.32,0.42,0.37,0.36,0.35,0.42,0.43,0.43,0.49,0.49,0.36,0.36
33,EPS (Diluted),0.32,0.33,0.35,0.32,0.42,0.37,0.36,0.35,0.42,0.43,0.43,0.48,0.48,0.36,0.36
34,EPS Growth,-24.07%,-10.45%,-2.78%,-8.87%,0.27%,-14.08%,-16.28%,-28.06%,-13.37%,20.07%,20.07%,-,-,-,-
35,Free Cash Flow,17.38,-45.58,-20.12,16.17,48.78,3.71,-0.28,41.34,52.96,29.13,29.13,57.76,57.76,3.1,3.1
36,Free Cash Flow Per Share,0.17,-0.40,-0.19,0.15,0.47,0.04,-0.00,0.53,0.66,0.37,0.37,0.73,0.73,0.04,0.04
37,Dividend Per Share,-,-,-,0.400,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,37.35%,36.52%,38.47%,31.07%,40.20%,33.72%,37.72%,32.52%,35.86%,33.67%,33.67%,36.51%,36.51%,35.34%,35.34%
39,Operating Margin,16.81%,12.26%,16.74%,10.48%,21.68%,13.01%,20.84%,8.19%,19.57%,17.71%,17.71%,19.68%,19.68%,17.80%,17.80%
40,Profit Margin,14.00%,16.58%,19.08%,16.07%,20.92%,17.19%,17.21%,16.92%,18.35%,18.09%,18.09%,18.54%,18.54%,15.34%,15.34%
41,Free Cash Flow Margin,7.36%,-20.14%,-10.58%,7.79%,23.22%,1.96%,-0.17%,25.90%,28.92%,15.66%,15.66%,27.83%,27.83%,1.69%,1.69%
42,EBITDA,44.69,32.74,36.84,26.74,50.09,29.21,38.78,17.62,40.31,37.43,37.43,45.04,45.04,36.53,36.53
43,EBITDA Margin,18.93%,14.47%,19.37%,12.89%,23.85%,15.43%,23.60%,11.04%,22.01%,20.11%,20.11%,21.70%,21.70%,19.88%,19.88%
44,D&A For EBITDA,5.01,4.99,5.01,5.01,4.55,4.57,4.55,4.55,4.48,4.48,4.48,4.18,4.18,3.82,3.82
45,EBIT,39.68,27.74,31.84,21.74,45.55,24.64,34.23,13.07,35.83,32.95,32.95,40.85,40.85,32.71,32.71
46,EBIT Margin,16.81%,12.26%,16.74%,10.48%,21.68%,13.01%,20.84%,8.19%,19.57%,17.71%,17.71%,19.68%,19.68%,17.80%,17.80%
47,Effective Tax Rate,8.75%,10.68%,10.46%,13.10%,11.34%,11.44%,9.13%,6.05%,13.64%,12.37%,12.37%,10.21%,10.21%,14.56%,14.56%
48,Revenue as Reported,652.53,-,190.18,207.47,563.72,-,164.29,159.62,183.12,186.07,186.07,-,-,-,-
