,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
18,Asset Writedown,-1.23,-,-,-0.11,0.11,0.04,-0.04,0.05,-0.05,0.22,-0.22,0.57,-0.01,-0
19,Other Unusual Items,-1.92,0.77,0.77,0.06,-,-1.18,1.18,11.83,-,-,-,20.25,22.67,-0.04
20,Pretax Income,2.58,11.47,11.47,16.18,11.14,39.84,34.15,24.68,12.55,21.47,23.16,40.61,44.42,14.12
21,Income Tax Expense,-1.5,2.5,2.5,2.81,2.17,3.55,6.48,6.34,2.29,2.54,2.9,4.36,6.53,3.12
22,Earnings From Continuing Operations,4.09,8.97,8.97,13.38,8.97,36.29,27.67,18.35,10.27,18.93,20.26,36.25,37.88,11
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.75
24,Net Income,4.09,8.97,8.97,13.38,8.97,36.29,27.67,18.35,10.27,18.93,20.26,36.25,37.88,9.25
25,Net Income to Common,4.09,8.97,8.97,13.38,8.97,36.29,27.67,18.35,10.27,18.93,20.26,36.25,37.88,9.25
26,Net Income Growth,-54.45%,-75.29%,-67.59%,-27.09%,-12.59%,91.73%,36.58%,-49.38%,-72.90%,104.60%,-,-,-,-
27,Shares Outstanding (Basic),100,101,101,103,103,102,104,104,78,78,78,78,59,78
28,Shares Outstanding (Diluted),101,102,102,103,103,102,104,104,78,78,78,78,59,78
29,Shares Change (YoY),-2.01%,-0.11%,-1.82%,-0.33%,32.15%,31.06%,33.31%,33.41%,32.52%,0.03%,-,-,-,-
30,EPS (Basic),0.04,0.09,0.09,0.13,0.09,0.36,0.27,0.18,0.13,0.24,0.26,0.47,0.65,0.12
31,EPS (Diluted),0.04,0.09,0.09,0.13,0.09,0.36,0.27,0.18,0.13,0.24,0.26,0.47,0.65,0.12
32,EPS Growth,-53.51%,-75.26%,-66.99%,-26.85%,-33.85%,46.29%,2.46%,-62.06%,-79.55%,104.54%,-,-,-,-
33,Free Cash Flow,-35.23,30.3,30.3,-84.68,18.73,20.76,-4.85,12.69,10.5,31.29,-15.68,7.07,41.13,-2.8
34,Free Cash Flow Per Share,-0.35,0.30,0.30,-0.82,0.18,0.20,-0.05,0.12,0.13,0.40,-0.20,0.09,0.70,-0.04
35,Dividend Per Share,-,-,-,0.540,-,-,-,1.081,-,-,-,-,0.591,-
36,Dividend Growth,-,-,-,-50.00%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,49.82%,51.46%,51.46%,52.25%,49.47%,49.00%,53.11%,52.67%,43.52%,50.17%,52.12%,57.64%,62.97%,59.88%
38,Operating Margin,2.45%,5.08%,5.08%,6.90%,3.94%,20.33%,14.99%,5.46%,8.44%,11.91%,14.79%,10.24%,12.00%,10.89%
39,Profit Margin,2.37%,4.62%,4.62%,6.21%,5.14%,18.66%,13.78%,8.81%,6.91%,10.68%,12.85%,18.79%,20.09%,6.78%
40,Free Cash Flow Margin,-20.46%,15.61%,15.61%,-39.33%,10.73%,10.68%,-2.41%,6.09%,7.07%,17.66%,-9.95%,3.66%,21.82%,-2.05%
41,EBITDA,15.43,21.07,21.07,23.47,14.62,47.55,37.14,19.09,19.56,28.83,30.33,26.78,30.89,23.03
42,EBITDA Margin,8.96%,10.86%,10.86%,10.90%,8.37%,24.46%,18.50%,9.16%,13.18%,16.27%,19.24%,13.88%,16.38%,16.87%
43,D&A For EBITDA,11.21,11.21,11.21,8.6,7.73,8.02,7.04,7.73,7.02,7.72,7.02,7.02,8.26,8.16
44,EBIT,4.22,9.86,9.86,14.87,6.89,39.54,30.1,11.36,12.54,21.11,23.31,19.75,22.63,14.87
45,EBIT Margin,2.45%,5.08%,5.08%,6.90%,3.94%,20.33%,14.99%,5.46%,8.44%,11.91%,14.79%,10.24%,12.00%,10.89%
46,Effective Tax Rate,-,21.81%,21.81%,17.34%,19.45%,8.92%,18.97%,25.67%,18.22%,11.83%,12.51%,10.74%,14.71%,22.09%
47,Revenue as Reported,172.19,194.07,194.07,215.31,174.64,194.45,200.8,208.33,148.46,177.18,157.6,192.97,188.53,136.49
48,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,8.83
