,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
22,Other Current Liabilities,2.26,5.42,2.88,16.92,-,55.33,2.62,10.76,10.76,-,-,2.99,2.99
23,Total Current Liabilities,110.29,94.25,85.21,120.73,-,128.46,61.84,91.03,91.03,-,-,37.84,37.84
24,Long-Term Leases,-,-,-,-,-,0.07,0.06,0.57,0.57,-,-,-,-
25,Long-Term Unearned Revenue,2.08,2.09,2.15,2.1,-,-,-,-,-,-,-,0.17,0.17
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.2,0.21,-,-,-,-,-,-
27,Total Liabilities,112.36,96.33,87.36,122.83,-,128.72,62.11,91.59,91.59,-,-,38.01,38.01
28,Common Stock,80.86,80.86,57.87,57.87,-,57.87,43.4,43.4,43.4,-,-,43.4,43.4
29,Additional Paid-In Capital,1719,1718,1717,1715,-,1713,76.53,76.53,76.53,-,-,76.53,76.53
30,Retained Earnings,525.93,452.93,487.57,434.79,-,296.4,295.8,261.54,261.54,-,-,69.29,69.29
31,Treasury Stock,-30.97,-30.97,-20.36,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,0.25,0.15,0.1,0.11,-,0.15,0.07,0.07,0.07,-,-,0.11,0.11
33,Shareholders' Equity,2296,2221,2242,2208,-,2067,415.8,381.54,381.54,-,271.45,189.32,189.32
34,Total Liabilities & Equity,2408,2317,2329,2331,-,2196,477.91,473.13,473.13,-,-,227.33,227.33
35,Total Debt,-,-,0.6,0.57,-,1.18,1.16,1.64,1.64,-,2.32,-,-
36,Net Cash (Debt),2086,2014,2016,2037,-,1960,261.21,266.75,266.75,-,203.3,120.06,120.06
37,Net Cash Growth,-,2.79%,671.66%,663.47%,-,-,28.49%,122.18%,122.18%,-,-,-,-
38,Net Cash Per Share,25.81,25.13,24.82,25.10,-,28.98,4.31,4.39,4.39,-,3.33,1.98,1.98
39,Filing Date Shares Outstanding,80.46,80.46,80.65,81.02,81.02,81.02,60.76,60.76,60.76,60.5,61.03,60.76,60.76
40,Total Common Shares Outstanding,80.46,80.46,80.65,81.02,81.02,81.02,60.76,60.76,60.76,60.5,61.03,60.76,60.76
41,Working Capital,2104,2036,2050,2025,-,1908,269.4,240.86,240.86,-,-,126.58,126.58
42,Book Value Per Share,28.53,27.60,27.80,27.26,-,25.52,6.84,6.28,6.28,-,4.47,3.12,3.12
43,Tangible Book Value,2277,2202,2223,2189,-,2048,396.21,361.82,361.82,-,251.5,169.15,169.15
44,Tangible Book Value Per Share,28.30,27.37,27.56,27.02,-,25.28,6.52,5.95,5.95,-,4.14,2.78,2.78
45,Buildings,-,70.49,-,71.12,-,26.84,-,26.84,26.84,-,-,26.84,26.84
46,Machinery,-,44.01,-,8.71,-,36.1,-,7.7,7.7,-,-,16.8,16.8
47,Construction In Progress,-,72.31,-,67.92,-,91.3,-,72.65,72.65,-,-,1.76,1.76
