,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Prepaid Expenses,-,-,0.39,-,0.91,-,0.35,-,0.8,-,1.17,-,0.3,-,1.75,-,-,-,0.33,-
10,Other Current Assets,-,428.83,404.04,396.11,326.35,394.46,519.69,636.79,447.89,441.04,387.17,322.59,283.1,404.41,154.08,372.85,129.42,-,104.09,-
11,Total Current Assets,-,13990,14186,15020,15602,15759,15118,11754,11602,10681,9849,9667,9772,8812,7996,7737,7775,-,4901,-
12,"Property, Plant & Equipment",-,770.9,739.75,803.18,768.96,568.81,547,489.61,468.37,363.87,330.68,288.3,282.71,263.64,257.79,261.97,243.29,-,224.95,-
13,Long-Term Investments,-,1942,1168,1088,951.31,886.09,881.39,711.21,696,615.61,599.62,39.7,24.43,12.5,17.3,17.56,18.44,-,21.73,-
14,Goodwill,-,182.27,165.76,165.93,166.11,171.53,168.01,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,-,153.06,151.49,157.34,158.93,168.64,132.01,118.56,115.03,111.23,103.6,100.83,96.91,71.17,35.51,35.09,35.23,-,31.73,-
16,Long-Term Deferred Tax Assets,-,68.15,76.13,68.73,71.3,69.66,70.54,44.08,44.98,44.02,42.09,38,38.94,37.97,36.61,37.38,38.96,-,39.55,-
17,Long-Term Deferred Charges,-,63.23,55.88,44.91,45.35,42.65,42.81,42.92,35.17,25.78,23.8,17.71,13.73,13,13.88,14.86,14.85,-,13.2,-
18,Other Long-Term Assets,-,163.96,868.64,133.37,115.65,103.92,96.65,105.45,100.82,115.52,110.48,130.13,118.33,135.1,101.82,91.16,93.27,-,97.67,-
19,Total Assets,-,17334,17412,17481,17880,17770,17057,13266,13063,11957,11060,10282,10347,9346,8459,8195,8219,-,5330,-
20,Accounts Payable,-,3792,3925,3629,3548,3171,3268,3525,3308,3079,2747,2302,2229,1949,1586,1522,1487,-,1046,-
21,Accrued Expenses,-,179.17,427.94,96.09,591.79,256.59,366.78,85.37,514.09,251.86,319.04,86.91,523.76,214.91,279.88,64.16,392.83,-,168.14,-
22,Short-Term Debt,-,307.2,307.2,207.98,207.96,201.66,203.51,203.5,106.23,4.58,30.76,85.42,84.28,23.1,3.05,1.65,4.01,-,150.03,-
23,Current Portion of Long-Term Debt,-,-,300.23,-,-,511.54,500.4,-,500.44,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,311.67,8.23,309.76,13.51,-,9.35,511,13.74,4.46,3.97,4.39,3.82,4.78,5.23,-,-,-,-,-
25,Current Income Taxes Payable,-,277.37,10.36,197.94,28.05,227.56,28.21,132.04,26.84,156.39,22.42,155.85,19.26,160.06,6.37,101.67,26.16,-,13.18,-
26,Current Unearned Revenue,-,1793,2024,2277,2476,2860,2590,2663,2620,2530,2226,2530,2419,2356,2126,2042,1908,-,1666,-
27,Other Current Liabilities,-,488.34,441.52,642.63,681.53,613.53,641.27,608.71,574.57,419.72,383.46,394.39,422.05,280.92,227.18,303.01,306,-,180.55,-
28,Total Current Liabilities,-,7149,7444,7360,7547,7842,7607,7729,7664,6445,5733,5560,5702,4989,4233,4035,4124,-,3224,-
29,Long-Term Debt,-,-,-,-,300.25,300.23,-,-,-,500.4,500.28,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,-,17.66,13.35,14.06,21.21,17.43,18.63,16.78,17.48,13.31,15.31,13.22,11.73,13.22,14.08,14.76,-,-,-,-
31,Long-Term Unearned Revenue,-,87.28,81.85,85.31,66.26,62.15,73,84.35,64.07,59.13,62,65.59,52.11,59.06,65.63,59.87,59.93,-,80.36,-
32,Long-Term Deferred Tax Liabilities,-,5.39,5.04,5.63,5.64,3.88,4.01,1.11,1.14,-,-,-,-,-,-,-,-,-,-,-
33,Other Long-Term Liabilities,-,-,-,-,-,5.64,5.61,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Total Liabilities,-,7259,7544,7465,7941,8231,7709,7831,7747,7018,6311,5638,5766,5061,4313,4110,4184,-,3305,-
35,Common Stock,-,790.59,790.59,789.92,789.92,785.92,785.92,499.57,499.57,496.82,496.82,496.82,496.82,494.08,494.08,494.08,494.08,-,442.16,-
36,Additional Paid-In Capital,-,6258,6225,6207,6203,6126,6153,2559,2539,2488,2463,2438,2427,2387,2372,2357,2342,-,687.96,-
37,Retained Earnings,-,3081,2881,3061,2916,2507,2325,2313,2220,1897,1736,1661,1601,1355,1232,1185,1150,-,864.81,-
38,Treasury Stock,-,-181.68,-100,-100,-89.16,-1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-,31.85,-0.08,-1.6,5.52,16.2,14.35,-0.69,-0.56,-0.38,-0.16,-0.07,-0.29,-2.06,-0.41,-0.59,-0.57,-,-1.1,-
40,Total Common Equity,9980,9980,9796,9956,9825,9434,9278,5371,5258,4882,4696,4596,4525,4234,4097,4036,3986,-,1994,1822
41,Minority Interest,-,95.35,71.49,60.28,113.98,105.1,70.29,64.39,58.18,57.44,53.18,47.89,55.94,50.34,48.82,50.05,49.48,-,31.46,-
42,Shareholders' Equity,10075,10075,9868,10016,9939,9539,9348,5435,5316,4939,4749,4644,4581,4285,4146,4086,4035,-,2025,1850
43,Total Liabilities & Equity,-,17334,17412,17481,17880,17770,17057,13266,13063,11957,11060,10282,10347,9346,8459,8195,8219,-,5330,-
44,Total Debt,636.53,636.53,629.01,531.8,542.94,1031,731.89,731.28,637.89,522.76,550.32,103.03,99.83,41.1,22.36,16.4,4.01,-,150.03,48.24
45,Net Cash (Debt),4676,4676,4854,5949,6680,5852,5704,2676,3425,2585,2643,3395,3877,3267,3406,3219,3877,-,1659,1546
46,Net Cash Growth,-30.00%,-20.11%,-14.90%,122.29%,95.04%,126.35%,115.83%,-21.17%,-11.67%,-20.86%,-22.41%,5.46%,0.02%,-,105.33%,108.21%,-,-,-,-
47,Net Cash Per Share,5.86,6.05,6.21,7.36,8.67,7.44,7.01,3.77,4.64,3.54,3.60,4.69,5.43,4.44,4.64,4.44,5.54,-,2.62,2.34
48,Filing Date Shares Outstanding,797.88,788.36,788.33,807.92,787.94,784.89,785.92,724.37,785.15,720.39,720.39,720.39,720.39,716.42,716.42,716.42,716.42,617.84,641.13,660.27
49,Total Common Shares Outstanding,788.36,788.36,788.33,807.92,787.94,784.89,785.92,724.37,724.37,720.39,720.39,720.39,720.39,716.42,716.42,716.42,716.42,617.84,641.13,660.27
50,Working Capital,-,6841,6742,7660,8055,7917,7511,4026,3938,4236,4116,4108,4070,3823,3763,3702,3651,-,1677,-
51,Book Value Per Share,12.66,12.66,12.43,12.32,12.47,12.02,11.80,7.41,7.26,6.78,6.52,6.38,6.28,5.91,5.72,5.63,5.56,-,3.11,2.84
52,Tangible Book Value,9644,9644,9479,9633,9500,9094,8978,5252,5143,4770,4592,4495,4428,4163,4062,4000,3950,-,1962,1789
53,Tangible Book Value Per Share,12.23,12.23,12.02,11.92,12.06,11.59,11.42,7.25,7.10,6.62,6.37,6.24,6.15,5.81,5.67,5.58,5.51,-,3.06,2.79
54,Buildings,-,-,206.36,-,225.62,-,221.46,-,221.42,-,220.41,-,220.14,-,215.1,-,215.71,-,207.53,-
55,Machinery,-,-,372.02,-,378.38,-,332.15,-,296.96,-,243.47,-,197.21,-,172.37,-,170.08,-,156.29,-
56,Construction In Progress,-,-,401.7,-,385.16,-,196.44,-,125.4,-,35.23,-,21.77,-,10.93,-,9.33,-,0.76,-
