,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Long-Term Deferred Charges,-,45.35,43.4,34.05,36.68,14.99,15.62,17.29,19.29,20.53,22.21,23.65,24.63,-,22.55,-
17,Other Long-Term Assets,-,11.15,12.56,75.97,3.77,186.94,32.28,230.2,19.77,290.98,199.15,5.16,5.66,-,3.32,-
18,Total Assets,-,2534,2614,2559,2578,2478,2400,2324,2254,2199,2176,1047,1054,-,935.97,-
19,Accounts Payable,-,89.65,94.59,89.47,101.86,64.08,43.76,48.49,50.79,66.92,85.1,54.1,61.73,-,28.78,-
20,Accrued Expenses,-,37.54,38.75,27.92,50.94,44.68,41.67,30.17,46.56,39.96,33.18,23.91,39.04,-,25.41,-
21,Short-Term Debt,-,68.09,108.11,85.15,76.16,77.04,47.17,32.08,12.21,1.07,1.09,1.1,5.15,-,9.04,-
22,Current Portion of Leases,-,9.92,10.82,10.48,9.4,8.68,6.4,5.56,2.61,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,6.09,6.39,15.18,14.89,6.3,3.31,7.04,4.09,8.9,11.95,4.85,6.44,-,6.51,-
24,Current Unearned Revenue,-,108.18,97.84,103.06,108.42,98.51,89.17,88.63,89.15,75.78,76.95,75.9,75.91,-,55.43,-
25,Other Current Liabilities,-,21.91,70.14,9.5,4.75,8.34,36.89,9.27,8.66,9.2,4.61,6.5,3.47,-,31.58,-
26,Total Current Liabilities,-,341.38,426.64,340.77,366.41,307.64,268.36,221.24,214.07,201.84,212.88,166.35,191.74,-,156.75,-
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,1,3.01,20.03,-,-,-
28,Long-Term Leases,-,35.82,37.38,38.34,36.07,36.14,36.56,37.48,3.05,4.35,5.24,5.18,0.02,-,-,-
29,Long-Term Unearned Revenue,-,24.81,26.75,39.37,41.04,39.62,41.96,44.3,48.99,44.8,55.89,49.95,50.49,-,66.09,-
30,Long-Term Deferred Tax Liabilities,-,8.21,10.21,9.72,9.41,11.8,10.44,10.28,9.9,7.41,7.51,6.79,6.5,-,5.95,-
31,Total Liabilities,-,410.23,500.99,428.2,452.93,395.2,357.33,313.31,276,258.4,282.53,231.28,268.78,-,228.79,-
32,Common Stock,-,410,410,410,410,410,410,410,410,410,410,360,360,-,360,-
33,Additional Paid-In Capital,-,1260,1259,1259,1258,1257,1258,1256,1254,1253,1253,276.73,276.73,-,276.73,-
34,Retained Earnings,-,476.01,466.39,484.88,455.4,414.18,374.04,344.33,313.3,276.76,230.27,178.96,148.63,-,70.05,-
35,Treasury Stock,-,-23.87,-23.87,-23.87,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,0.89,1.22,1.16,1.09,1.31,1.4,0.73,0.91,0.96,0.39,0.23,0.27,-,0.4,-
37,Shareholders' Equity,2123,2123,2113,2131,2125,2083,2043,2011,1978,1941,1893,815.92,785.63,-,707.18,657.24
38,Total Liabilities & Equity,-,2534,2614,2559,2578,2478,2400,2324,2254,2199,2176,1047,1054,-,935.97,-
39,Total Debt,113.82,113.82,156.31,133.98,121.62,121.87,90.13,75.12,17.86,5.42,7.34,9.29,25.2,-,9.04,5.02
40,Net Cash (Debt),1097,1097,1146,1114,1196,1067,1197,1116,1195,1179,1273,413.44,474.11,-,520.72,519.18
41,Net Cash Growth,-8.34%,2.80%,-4.25%,-0.17%,0.11%,-9.56%,-5.98%,169.91%,152.07%,-,144.50%,-20.37%,-,-,-,-
42,Net Cash Per Share,2.57,2.59,3.00,2.65,2.90,2.66,2.79,2.88,2.96,2.79,3.51,1.09,1.32,-,1.49,1.43
43,Filing Date Shares Outstanding,426.44,408.48,408.48,421.13,410,410,410,410,410,410,410,410,410,354.76,360,363.27
44,Total Common Shares Outstanding,408.48,408.48,408.48,421.13,410,410,410,410,410,410,410,360,360,354.76,360,363.27
45,Working Capital,-,1336,1317,1307,1291,1320,1331,1289,1253,1236,1350,505.84,515.19,-,529.7,-
46,Book Value Per Share,5.20,5.20,5.17,5.06,5.18,5.08,4.98,4.90,4.82,4.73,4.62,2.27,2.18,-,1.96,1.83
47,Tangible Book Value,2077,2077,2066,2083,2077,2035,1996,1962,1929,1892,1844,766.16,736.1,-,665.82,616.05
48,Tangible Book Value Per Share,5.09,5.09,5.06,4.95,5.07,4.96,4.87,4.79,4.71,4.61,4.50,2.13,2.04,-,1.85,1.71
49,Buildings,-,-,315.18,-,311.67,-,97.16,-,97.08,-,97.08,-,97.78,-,93.39,-
50,Machinery,-,-,255.12,-,229.67,-,138.79,-,129.2,-,110.87,-,93.79,-,81.57,-
51,Construction In Progress,-,-,89.85,-,89.6,-,231.84,-,171.67,-,112.1,-,53.02,-,6.42,-
