,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
26,Shares Outstanding (Basic),103,63,104,105,95,78,78,78,79,77,77
27,Shares Outstanding (Diluted),103,63,104,105,95,78,78,78,79,77,77
28,Shares Change (YoY),9.37%,-19.55%,33.03%,33.97%,20.31%,1.09%,0.88%,-,-,-,-
29,EPS (Basic),0.12,0.33,0.18,0.12,0.25,0.25,0.28,1.16,0.25,0.29,0.29
30,EPS (Diluted),0.12,0.33,0.18,0.12,0.25,0.25,0.28,1.16,0.25,0.29,0.29
31,EPS Growth,-52.75%,35.38%,-38.37%,-89.27%,-2.32%,-14.63%,-1.33%,-,-,-,-
32,Free Cash Flow,-6.02,-5.48,16.1,27.76,5.65,7.44,-37.77,15.73,-13.78,-17.87,-17.87
33,Free Cash Flow Per Share,-0.06,-0.09,0.15,0.26,0.06,0.09,-0.48,0.20,-0.18,-0.23,-0.23
34,Dividend Per Share,-,0.100,-,0.154,-,-,-,0.092,-,-,-
35,Dividend Growth,-,-,-,66.63%,-,-,-,-,-,-,-
36,Gross Margin,38.81%,36.45%,34.08%,32.00%,39.36%,39.14%,38.67%,36.72%,35.74%,38.96%,38.96%
37,Operating Margin,7.07%,18.42%,17.38%,9.34%,16.27%,20.12%,23.35%,13.78%,25.17%,23.10%,23.10%
38,Profit Margin,12.46%,18.53%,16.58%,12.30%,29.34%,16.64%,18.92%,63.35%,20.26%,20.07%,20.07%
39,Free Cash Flow Margin,-6.17%,-4.83%,14.64%,26.20%,7.06%,6.42%,-32.12%,10.99%,-13.97%,-16.04%,-16.04%
40,EBITDA,11.44,25.92,23.67,14.45,16.08,27.52,30.52,22.79,27.79,28.69,28.69
41,EBITDA Margin,11.75%,22.86%,21.52%,13.64%,20.09%,23.74%,25.95%,15.92%,28.17%,25.76%,25.76%
42,D&A For EBITDA,4.56,5.03,4.56,4.56,3.06,4.2,3.06,3.06,2.96,2.96,2.96
43,EBIT,6.89,20.88,19.11,9.89,13.02,23.32,27.46,19.73,24.83,25.73,25.73
44,EBIT Margin,7.07%,18.42%,17.38%,9.34%,16.27%,20.12%,23.35%,13.78%,25.17%,23.10%,23.10%
45,Effective Tax Rate,12.04%,10.32%,10.54%,7.41%,13.74%,11.76%,12.89%,15.64%,13.86%,11.77%,11.77%
46,Revenue as Reported,97.42,113.37,110,105.94,80.04,115.91,117.6,143.16,98.64,111.39,111.39
