,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
33,Free Cash Flow Per Share,-,-0.17,-0.16,-0.32,0.17,-0.24,-0.08,-0.26,0.34,-0.10,-0.07,-0.32
34,Dividend Per Share,-,-,-,-,0.200,-,-,-,-,-,-,-
35,Gross Margin,166.33%,53.83%,36.98%,35.97%,45.20%,55.88%,57.03%,59.35%,52.99%,71.89%,67.35%,52.17%
36,Operating Margin,28.10%,37.17%,7.71%,-7.90%,22.58%,42.25%,9.19%,19.25%,35.43%,47.83%,34.06%,-133.59%
37,Profit Margin,21.01%,26.46%,15.13%,9.29%,33.43%,33.66%,14.74%,21.95%,31.94%,39.07%,28.65%,-83.55%
38,Free Cash Flow Margin,-,-63.86%,-50.75%,-294.87%,30.90%,-89.81%,-36.98%,-376.65%,52.16%,-40.66%,-40.95%,-1322.41%
39,EBITDA,73.03,46.94,19.1,3.65,63.41,50.19,16.03,11.74,90.17,46.44,28.14,-6.19
40,EBITDA Margin,31.13%,43.79%,15.39%,8.38%,25.42%,50.79%,19.42%,46.24%,37.63%,53.88%,41.80%,-74.79%
41,D&A For EBITDA,7.1,7.1,9.53,7.1,7.1,8.44,8.44,6.85,5.27,5.21,5.21,4.87
42,EBIT,65.93,39.84,9.56,-3.45,56.31,41.75,7.59,4.89,84.9,41.23,22.93,-11.06
43,EBIT Margin,28.10%,37.17%,7.71%,-7.90%,22.58%,42.25%,9.19%,19.25%,35.43%,47.83%,34.06%,-133.59%
44,Effective Tax Rate,31.13%,8.46%,-,-,12.58%,11.09%,9.40%,-,5.00%,8.99%,12.08%,-
45,Revenue as Reported,-,107.19,124.1,43.61,249.43,98.82,82.57,25.38,239.61,86.2,67.33,8.28
