,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,EV/Sales Ratio,4.98,4.20,3.16,3.31,4.70,3.97,3.93,3.95,3.46,3.33,4.48,4.90,5.38,5.68,8.56,-,-,-,-,-
11,EV/EBITDA Ratio,21.92,18.46,13.14,13.45,18.78,16.87,18.13,18.61,16.88,14.97,18.96,20.47,21.37,21.43,31.81,-,-,-,-,-
12,EV/EBIT Ratio,25.70,21.17,14.88,15.19,21.15,19.03,20.70,21.07,19.00,16.56,20.77,22.31,23.14,23.08,34.21,-,-,-,-,-
13,EV/FCF Ratio,90.61,76.58,65.35,-,33.79,24.24,18.01,-,26.07,21.94,27.76,-,25.02,42.49,70.93,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-
15,Debt / EBITDA Ratio,0.09,0.09,0.00,0.04,0.09,0.06,0.02,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.01,-,-,-,-,-
16,Debt / FCF Ratio,0.38,0.38,0.01,-,0.17,0.12,0.03,-,0.01,0.01,0.01,-,0.02,0.01,0.01,-,-,-,-,-
17,Asset Turnover,0.43,0.43,0.39,0.38,0.45,0.40,0.35,0.41,0.41,0.47,0.43,0.50,0.45,-,-,-,-,1.05,-,
18,Inventory Turnover,4.54,4.71,4.49,4.60,4.20,4.49,3.84,3.36,4.62,4.31,4.67,4.70,4.54,3.45,-,-,-,-,4.00,-
19,Quick Ratio,7.42,7.42,10.34,13.41,14.02,15.25,11.86,16.67,19.74,18.85,18.91,15.97,12.78,14.26,10.12,-,3.30,-,5.45,5.45
20,Current Ratio,12.55,12.55,11.45,14.49,14.93,16.49,12.89,18.52,21.31,20.95,21.00,17.45,13.85,15.82,11.28,-,4.75,-,7.00,7.00
21,Return on Equity (ROE),8.95%,10.11%,7.32%,9.86%,11.46%,9.65%,7.43%,10.33%,9.16%,9.98%,10.37%,13.40%,11.19%,16.55%,25.88%,-,-,24.55%,-,
22,Return on Assets (ROA),5.33%,5.05%,4.52%,5.37%,7.02%,5.24%,4.40%,4.41%,4.69%,5.82%,4.81%,7.51%,6.92%,-,-,-,-,15.70%,-,
23,Return on Capital (ROIC),5.73%,5.43%,4.82%,5.71%,7.53%,5.62%,4.66%,4.65%,4.96%,6.17%,5.17%,8.10%,7.53%,10.59%,18.84%,-,-,18.39%,-,
24,Return on Capital Employed (ROCE),8.26%,8.47%,9.24%,9.42%,9.05%,8.74%,7.84%,7.78%,8.02%,9.41%,10.45%,10.53%,11.49%,12.53%,13.19%,-,29.83%,-,14.09%,7.04%
25,Earnings Yield,3.56%,3.83%,4.64%,4.43%,3.54%,3.94%,3.82%,3.83%,4.36%,4.61%,3.76%,3.63%,3.29%,3.43%,2.74%,-,-,-,-,-
26,FCF Yield,0.95%,1.02%,1.03%,2.30%,2.18%,2.87%,3.83%,3.10%,2.68%,3.17%,2.70%,2.79%,3.20%,1.90%,1.38%,-,-,-,-,-
27,Dividend Yield,1.70%,-,-,-,-,3.80%,-,-,2.18%,-,-,-,1.28%,-,-,-,-,-,-,-
28,Payout Ratio,50.23%,0.00%,-,242.25%,5.35%,69.50%,100.64%,-,-,-,160.19%,-,-,-,-,-,-,-,14.25%,14.25%
29,Buyback Yield / Dilution,0.01%,-0.52%,-3.43%,4.67%,-0.41%,0.51%,3.12%,-4.13%,5.73%,-3.91%,-40.36%,-29.64%,-41.05%,-22.83%,0.58%,-1.45%,-,-,-,-
30,Total Shareholder Return,1.71%,-0.52%,-3.43%,4.67%,-0.41%,4.31%,3.12%,-4.13%,7.91%,-3.91%,-40.36%,-29.64%,-39.77%,-22.83%,0.58%,-1.45%,-,-,-,-
