,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Total Current Assets,1195,1170,1207,1243,1157,1198,1175,1252,1187,-,477.35,-,401,-,386.26,386.26
11,"Property, Plant & Equipment",574.78,523.87,481.09,426.25,388.2,345.9,329.36,307.61,295.52,-,231.75,-,225.67,-,218.16,218.16
12,Other Intangible Assets,36.82,37.13,37.45,37.77,38.08,38.44,38.43,38.49,38.77,-,39.27,-,39.71,-,40.24,40.24
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,0.16,-,1.01,-,0.74,0.74
14,Long-Term Deferred Charges,3.38,3.94,4.5,5.06,5.61,6.04,6.58,1.17,1.29,-,-,-,-,-,-,-
15,Other Long-Term Assets,3.73,5.24,8.08,13.69,20.96,4.52,9.5,11.9,11.08,-,13.6,-,0.51,-,0.77,0.77
16,Total Assets,1814,1740,1738,1726,1610,1593,1559,1611,1534,-,762.12,-,667.9,-,646.17,646.17
17,Accounts Payable,138.66,130.72,152.64,124.83,87.75,107.08,112.04,136.51,106.37,-,99.71,-,80.26,-,88.86,88.86
18,Accrued Expenses,19.79,15.2,22.32,14.39,17.27,14.09,20.76,11.66,18.18,-,20.1,-,27.81,-,22.84,22.84
19,Short-Term Debt,0.73,-,-,-,-,-,-,-,-,-,88.55,-,91.33,-,84.53,84.53
20,Current Portion of Long-Term Debt,-,-,-,-,1.99,-,-,-,-,-,8.66,-,4.66,-,2.33,2.33
21,Current Portion of Leases,-,1.02,1.56,1.87,-,2.51,2.49,2.56,2.84,-,2.7,-,-,-,-,-
22,Current Income Taxes Payable,1.21,1.66,0.96,3.14,1.42,5.65,1,9.94,-,-,0.48,-,3.05,-,1.78,1.78
23,Current Unearned Revenue,5.32,1.27,1.51,4.64,4.43,5.6,2.73,5.5,4.61,-,5.68,-,1.68,-,7.69,7.69
24,Other Current Liabilities,51.07,33.15,33.05,26.37,26.61,17.86,19.87,21.76,24.01,-,10.9,-,11.8,-,39.77,39.77
25,Total Current Liabilities,216.78,183.03,212.06,175.24,139.47,152.79,158.89,187.94,156.01,-,236.77,-,220.58,-,247.81,247.81
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,31.68,-,30.39,-,32.72,32.72
27,Long-Term Leases,2.25,-,0.14,0.5,0.73,0.69,1.33,2.21,2.88,-,2.94,-,-,-,-,-
28,Long-Term Unearned Revenue,41.88,34.65,34.71,34.78,10.04,10.11,10.17,10.23,10.3,-,10.43,-,10.56,-,10.69,10.69
29,Long-Term Deferred Tax Liabilities,9.77,10.68,9.45,9.44,9.78,2.21,2.49,4.28,5.39,-,-,-,-,-,-,-
30,Total Liabilities,270.69,228.36,256.36,219.95,160.02,165.79,172.88,204.66,174.58,-,281.82,-,261.53,-,291.22,291.22
31,Common Stock,280.06,280.06,280.06,200.04,200.04,200.04,200.04,133.36,133.36,-,100,-,100,-,100,100
32,Additional Paid-In Capital,644.77,644.77,644.77,724.78,724.78,724.78,724.78,791.46,791.46,-,7.34,-,5.49,-,3.63,3.63
33,Retained Earnings,610.7,578.88,548.57,573,517.09,494.79,451.82,471.51,424.79,-,364.07,-,292.48,-,243.6,243.6
34,Comprehensive Income & Other,6.67,6.72,7.44,6.85,6.11,5.11,6.76,6.79,6.33,-,5.32,-,4.56,-,3.72,3.72
35,Total Common Equity,1542,1510,1481,1505,1448,1425,1383,1403,1356,-,476.73,402.53,402.53,350.96,350.96,350.96
36,Minority Interest,0.85,1.54,0.47,0.94,1.47,2.22,2.74,3.02,3.25,-,3.57,-,3.85,-,4,4
37,Shareholders' Equity,1543,1512,1481,1506,1449,1427,1386,1406,1359,-,480.3,406.38,406.38,354.95,354.95,354.95
38,Total Liabilities & Equity,1814,1740,1738,1726,1610,1593,1559,1611,1534,-,762.12,-,667.9,-,646.17,646.17
39,Total Debt,2.98,1.02,1.7,2.37,2.72,3.2,3.82,4.77,5.72,-,134.52,126.38,126.38,119.58,119.58,119.58
40,Net Cash (Debt),803.77,802.77,797.78,858.23,856.8,786.9,787.12,767.54,746.77,-,-98.74,-83.5,-83.5,-70.72,-70.72,-70.72
41,Net Cash Growth,-6.19%,2.02%,1.35%,11.82%,14.73%,-,-,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,2.87,2.84,2.87,3.07,3.11,2.89,2.78,2.70,1.69,-,-0.48,-0.40,-0.40,-,-0.34,-0.34
43,Filing Date Shares Outstanding,280.08,280.06,280.06,280.06,280.06,280.06,280.06,280.06,280.06,280.06,210,210.34,210,-,210,210
44,Total Common Shares Outstanding,280.08,280.06,280.06,280.06,280.06,280.06,280.06,280.06,280.06,280.06,210,210.34,210,-,210,210
45,Working Capital,978.24,987.1,994.49,1068,-,1045,1016,1064,1031,-,240.57,-,180.43,-,138.45,138.45
46,Book Value Per Share,5.51,5.39,5.29,5.37,5.17,5.09,4.94,5.01,4.84,-,2.27,1.92,1.92,1.67,1.67,1.67
47,Tangible Book Value,1505,1473,1443,1467,-,1386,1345,1365,1317,-,437.46,362.82,362.82,310.72,310.72,310.72
48,Tangible Book Value Per Share,5.37,5.26,5.15,5.24,5.03,4.95,4.80,4.87,4.70,-,2.08,1.73,1.73,1.48,1.48,1.48
49,Buildings,-,-,175.68,-,-,-,169.97,-,151.69,-,149.88,-,148.36,-,144.29,144.29
50,Machinery,-,-,251.11,-,-,-,193.13,-,187.31,-,144.71,-,125.82,-,123.5,123.5
51,Construction In Progress,-,-,189.39,-,-,-,74.32,-,55.35,-,26.31,-,33.02,-,26.7,26.7
