,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
35,Treasury Stock,-,-33.93,-28.85,-13.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,1497,1497,1541,1554,1530,1599,-,1581,1581,1518,560.62,565.68,565.68,-,-,486.41,391.8,391.8
37,Minority Interest,-,1.39,1.62,1.91,2.05,2.76,-,-,3.09,3.46,3.66,-,4.32,-,-,-,0.15,0.15
38,Shareholders' Equity,1499,1499,1543,1556,1532,1602,-,1584,1584,1522,564.29,569.99,569.99,-,-,488.83,391.94,391.94
39,Total Liabilities & Equity,-,1763,1822,1857,1893,1935,-,-,2035,2062,1450,-,1431,-,-,-,865.2,865.2
40,Total Debt,10.87,10.87,37.21,70.58,71.3,70.33,-,149.72,149.72,208.44,556.57,528.17,528.17,-,-,342.93,246.18,246.18
41,Net Cash (Debt),499.89,499.89,506.43,491.97,531.47,448.41,-,497.38,497.38,472.39,-466.69,-433.24,-433.24,-,-,-214.88,-134.46,-134.46
42,Net Cash Growth,-5.94%,11.48%,-,-1.09%,6.85%,-5.08%,-,-,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,1.52,3.33,3.16,3.34,3.04,3.07,-,3.38,3.15,4.21,-3.35,-3.82,-3.64,-,-,-,-1.18,-1.18
44,Filing Date Shares Outstanding,329.49,150.01,150.35,151.37,152.23,152.23,146.72,147.17,152.23,112.24,114.17,113.41,114.17,112.09,114.17,-,114.17,114.17
45,Total Common Shares Outstanding,150.01,150.01,150.35,151.37,152.23,152.23,146.72,147.17,152.23,112.24,114.17,113.41,114.17,112.09,114.17,-,114.17,114.17
46,Working Capital,-,829.09,871.26,870.26,831.76,887.39,-,-,859.27,839.63,242.76,-,238.63,-,-,-,235.18,235.18
47,Book Value Per Share,9.98,9.98,10.25,10.26,10.05,10.50,-,10.39,10.39,13.53,4.91,4.95,4.95,-,-,4.26,3.43,3.43
48,Tangible Book Value,1411,1411,1454,1466,1441,1509,-,1488,1488,1424,465.05,467.97,467.97,-,-,384.87,288.18,288.18
49,Tangible Book Value Per Share,9.41,9.41,9.67,9.68,9.47,9.91,-,9.77,9.77,12.69,4.07,4.10,4.10,-,-,3.37,2.52,2.52
50,Buildings,-,-,476.91,-,498.91,-,-,-,575.58,-,571.69,-,569.98,-,-,-,-,-
51,Machinery,-,-,83.31,-,78.34,-,-,-,66.75,-,73.91,-,39.23,-,-,-,36.7,36.7
52,Construction In Progress,-,-,3.17,-,3.53,-,-,-,1.64,-,32.16,-,53.07,-,-,-,198.53,198.53
53,Order Backlog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185.87,-,-
