,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
39,Net Cash (Debt),303.44,303.44,275.71,276.23,315.84,264.27,237.13,256.02,272.39,219.64,255.44,356.04,342.89,317.85,307.64,78.71,135.5,-,-,175.83
40,Net Cash Growth,-3.92%,14.82%,16.27%,7.89%,15.95%,20.32%,-7.17%,-28.09%,-20.56%,-30.90%,-16.97%,352.33%,153.06%,-,-,-55.23%,-,-,-,-
41,Net Cash Per Share,2.13,2.35,1.98,2.01,2.36,1.88,1.62,2.00,1.88,1.56,1.62,3.23,2.53,2.26,2.75,0.89,1.33,-,-,1.81
42,Filing Date Shares Outstanding,142.47,129.24,135.01,137.11,136.61,136.61,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,102.08,102.08,100.71,106.19,96.98
43,Total Common Shares Outstanding,142.47,129.24,135.01,137.11,136.61,136.61,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,102.08,102.08,100.71,106.19,96.98
44,Working Capital,-,498.72,496.86,555.47,552.02,540.26,524.39,549.69,539.48,524.66,544.36,562.56,572.78,536.74,560.88,342.02,338.98,-,-,-
45,Book Value Per Share,6.07,6.07,5.68,5.85,5.86,5.61,5.49,5.50,5.42,5.07,4.98,5.25,5.24,4.95,4.92,4.40,4.38,-,-,3.77
46,Tangible Book Value,733.63,733.63,715.7,750.27,748.37,713.84,693.2,694.36,682.93,635.9,623.06,659.18,656.49,618.59,613.46,393.01,393.34,-,-,365.46
47,Tangible Book Value Per Share,5.68,5.68,5.30,5.47,5.48,5.23,5.09,5.10,5.02,4.67,4.58,4.84,4.82,4.54,4.51,3.85,3.85,-,-,3.69
48,Buildings,-,-,140.34,-,152.65,-,68.16,-,68.16,-,68.32,-,68.3,-,68.3,-,68.3,-,-,-
49,Machinery,-,-,114.75,-,108.9,-,91.73,-,82.86,-,76.24,-,73.02,-,73.55,-,73.04,-,-,-
50,Construction In Progress,-,-,58.5,-,31.92,-,97.92,-,86.91,-,24.13,-,4.65,-,0.26,-,0.53,-,-,-
