,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Total Assets,-,3727,3768,3930,4112,4315,4313,4319,4368,4367,4447,1987,1989,-,-,-
18,Accounts Payable,-,228.48,120.09,179.91,105.02,255.33,160.38,284.23,147.77,245.27,205.82,104.42,139.03,-,-,-
19,Accrued Expenses,-,49.75,108.11,35.08,184.27,50.55,146.36,34.24,157.56,43.91,118.74,157.6,158.01,-,-,-
20,Short-Term Debt,-,-,-,-,90.6,147.21,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,5.97,7.6,8.54,8.45,7.32,6.99,-,8.98,6.76,7.22,7.78,6.84,-,-,-
22,Current Income Taxes Payable,-,3.06,-,2.54,1.12,3.97,-,7.26,0.87,13.04,5.29,4.93,10.56,-,-,-
23,Current Unearned Revenue,-,34.63,35.17,41.46,35.65,34.94,41.36,28.83,16.64,15.05,20,15.83,27.27,-,-,-
24,Other Current Liabilities,-,2.52,14.75,20.88,17.61,5.31,29.77,14.48,17.49,10,30.21,24.01,23.74,-,-,-
25,Total Current Liabilities,-,324.41,285.73,288.41,442.71,504.65,384.86,369.04,349.32,334.04,387.29,314.57,365.44,-,-,-
26,Long-Term Leases,-,1.05,1.59,0.83,2.97,6.41,10.87,12.85,11.52,12.43,13.96,12.43,13.01,-,-,-
27,Long-Term Unearned Revenue,-,175.36,149.81,151.01,100.12,92.96,94.57,96.54,100.54,101.72,116.63,210.63,203.58,-,-,-
28,Long-Term Deferred Tax Liabilities,-,15.19,16.05,16.44,17.36,17.2,17.57,16.22,16.44,16.04,15.91,14.87,15.17,-,-,-
29,Total Liabilities,-,516,453.17,456.69,563.16,621.21,507.88,494.65,477.82,464.23,533.79,552.5,597.2,-,-,-
30,Common Stock,-,401,401,401,401,401,401,401,401,401,401,360,360,-,-,-
31,Additional Paid-In Capital,-,3137,3131,3125,3119,3113,3107,3101,3095,3089,3083,698.28,692.31,-,-,-
32,Retained Earnings,-,-276.84,-172.21,-8.49,66.32,189.83,292.94,318.22,390.4,411.7,427.41,375.07,338.65,-,-,-
33,Treasury Stock,-,-45.08,-39.69,-39.69,-33.07,-13.75,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-4.92,-4.92,-4.32,-4.32,4.12,4.12,3.99,3.99,1.32,1.32,1.32,1.32,-,-,-
35,Shareholders' Equity,3211,3211,3315,3473,3549,3694,3805,3824,3891,3903,3913,1435,1392,-,-,1129
36,Total Liabilities & Equity,-,3727,3768,3930,4112,4315,4313,4319,4368,4367,4447,1987,1989,-,-,-
37,Total Debt,7.02,7.02,9.19,9.37,102.02,160.94,17.86,12.85,20.5,19.19,21.18,20.21,19.85,-,-,-
38,Net Cash (Debt),1065,1065,1163,1336,1348,1519,1693,1684,1861,2212,2498,77.39,286.48,-,-,545.34
39,Net Cash Growth,-20.99%,-29.87%,-31.30%,-20.68%,-27.56%,-31.36%,-32.23%,2075.99%,549.52%,-,-,-85.81%,-,-,-,-
40,Net Cash Per Share,2.64,2.74,2.81,3.39,3.26,3.84,4.26,4.20,4.86,5.74,7.22,0.21,0.81,-,-,1.48
41,Filing Date Shares Outstanding,403.72,388.45,400.53,393.73,400.61,401,401,401,401,401,401,360,360,360.28,353.58,367.74
42,Total Common Shares Outstanding,403.72,388.45,400.53,393.73,400.61,401,401,401,401,401,401,360,360,360.28,353.58,367.74
43,Working Capital,-,2490,2579,2786,2825,2954,3102,3203,3292,3365,3393,1042,999.27,-,-,-
44,Book Value Per Share,8.27,8.27,8.28,8.82,8.86,9.21,9.49,9.54,9.70,9.73,9.76,3.99,3.87,-,-,3.14
45,Tangible Book Value,3000,3000,3096,3237,3327,3585,3708,3731,3791,3802,3807,1323,1274,-,-,1071
46,Tangible Book Value Per Share,7.72,7.72,7.73,8.22,8.30,8.94,9.25,9.30,9.45,9.48,9.49,3.67,3.54,-,-,2.97
47,Buildings,-,-,179.73,-,179.73,-,176.65,-,176.04,-,176.04,176.04,176.04,-,-,-
48,Machinery,-,-,323.52,-,315.16,-,289.27,-,280.12,-,257.99,248.13,237.14,-,-,-
49,Construction In Progress,-,-,7.29,-,7.29,-,10.34,-,5.91,-,1.88,1.88,1.88,-,-,-
